Hospital Name / Nom de l'hôpital,Hospital Operated by / Hôpital opéré par,Mailing Address / Adresse postal,Telephone / Téléphone,Fax / Télécopieur,Website / Site web,Latitude,Longitude,New Georeferenced Column
Enfant-Jésus RHSJ† Hospital / Hôpital de l’Enfant-Jésus RHSJ†,Vitalité Health Network / Réseau de Santé Vitalité,1 Saint-Pierre Boulevard West Caraquet NB  E1W 1B6,506-726-2100,506-726-2188,https://www.vitalitenb.ca/en/points-service/enfant-jesus-rhsj-hospital,47.790958,-64.949178,POINT (-64.949178 47.790958)
Lamèque Hospital and Community Health Centre / Hôpital et Centre de Santé Communautaire de Lamèque,Vitalité Health Network / Réseau de Santé Vitalité,"29 De l'Hôpital Street, Lamèque NB",506-344-2261,506-344-3403,https://www.vitalitenb.ca/en/points-service/health-centers/health-centers/lameque-hospital-and-community-health-centre,47.80825,-64.625561,POINT (-64.625561 47.80825)
Tracadie Hospital / Hôpital de Tracadie,Vitalité Health Network / Réseau de Santé Vitalité,"400 Des Hospitalières Street P.O. Box 3180, Main Station Tracadie, New Brunswick E1X 1G5",506-394-3000,NA,https://www.vitalitenb.ca/en/points-service/tracadie-hospital,47.515751,-64.912786,POINT (-64.912786 47.515751)
Chaleur Regional Hospital / Hôpital Régional Chaleur,Vitalité Health Network / Réseau de Santé Vitalité,1750 Sunset Drive Bathurst NB  E2A 4L7,506-544-3000,NA,https://www.vitalitenb.ca/en/points-service/chaleur-regional-hospital,47.618641,-65.649681,POINT (-65.649681 47.618641)
Dr. Georges-L.-Dumont University Hospital Centre / Centre Hospitalier Universitaire Dr-Georges-L.-Dumont,Vitalité Health Network / Réseau de Santé Vitalité,330 Université Avenue Moncton NB  E1C 2Z3,506-862-4000,NA,https://www.vitalitenb.ca/en/points-service/dr-georges-l-dumont-university-hospital-centre,46.097995,-64.80011,POINT (-64.80011 46.097995)
Stella-Maris-de-Kent Hospital / Hôpital Stella-Maris-de-Kent,Vitalité Health Network / Réseau de Santé Vitalité,7714 Route 134 Sainte-Anne-de-Kent NB  E4S 1H5,506-743-7800,NA,https://www.vitalitenb.ca/en/points-service/stella-maris-de-kent-hospital,46.55191,-64.77402,POINT (-64.77402 46.55191)
Hôtel-Dieu Saint-Joseph de Saint-Quentin / Hôtel-Dieu Saint-Joseph de Saint-Quentin,Vitalité Health Network / Réseau de Santé Vitalité,21 Canada Street Saint-Quentin NB  E8A 2P6,506-235-2300,506-235-7201,https://www.vitalitenb.ca/en/points-service/hotel-dieu-saint-joseph-de-saint-quentin,47.509695,-67.393086,POINT (-67.393086 47.509695)
Edmundston Regional Hospital / Hôpital régional d’Edmundston,Vitalité Health Network / Réseau de Santé Vitalité,275 Hébert Boulevard Edmundston NB  E3V 4E4,506-739-2200,506-739-2248,https://www.vitalitenb.ca/en/points-service/edmundston-regional-hospital,47.364409,-68.328094,POINT (-68.328094 47.364409)
Grand Falls General Hospital / Hôpital Général de Grand-Sault,Vitalité Health Network / Réseau de Santé Vitalité,625 Everard H. Daigle Boulevard Grand Falls NB  E3Z 1G5,506-473-7555,506-473-7530,https://www.vitalitenb.ca/en/points-service/grand-falls-general-hospital,47.046312,-67.73936,POINT (-67.73936 47.046312)
Campbellton Regional Hospital / Hôpital Régional de Campbellton,Vitalité Health Network / Réseau de Santé Vitalité,189 Lily Lake Road P.O. Box 880 Campbellton NB  E3N 3H3,506-789-5000,NA,https://www.vitalitenb.ca/en/points-service/campbellton-regional-hospital,47.99411,-66.662277,POINT (-66.662277 47.99411)
Restigouche Hospital Centre / Centre Hospitalier Restigouche,Vitalité Health Network / Réseau de Santé Vitalité,"63 Gallant Drive, P.O. Box 10 Campbellton NB  E3N 3G2",506-760-4000,506-760-4035,https://www.vitalitenb.ca/en/points-service/restigouche-hospital-centre,47.993443,-66.664573,POINT (-66.664573 47.993443)
