INSTAL_COD,INSTAL_NOM,INSTAL_N_1,ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,DATE_OUVER,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"11084464","CENTRE DE SOINS PROLONGÉS GRACE DART","CENTRE DE SOINS PROLONGÉS GRACE DART","11084464","Centre de soins prolongés Grace Dart","Centre de soins prolongés Grace Dart","06","Montréal","5155, rue Sainte-Catherine Est"," ","H1V2A5","66023","Montréal","06533","Hochelaga-Maisonneuve","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","6","1"," ","N","2007-04-04","1974-01-01",-73.5289077759,45.5594596863,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11097029","HÔPITAL JUIF DE RÉADAPTATION","HÔPITAL JUIF DE RÉADAPTATION","11097029","Hôpital juif de réadaptation","Hôpital juif de réadaptation","13","Laval","3205, place Alton-Goldbloom"," ","H7V1R2","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","6","1"," ","N","2007-04-03","1974-02-13",-73.7376403809,45.5487289429,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11755501","CHSLD PROVIDENCE NOTRE-DAME DE LOURDES","CHSLD PROVIDENCE NOTRE-DAME DE LOURDES","11755501","CHSLD Providence Notre-Dame de Lourdes inc.","CHSLD Providence Notre-Dame de Lourdes inc.","06","Montréal","1870, boulevard Pie-IX"," ","H1V2C6","66023","Montréal","06533","Hochelaga-Maisonneuve","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1974-01-01",-73.5406951904,45.549785614,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12114922","ATELIER LE FIL D'ARIANE","ATELIER LE FIL D'ARIANE","12114922","Atelier le fil d'Ariane Inc.","Atelier le fil d'Ariane Inc.","06","Montréal","4837, rue Boyer, app. 100"," ","H2J3E6","66023","Montréal","06322","Plateau-Mont-Royal","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","2","4","1"," ","N","2010-02-24","1983-04-01",-73.5838394165,45.5294494629,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12366043","C.H.S.L.D. BAYVIEW","C.H.S.L.D. BAYVIEW","12366043","CHSLD Bayview Inc.","CHSLD Bayview Inc.","06","Montréal","27, Lakeshore"," ","H9S4H1","66097","Pointe-Claire","06111","Lac Saint-Louis","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","2","1","2"," ","N","2010-02-24","1974-01-01",-73.786567688,45.4486465454,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12383907","RESIDENCE BERTHIAUME-DU TREMBLAY","RESIDENCE BERTHIAUME-DU TREMBLAY","12383907","Résidence Berthiaume-Du Tremblay","Résidence Berthiaume-Du Tremblay","06","Montréal","1635, boulevard Gouin Est"," ","H2C1C2","66023","Montréal","06421","Ahuntsic","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1974-01-01",-73.6630554199,45.5674171448,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12387692","CHSLD POLONAIS MARIE-CURIE-SKLODOWSKA","CHSLD POLONAIS MARIE-CURIE-SKLODOWSKA","11045200","Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal","06","Montréal","5655, rue Bélanger"," ","H1T1G2","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","2","1"," ","N","","1974-01-01",-73.5743331909,45.5810432434,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12399820","LA CHAMPENOISE","LA CHAMPENOISE","12399820","La corporation Notre-Dame de Bon-Secours","La corporation Notre-Dame de Bon-Secours","03","Capitale-Nationale","990, rue Gérard-Morisset"," ","G1S1X6","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","4","6"," ","N","2010-02-24","1974-01-01",-71.2566070557,46.788066864,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12431656","INSTITUT DE CARDIOLOGIE DE MONTRÉAL","INSTITUT DE CARDIOLOGIE DE MONTRÉAL","12431656","Institut de Cardiologie de Montréal","ICM","06","Montréal","5000, rue Bélanger"," ","H1T1C8","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","4","1","2","N","","1974-01-01",-73.5778198242,45.573764801,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12452645","HÔPITAL MARIE-CLARAC","HÔPITAL MARIE-CLARAC","12452645","Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) Inc.","Hôp. Marie-Clarac des Soeurs de Charité de Ste-Marie","06","Montréal","3530, boulevard Gouin Est"," ","H1H1B7","66023","Montréal","06422","Montréal-Nord","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1974-01-01",-73.6497421265,45.5908355713,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
