idx,facility_name,facility_type,longitude,latitude,street_addr,city,phone,website,provider
0,SIX08 PHARMACY,covid_vaccination_centres,-112.837636398284,49.692741976171,608 5 AVE S,LETHBRIDGE,403-694-3352,,Calgary
1,PENHOLD PHARMACY,covid_vaccination_centres,-113.868841727683,52.139603574175,3-1380 ROBINSON AVE,PENHOLD,403-886-4466,,Calgary
2,MANNING PHARMACY,covid_vaccination_centres,-113.423700179554,53.60039277954,228 MANNING CROSS NW,EDMONTON,780-758-9595,,Calgary
3,WHITEMUD PHARMACY,covid_vaccination_centres,-113.503608272575,53.478009981513,101-4075 106 ST NW,EDMONTON,780-395-0788,,Calgary
4,UNIVERSAL HEALTH PHARMACY #6,covid_vaccination_centres,-113.988956744033,51.275632907198,3-1861 MEADOWBROOK DR SE,AIRDRIE,403-980-7001,,Calgary
5,THORHILD DRUG STORE,covid_vaccination_centres,-113.124249072787,54.160244347264,722 1 ST,THORHILD,780-398-3883,,Calgary
6,STURGEON PHARMACY,covid_vaccination_centres,,,150-625 ST ALBERT TR,ST ALBERT,780-569-1722,,Calgary
7,BURNEWOOD SQUARE PHARMACY,covid_vaccination_centres,,,3416 43 AVE NW,EDMONTON,780-757-0098,,Calgary
8,APPLE DRUGS,covid_vaccination_centres,-112.704778943631,52.323887330839,4825 50 ST,STETTLER,403-742-8688,,Calgary
9,LONDON DRUGS #45,covid_vaccination_centres,-113.523632130245,53.547637370297,11704 104 AVE NW,EDMONTON,780-488-2600,https://www.londondrugs.com/covid19,Calgary
10,HEALTHY CHOICE PHARMACY 101,covid_vaccination_centres,-113.638955501271,53.639539141704,9430 MCKENNEY AVE,ST ALBERT,780-460-0579,https://www.hcpedmonton.ca,Calgary
11,CRESCENT DRUGS LTD.,covid_vaccination_centres,-111.974598916588,54.770882569618,10029 101 AVE,LAC LA BICHE,780-623-4059,,Calgary
12,PHARMASAVE BEVERLY,covid_vaccination_centres,-113.399925717115,53.57032061795,3729 118 AVE NW,EDMONTON,780-474-9344,https://pharmasave.com/edmonton-beverly/location/,Calgary
13,MEDHOUSE PHARMACY & TRAVEL CLINIC,covid_vaccination_centres,-115.672300001753,54.142137254261,2B-4439 52 AVE,WHITECOURT,780-779-9900,,Calgary
14,MEDICINE SHOPPE PHARMACY 127,covid_vaccination_centres,-112.813221173083,49.683126226389,1016A 20 ST S,LETHBRIDGE,403-380-3282,https://www.medicineshoppebyhospital.ca,Calgary
15,DRUGSTORE PHARMACY #9021,covid_vaccination_centres,-111.325091464844,54.005315733262,5701 50 AVE,ST PAUL,780-645-7035,https://www.extrafoods.ca/covid19,Calgary
16,PHARMASAVE #364,covid_vaccination_centres,-114.234068781603,50.688597383873,124 CENTRE AVE W,BLACK DIAMOND,,https://pharmasave.com/black-diamond/covid-vaccinations/,Calgary
