idx,facility_name,facility_type,number_beds,longitude,latitude,street_no,street_name,phone,provider
0,AUTUMN LEE RETIREMENT HOME II,Special Care Home,45,-64.85683550999994,46.12424093300007,2031,MOUNTAIN,(506) 384-7658,Moncton
1,BIRCHMOUNT LODGE,Special Care Home,32,-64.82544761299994,46.10674298300006,144,BIRCHMOUNT,(506) 384-7573,Moncton
2,BRAE MANOR,Special Care Home,3,-64.76673425399997,46.11905204900006,101,ELLERDALE,(506) 383-9228,Moncton
3,BURNS MANOR,Special Care Home,15,-64.79041864099997,46.09655490100005,26,BROMLEY,(506) 852-3554,Moncton
4,Camden Park Terrace,Seinor Complex,0,-64.81998187699998,46.08187479400004,55,CAMDEN,,Moncton
5,Church Court,Seinor Complex,71,-64.77904756999993,46.09031279800007,80,CHURCH,,Moncton
6,MAISON RENAISSANCE LTEE,Special Care Home,20,-64.77691447899997,46.09060129900007,62,BOTSFORD,(506) 383-1280,Moncton
7,FOYER CHEZ NOUS MONCTON,Special Care Home,13,-64.79465478899994,46.08623907200007,30,BURLINGTON,(506) 857-9863,Moncton
8,GOLDEN YEARS ESTATE LTD,Special Care Home,80,-64.86195687999999,46.05993327100003,25,JABEZ,(506) 854-7464,Moncton
9,LA RÉSIDENCE SIESTA LTÉE,Special Care Home,10,-64.77216322899994,46.11924809800007,508,ELMWOOD,(506) 855-6736,Moncton
10,LEFURGEY RESIDENCE,Special Care Home,30,-64.80852571899999,46.10105553300008,30,LEFURGEY,(506) 855-4622,Moncton
11,LJ JAILLET RESIDENCE INC.,Special Care Home,10,-64.79715458499999,46.09348377600003,30,LOCKHART,(506) 830-8175,Moncton
12,MAISON BONHEUR,Special Care Home,12,-64.79466338999998,46.09767720900004,406,HIGH,(506) 854-3460,Moncton
13,MANOIR NOTRE-DAME MANOR,Special Care Home,120,-64.77787776199995,46.11715819800003,110,MURPHY,(506) 857-9011,Moncton
14,OPEN ARMS SPECIAL CARE HOME,Special Care Home,8,-64.72855106799994,46.11543650100003,98,GLENGROVE,(506) 204-8409,Moncton
15,RESIDENCE AVENTURE,Special Care Home,30,-64.77276988899996,46.13845522600008,1076,ELMWOOD,(506) 874-0757,Moncton
16,RESIDENCE COLLETTE RESIDENCE INC.,Special Care Home,18,-64.77321422299997,46.09190567900004,64,STEADMAN,(506) 874-0757,Moncton
17,SMITH SPECIAL CARE HOME LTD,Special Care Home,10,-64.79745559699995,46.07919239600005,56,DORCHESTER,(506) 874-0757,Moncton
18,SUNSET VILLAGE,Special Care Home,25,-64.79146347999995,46.12194263600003,45,LEOPOLD F. BELLIVEAU,(506) 389-1335,Moncton
19,RESIDENCE MCDOUGALL,Special Care Home,30,-64.78957336499997,46.08907922900005,37,MCDOUGALL,(506) 382-7520,Moncton
20,THE BRIARLEA,Special Care Home,24,-64.85852095699994,46.12586340100006,75,BRIARLEA,(506) 857-8866,Moncton
21,CAREY HOUSE (THE),Special Care Home,10,-64.79128365099996,46.09512841300005,337,CAMERON,(506) 388-2868,Moncton
22,TRUEMAN HOUSE,Special Care Home,9,-64.77936202099994,46.09745296000006,265,CHURCH,(506) 389-3138,Moncton
23,SUNSHINE HOUSE,Special Care Home,9,-64.78869339399995,46.09112235600003,164,PARK,(506) 870-0353,Moncton
24,RESIDENCE HELENE RESIDENCE INC,Special Care Home,20,-64.80566866999993,46.09756525200004,46,WINNIPEG,(506) 855-3366,Moncton
25,GRASS HOME LTD.,Special Care Home,6,-64.82220144899998,46.05917455000008,774,COVERDALE,(506) 386-1740,Moncton
