idx,facility_name,facility_type,longitude,latitude,street_addr,provider
0,Archives Nationales,Édifice fédéral,45.487452,-75.676786,625 Boulevard du Carrefour,Gatineau
1,Résidence Cité-Jardin,Résidence pour personnes âgées,45.486385,-75.68749,60 Rue de la Futaie,Gatineau
2,Cinéma 9,Cinéma,45.481,-75.686799,120 Boulevard de l'Hôpital,Gatineau
3,Centre de réadaptation en dépendance,Autres services médicaux et de santé,45.422431,-75.748249,25 Rue Saint-François,Gatineau
4,Centre d'hébergement Bon Séjour,C.H.S.L.D.,45.481621,-75.647589,134 Rue Jean-René-Monette,Gatineau
5,Usine de filtration Secteur Hull,Usine de traitement des eaux,45.419376,-75.753116,291 Boulevard de Lucerne,Gatineau
6,Édifice Jos-Monferrand,Édifice municipal,45.426872,-75.711457,170 Rue de l'Hôtel-de-Ville,Gatineau
7,Centre communautaire Saint-Jean-De Brébeuf,Centre communautaire,45.46431,-75.707064,70 Rue Moreau,Gatineau
8,Parc Apollo,Parc récréatif,45.487214,-75.670275,520 Rue Carle,Gatineau
9,La Fonderie,Centre sportif,45.430451,-75.731136,211 Rue Montcalm,Gatineau
10,Plaza Glenwood,Centre commercial,45.394896,-75.832427,210 Chemin d'Aylmer,Gatineau
11,Galeries Aylmer,Centre commercial,45.396974,-75.836098,181 Rue Principale,Gatineau
12,Édifice Louis-St-Laurent,Immeuble à bureaux,45.444997,-75.729356,555 Boulevard de la Carrière,Gatineau
13,Édifice Vincent-Massey,Immeuble à bureaux,45.442749,-75.733061,351 Boulevard Saint-Joseph,Gatineau
14,Terrasse de la Chaudière - Édifice Nord,Immeuble à bureaux,45.425592,-75.721814,10 Rue Wellington,Gatineau
15,Terrasse de la Chaudière - Édifice Sud,Immeuble à bureaux,45.425709,-75.720285,15 Rue Eddy,Gatineau
16,Édifice Fontaine,Immeuble à bureaux,45.436946,-75.709264,200 Boulevard Sacré-Coeur,Gatineau
17,La porte de Gatineau,Centre commercial,45.475072,-75.704559,25 Chemin de la Savane,Gatineau
18,Galeries Gatineau,Centre commercial,45.47815,-75.689222,920 Boulevard Maloney Ouest,Gatineau
19,Les Promenades Gatineau,Centre commercial,45.476019,-75.697666,1100 Boulevard Maloney Ouest,Gatineau
20,Place Lucerne,Centre commercial,45.395,-75.834372,200 Rue Principale,Gatineau
21,Centre Grande-Rivière,Centre commercial,45.396696,-75.833637,203 Chemin d'Aylmer,Gatineau
22,Garderie éducative Le petit Caneton 2,Service de garderie,45.483364,-75.611297,814 Boulevard Maloney Est,Gatineau
23,Garderie Pré maternelle Touraine,Service de garderie,45.476454,-75.729573,13 Avenue Gatineau,Gatineau
24,Pavillon Marcel D'amour,Autre centre de services sociaux,45.424816,-75.740669,30 Rue Pharand,Gatineau
25,Résidence de Hull,"Résidence pour personnes âgées(Type ""Familiale"")",45.462816,-75.749229,46 Rue Lucien-Brault,Gatineau
26,Résidence Corbeil,Résidence pour personnes âgées,45.451052,-75.75075,63 Rue Corbeil,Gatineau
