,MUNID,CODEID,TYPE,NO_CIVIQUE,GENERIQUE,LIAISON,SPECIFIQUE,DIRECTION,ADR_COMPLE,NOM_TOPOGR,COTE,SECTION,ENTITEID,GEOM,LONGITUDE,LATITUDE
1,81017,79,Résidence pour personnes âgées,,,,,,60 Rue de la Futaie,Résidence Cité-Jardin,,,{88DE67A5-88F2-47D7-B4AA-BEDC8049F255},POINT (-75.68749 45.486385),45.486385,-75.68749
3,81017,1162,Autres services médicaux et de santé,,,,,,25 Rue Saint-François,Centre de réadaptation en dépendance,,,{C640A131-656C-4A21-AE93-D6120CDE0A0A},POINT (-75.748249 45.422431),45.422431,-75.748249
4,81017,1163,C.H.S.L.D.,,,,,,134 Rue Jean-René-Monette,Centre d'hébergement Bon Séjour,,,{52C9F9B7-3721-4204-A13B-388828278AD5},POINT (-75.647589 45.481621),45.481621,-75.647589
25,81017,1320,"Résidence pour personnes âgées(Type ""Familiale"")",,,,,,46 Rue Lucien-Brault,Résidence de Hull,,,{D0F9697B-E020-4A5B-BA8F-0C6281A8A455},POINT (-75.749229 45.462816),45.462816,-75.749229
26,81017,1321,Résidence pour personnes âgées,,,,,,63 Rue Corbeil,Résidence Corbeil,,,{CA547E09-5E5E-45C4-B03F-F46D90EAE346},POINT (-75.75075 45.451052),45.451052,-75.75075
27,81017,1322,Résidence pour personnes âgées,,,,,,20 Rue Laferrière,Résidence de Gatineau,,,{73879B5F-EA60-4681-A7E7-D3CD7C44CC19},POINT (-75.691922 45.473574),45.473574,-75.691922
31,81017,66,Résidence pour personnes âgées,,,,,,39 Rue Amherst,Résidence Chartwell Domaine Notre-Dame,,,{F63ABB31-48C8-4FE9-B07B-1EDEE3C79EB8},POINT (-75.734505 45.433963),45.433963,-75.734505
48,81017,726,Résidence pour personnes âgées,,,,,,250 Boulevard Saint-Raymond,Domaine des Trembles,,,{9DDC8CCF-E2BE-4951-A3F2-09C26897CFB9},POINT (-75.763016 45.428943),45.428943,-75.763016
49,81017,727,Résidence pour personnes âgées,,,,,,195 Boulevard Saint-Joseph,Les Jardins Notre-Dame,,,{A3C36254-F658-4ED9-AB8C-A105C293091F},POINT (-75.733596 45.433939),45.433939,-75.733596
55,81017,1323,Résidence pour personnes âgées,,,,,,244 Rue Maclaren Ouest,Résidence Sérénité J.D.K.,,,{B3607B4E-1B21-4F44-BFD6-967C7B859DDD},POINT (-75.429123 45.587783),45.587783,-75.429123
56,81017,1324,Résidence pour personnes âgées,,,,,,283 Rue de Melbourne,Résidence Shayla,,,{51D4AF42-D21C-4A41-A37B-EA61B1D1C9DD},POINT (-75.677304 45.47756),45.47756,-75.677304
57,81017,78,Résidence pour personnes âgées,,,,,,156 Boulevard Lorrain,Manoir Sainte-Marie,,,{54A3A653-EE8D-4ED8-8F62-C2B64C2E5790},POINT (-75.607934 45.499707),45.499707,-75.607934
63,81017,11,Autres services médicaux et de santé,,,,,,200 Rue Robert-Wright,Pavillon du Parc (Hull-Aylmer),,,{97D92463-29A5-450F-BCBC-81AFE705EE98},POINT (-75.848516 45.406681),45.406681,-75.848516
66,81017,17,C.L.S.C.,,,,,,425 Rue LeGuerrier,C.L.S.C de Gatineau (LeGuerrier),,,{7858F219-1CC6-494F-A45D-E469174E1EE8},POINT (-75.836049 45.39946),45.39946,-75.836049
70,81017,27,Centre hospitalier,,,,,,20 Rue Pharand,Centre hospitalier Pierre-Janet,,,{8F669DD5-8983-4283-855D-8D8CD7D7D4AF},POINT (-75.739988 45.425276),45.425276,-75.739988
80,81017,49,Centre hospitalier,,,,,,116 Boulevard Lionel-Émond,Hôpital de Hull,,,{4D6996F9-A81F-43B2-94FD-143EBF895547},POINT (-75.745987 45.444341),45.444341,-75.745987
