,Location,Address1,Address2,City,Phone,DateAvailable,BookingLink,VaccineType,VaccineType2,VaccineType3,walkInAvailability,DX_COORDINATES,Take Home Test Kits,POINT,LONGITUDE,LATITUDE
0,SIX08 PHARMACY,608 5 AVE S,,LETHBRIDGE,403-694-3352,Over 4 weeks,,PFIZER,MODERNA,,True,"49.6927419761712, -112.83763639828382",,POINT (-112.837636398284 49.692741976171),-112.837636398284,49.692741976171
1,PENHOLD PHARMACY,3-1380 ROBINSON AVE,,PENHOLD,403-886-4466,Over 4 weeks,,PFIZER,,,False,"52.139603574175105, -113.86884172768282",,POINT (-113.868841727683 52.139603574175),-113.868841727683,52.139603574175
2,MANNING PHARMACY,228 MANNING CROSS NW,,EDMONTON,780-758-9595,Over 4 weeks,,PFIZER,MODERNA,,False,"53.60039277954047, -113.42370017955373",,POINT (-113.423700179554 53.60039277954),-113.423700179554,53.60039277954
3,WHITEMUD PHARMACY,101-4075 106 ST NW,,EDMONTON,780-395-0788,Over 4 weeks,,PFIZER,MODERNA,,False,"53.47800998151317, -113.50360827257539",,POINT (-113.503608272575 53.478009981513),-113.503608272575,53.478009981513
4,UNIVERSAL HEALTH PHARMACY #6,3-1861 MEADOWBROOK DR SE,,AIRDRIE,403-980-7001,Over 4 weeks,,PFIZER,MODERNA,,True,"51.275632907197526, -113.98895674403269",,POINT (-113.988956744033 51.275632907198),-113.988956744033,51.275632907198
5,THORHILD DRUG STORE,722 1 ST,,THORHILD,780-398-3883,Over 4 weeks,,PFIZER,,,False,"54.16024434726392, -113.12424907278651",,POINT (-113.124249072787 54.160244347264),-113.124249072787,54.160244347264
6,STURGEON PHARMACY,150-625 ST ALBERT TR,,ST ALBERT,780-569-1722,Over 4 weeks,,PFIZER,MODERNA,,False,,,,,
7,BURNEWOOD SQUARE PHARMACY,3416 43 AVE NW,,EDMONTON,780-757-0098,Over 4 weeks,,PFIZER,,,False,,,,,
8,APPLE DRUGS,4825 50 ST,,STETTLER,403-742-8688,Over 4 weeks,,PFIZER,,,True,"52.32388733083883, -112.70477894363059",,POINT (-112.704778943631 52.323887330839),-112.704778943631,52.323887330839
9,LONDON DRUGS #45,11704 104 AVE NW,,EDMONTON,780-488-2600,Over 4 weeks,https://www.londondrugs.com/covid19,PFIZER,,,True,"53.547637370297224, -113.52363213024483",,POINT (-113.523632130245 53.547637370297),-113.523632130245,53.547637370297
10,HEALTHY CHOICE PHARMACY 101,9430 MCKENNEY AVE,,ST ALBERT,780-460-0579,Over 4 weeks,https://www.hcpedmonton.ca,PFIZER,MODERNA,,True,"53.639539141703686, -113.63895550127133",,POINT (-113.638955501271 53.639539141704),-113.638955501271,53.639539141704
11,CRESCENT DRUGS LTD.,10029 101 AVE,,LAC LA BICHE,780-623-4059,Over 4 weeks,,PFIZER,MODERNA,,True,"54.7708825696176, -111.97459891658798",,POINT (-111.974598916588 54.770882569618),-111.974598916588,54.770882569618
12,PHARMASAVE BEVERLY,3729 118 AVE NW,,EDMONTON,780-474-9344,Over 4 weeks,https://pharmasave.com/edmonton-beverly/location/,MODERNA,,,True,"53.57032061795037, -113.39992571711542",,POINT (-113.399925717115 53.57032061795),-113.399925717115,53.57032061795
13,MEDHOUSE PHARMACY & TRAVEL CLINIC,2B-4439 52 AVE,,WHITECOURT,780-779-9900,Over 4 weeks,,PFIZER,MODERNA,,True,"54.14213725426147, -115.67230000175303",,POINT (-115.672300001753 54.142137254261),-115.672300001753,54.142137254261
