OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_PUBLIC_UNITS,MENTAL_HEALTH_PRIVATE_PAY_UNITS,SENIOR_ASSISTED_LIVING,SENIOR_PUBLIC_UNITS,SENIOR_PRIVATE_PAY_UNITS,SUPPORTIVE_RECOVERY,SUPPORTIVE_RECOVERY_PUBLIC_UNITS,SUPPORTIVE_RECOVERY_PRIVATE_PAY_UNITS,LONGITUDE,LATITUDE
Amica Arbutus Manor Inc.,Amica Arbutus Manor,Assisted Living,2125 Eddington Drive,Vancouver,V6L 3A9,(604) 736-8936,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,0,60,N,,,-123.1558789,49.2476316
Amica Somerset House Inc.,Amica Somerset House,Assisted Living,540 Dallas Road,Victoria,V8V 4X9,(250) 380-9121,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,0,68,N,,,-123.3762578,48.411872
Amica West Vancouver Inc.,Amica West Vancouver,Assisted Living,659 Clyde Avenue,West Vancouver,V7T 1C8,(604) 921-9181,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,0,87,N,,,-123.1332044,49.3285715
Augustine House Society,Augustine House,Assisted Living,3820 Arthur Drive,Delta,V4K 5E6,(604) 940-6005,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,20,55,N,,,-123.0769909,49.0730448
John Howard Society Thompson Region,Bedford Manor,Assisted Living,529 Seymour Street,Kamloops,V2C 0A1,(250) 434-1702,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,76,0,N,,,-120.3283813,50.6747498
0869632 BC LTD,Bevan Village,Assisted Living,33386 Bevan Avenue,Abbotsford,V2S 5G6,(604) 850-5416,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,35,N,,,-122.2992395,49.0413325
Lake Country Senior Housing Society,Blue Heron Villa,Assisted Living,9509 Main Street,Lake Country,V4V 2N3,(250) 766-1660,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,25,0,N,,,-119.4039656,50.0204549
Grand Forks and District Housing Society,Boundary Lodge Assisted Living,Assisted Living,7130 9th Street,Grand Forks,V0H 1H4,(250) 443-0006,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,17,1,N,,,-118.4443059,49.0288153
Chartwell Master Care LP (Chartwell Carrington Place),Carrington Place,Assisted Living,4651  - 4751  23rd Street,Vernon,V1T 4K7,(250) 545-5704,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,55,N,,,-119.2619121,50.2812067
Chartwell Master Care LP,Churchill House,Assisted Living,150 West 29th Street,North Vancouver,V7N 2J8,(604) 904-1199,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,32,27,N,,,-123.0733402,49.3360817
Baptist Housing Society of BC,Clarendon Court,Assisted Living,6404 Clarendon Street,Vancouver,V5S 4X9,(604) 324-6230,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,56,4,N,,,-123.0554181,49.2255956
Arrowsmith Health Care (2011) Society,Cokely Manor,Assisted Living,266A Moilliet Street,Parksville,V9P 1M9,(250) 947-9777,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,30,0,N,,,-124.3236216,49.3161292
Golden Life Management Corp.,Columbia Garden Village,Assisted Living,"800-10th Avenue, PO Box 578",Invermere,V0A 1K0,(250) 341-3350,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,8,32,N,,,-116.0331677,50.5076471
