,SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,STREET_NAME,STREET_TYPE,STREET_DIRECTION,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
0,LN-8500,Urgent Care Centres,17644351,Fraser Health Authority,17646215,Surrey-Newton Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in the Surrey-Newton area. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Call before going to the clinic to confirm current availability and hours. Please call the clinic before faxing confidential patient information. ECG, IV Therapy and medical imaging such as x-ray services, are not offered at this location. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",68622562,17645370,,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/0/1/urgent-and-primary-care-centre---surrey-newton/,,Y,,Mon 17:00 - 21:00; Tue 17:00 - 21:00; Wed 17:00 - 21:00; Thu 17:00 - 21:00; Fri 17:00 - 21:00; Sat 09:00 - 21:00; Sun 09:00 - 21:00; Urgent care hours as noted; open all statutory holidays 09:00 - 21:00. Patients pre-registered at the clinic for primary care services should call to book an appointment.,,,,,,,,49.126631,-122.845129,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646215&SiteResourceAgencyNum=17645370
1,LN-8500,Urgent Care Centres,17644351,Fraser Health Authority,17646333,Abbotsford Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Abbotsford. Areas of concern can include minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Call before going to the clinic to confirm current availability and hours. Please note the following: Urgent care for patients not attached to the clinic is available on Saturday and Sundays, 8am to 4pm. � Primary care for�patients attached to the clinic is available by appointment, weekdays, 8am to 4pm. � Call the clinic before faxing confidential patient information. � ECG, IV Therapy and medical imaging such as x-ray services, are not offered at this location. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",69025955,17645573,,https://www.fraserhealth.ca/Service-Directory/Services/primary-care-services/urgent-and-primary-care-centre,,Y,,"Mon 08:00 - 16:00; Tue 08:00 - 16:00; Wed 08:00 - 16:00; Thu 08:00 - 16:00; Fri 08:00 - 16:00; Primary care hours as noted. Urgent care is available on Sat and Sun, 08:00 - 16:00. For statutory holidays call the centre for hours of operation.",,,,,,,,49.05095,-122.337192,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646333&SiteResourceAgencyNum=17645573
2,LN-8500,Urgent Care Centres,17644351,Fraser Health Authority,17646345,Tri-Cities Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in the Port Moody, Coquitlam and Port Coquitlam area. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, and cuts, wounds or skin conditions. Call before going to the clinic to confirm current availability and hours. COVID-19 testing and results, whether positive or negative, are required for any patient with active respiratory symptoms or fever, before attending the clinic. � ECG, IV Therapy and medical imaging such as x-ray services, are not offered at this location. � Call for fax number and before faxing confidential patient information. COVID-19 testing is not provided at this location. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",72794289,17644357,,https://www.fraserhealth.ca/Service-Directory/Services/primary-care-services/urgent-and-primary-care-centre,,Y,,Mon 13:00 - 20:00; Tue 13:00 - 20:00; Wed 13:00 - 20:00; Thu 13:00 - 20:00; Fri 13:00 - 20:00; Sat 13:00 - 20:00; Sun 13:00 - 20:00; Open all statutory holidays,,,,,,,,49.283374,-122.823597,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646345&SiteResourceAgencyNum=17644357
3,LN-8500,Urgent Care Centres,17644351,Fraser Health Authority,59463672,Surrey Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Surrey. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Call before going to the clinic to confirm current availability and hours. Please call the clinic before faxing confidential patient information. ECG, IV Therapy and medical imaging such as x-ray services, are not offered at this location. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",59463685,59463682,,https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/surrey-urgent-and-primary-care-centre,,Y,,Mon 10:00 - 21:00; Tue 10:00 - 21:00; Wed 10:00 - 21:00; Thu 10:00 - 21:00; Fri 10:00 - 21:00; Sat 10:00 - 21:00; Sun 10:00 - 21:00; Open all statutory holidays,,,,,,,,49.178002,-122.842316,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=59463672&SiteResourceAgencyNum=59463682
4,LN-8500,Urgent Care Centres,17644351,Fraser Health Authority,64378615,Edmonds Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Burnaby and New Westminster. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Call before going to the clinic to confirm current availability and hours. Please call the clinic before faxing confidential patient information. ECG, IV Therapy and medical imaging such as x-ray services, are not offered at this location. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",64378923,17645874,,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/9/D/urgent-primary-care-centre---edmonds,,Y,,Mon 17:00 - 21:00; Tue 17:00 - 21:00; Wed 17:00 - 21:00; Thu 17:00 - 21:00; Fri 17:00 - 21:00; Sat 14:00 - 20:00; Sun 12:00 - 18:00; Statutory holiday hours: 12:00 - 18:00,,,,,,,,49.218824,-122.950948,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=64378615&SiteResourceAgencyNum=17645874
5,LN-8500,Urgent Care Centres,17644351,Fraser Health Authority,64704999,Ridge Meadows Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Maple Ridge, Pitt Meadows, and Katzie First Nation. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Call before going to the clinic to confirm current availability and hours. Please call the clinic before faxing confidential patient information. ECG, IV Therapy and medical imaging such as x-ray services, are not offered at this location. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",69967957,17644855,,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/F/C/urgent-primary-care-centre---ridge-meadows,,Y,Translation services may be available; bringing an interpreter recommended,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 20:00; Sun 09:00 - 20:00; Open all statutory holidays,,,,,,,,49.218065,-122.598585,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=64704999&SiteResourceAgencyNum=17644855
6,LN-8500,Urgent Care Centres,17646543,Interior Health Authority,17647805,Penticton Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Penticton. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Call before going to the clinic to confirm current availability and hours. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",72031179,39970096,,https://www.interiorhealth.ca/locations/penticton-urgent-and-primary-care-centre,,Y,,"Mon 17:00 - 20:00; Tue 17:00 - 20:00; Wed 17:00 - 20:00; Thu 17:00 - 20:00; Fri 17:00 - 20:00; Sat 12:00 - 18:00; Sun 12:00 - 18:00; Urgent care hours as shown; open all statutory holidays, 12:00 - 18:00. Primary care services available Mon - Fri, 08:00 - 16:00.",,,,,,,,49.496036,-119.592963,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647805&SiteResourceAgencyNum=39970096
7,LN-8500,Urgent Care Centres,17646543,Interior Health Authority,17648745,Castlegar Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Castlegar. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Patients with COVID-19 symptoms should call before going to the clinic. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",17648746,17646810,,https://www.interiorhealth.ca/locations/castlegar-urgent-primary-care-centre,,Y,,Mon 08:00 - 20:00; Tue 08:00 - 20:00; Wed 08:00 - 20:00; Thu 08:00 - 20:00; Fri 08:00 - 20:00; Sat 08:00 - 20:00; Sun 08:00 - 20:00; Open all statutory holidays,,,,,,,,49.314395,-117.659998,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648745&SiteResourceAgencyNum=17646810
8,LN-8500,Urgent Care Centres,17646543,Interior Health Authority,17648747,West Kelowna Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in West Kelowna. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Patients with COVID-19 symptoms should call before going to the clinic. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",70201523,17647066,,https://www.interiorhealth.ca/locations/west-kelowna-urgent-and-primary-care-centre,,Y,,"Mon 16:30 - 20:30; Tue 16:30 - 20:30; Wed 16:30 - 20:30; Thu 16:30 - 20:30; Fri 16:30 - 20:30; Sat 11:30 - 20:30; Sun 11:30 - 20:30; Open all statutory holidays, 16:30 - 20:30",,,,,,,,49.830704,-119.630373,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648747&SiteResourceAgencyNum=17647066
9,LN-8500,Urgent Care Centres,17646543,Interior Health Authority,58424172,Kamloops Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Kamloops. Offers same-day care for concerns such as minor injuries, sprains and strains, infections, less serious child illness and injury, high fever, asthma attacks, and cuts, wounds or skin conditions. All visits scheduled by telephone appointment only; no walk-in. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",58424175,17646898,,https://www.interiorhealth.ca/locations/kamloops-urgent-primary-care-learning-centre,,Y,,Mon 10:00 - 22:00; Tue 10:00 - 22:00; Wed 10:00 - 22:00; Thu 10:00 - 22:00; Fri 10:00 - 22:00; Sat 10:00 - 22:00; Sun 10:00 - 22:00; Appointment required. Open all statutory holidays.,,,,,,,,50.671418,-120.334025,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=58424172&SiteResourceAgencyNum=17646898
10,LN-8500,Urgent Care Centres,17646543,Interior Health Authority,65341461,Vernon Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Vernon. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Patients with COVID-19 symptoms should call before going to the clinic. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",67470621,17648252,,https://www.interiorhealth.ca/locations/vernon-urgent-and-primary-care-centre,,Y,,Mon 09:30 - 20:30; Tue 09:30 - 20:30; Wed 09:30 - 20:30; Thu 09:30 - 20:30; Fri 09:30 - 20:30; Sat 09:30 - 20:30; Sun 09:30 - 20:30; Self-scheduled appointments and walk-in accepted. Open all statutory holidays.,,,,,,,,50.2625,-119.272591,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=65341461&SiteResourceAgencyNum=17648252
11,LN-8500,Urgent Care Centres,17646543,Interior Health Authority,65925427,Kelowna Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Kelowna. Offers same-day care for concerns such as minor injuries, sprains and strains, less serious child illness and injury, infections, and cuts, wounds or skin conditions. Patients with COVID-19 symptoms should call before going to the clinic. For COVID-19 testing information, visit the BC Centre for Disease Control (BCCDC) testing page to find a collection centre near you.",65925443,65925440,,https://www.interiorhealth.ca/locations/kelowna-urgent-primary-care-centre,,Y,Translation services available upon request,Mon 09:30 - 20:30; Tue 09:30 - 20:30; Wed 09:30 - 20:30; Thu 09:30 - 20:30; Fri 09:30 - 20:30; Sat 09:30 - 20:30; Sun 09:30 - 20:30; Open all statutory holidays,,,,,,,,49.883135,-119.475508,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=65925427&SiteResourceAgencyNum=65925440
12,LN-8500,Urgent Care Centres,17648936,Vancouver Coastal Health,17649800,Urgent Care Centre,"Provides non-emergency health care services for common illness and injuries such as cuts that need stitches, the flu, sprains, broken bones, allergies, skin infections, fever, and minor burns. Diagnostic services and blood testing is also available. No appointment is necessary.",17649801,17648975,6048227121.0,http://www.vch.ca/locations-services/result?res_id=991,,Y,,Mon 08:00 - 22:00; Tue 08:00 - 22:00; Wed 08:00 - 22:00; Thu 08:00 - 22:00; Fri 08:00 - 22:00; Sat 08:00 - 22:00; Sun 08:00 - 22:00; Open all statutory holidays,,,,,,,,49.264671,-123.244259,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17649800&SiteResourceAgencyNum=17648975
13,LN-8500,Urgent Care Centres,17648936,Vancouver Coastal Health,17650275,REACH Urgent and Primary Care Centre,"Provides team-based care for non-emergency health concerns to individuals in Vancouver. Offers same-day care for concerns such as minor injuries, sprains and strains, infections, less serious child illness and injury, prescription renewal, and cuts, wounds or skin conditions. For COVID-19 testing and assessment, call and leave a voice message to book an appointment. The clinic also offers mental health and substance use referrals for mild concerns and family physician attachment to individuals living Vancouver.",67097083,43803975,,http://www.vch.ca/Locations-Services/result?res_id=1469,,Y,,Mon 08:00 - 22:00; Tue 08:00 - 22:00; Wed 08:00 - 22:00; Thu 08:00 - 22:00; Fri 08:00 - 22:00; Sat 08:00 - 22:00; Sun 09:00 - 17:00; Last patient accepted approximately 1 hour before closing. Open all statutory holidays 09:00 -17:00.,,,,,,,,49.274391,-123.069697,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17650275&SiteResourceAgencyNum=43803975
