,FID,FACILITY_NAME,FACILITY_TYPE,ADDRKEY,CIVIC,STNAME,STTYPE,JURISDICTION,COMMENT,APP_NUMBEDS,CONTACTNAME,CONTACTNUMBER,Language,NumBeds_int,geometry,LONGITUDE,LATITUDE
0,1,AUTUMN LEE RETIREMENT HOME II,Special Care Home,14755.0,2031,MOUNTAIN,RD,MONCTON,,45,WANDA PENNEY,(506) 384-7658,ENGLISH,45,POINT (-64.85683550999994 46.12424093300007),-64.85683550999994,46.12424093300007
1,2,BIRCHMOUNT LODGE,Special Care Home,2764.0,144,BIRCHMOUNT,DR,MONCTON,,32,UNKNOWN,(506) 384-7573,BILINGUAL,32,POINT (-64.82544761299994 46.10674298300006),-64.82544761299994,46.10674298300006
2,3,BRAE MANOR,Special Care Home,6925.0,101,ELLERDALE,AVE,MONCTON,,3,DINA MARCHETTI-GIROUARD,(506) 383-9228,ENGLISH,3,POINT (-64.76673425399997 46.11905204900006),-64.76673425399997,46.11905204900006
3,4,BURNS MANOR,Special Care Home,3634.0,26,BROMLEY,AVE,MONCTON,,15,JENNIFER BURNS,(506) 852-3554,BILINGUAL,15,POINT (-64.79041864099997 46.09655490100005),-64.79041864099997,46.09655490100005
4,5,Camden Park Terrace,Seinor Complex,23985.0,55,CAMDEN,CRES,MONCTON,,Unknown,,,,0,POINT (-64.81998187699998 46.08187479400004),-64.81998187699998,46.08187479400004
5,6,Church Court,Seinor Complex,5010.0,80,CHURCH,ST,MONCTON,,71,,,,71,POINT (-64.77904756999993 46.09031279800007),-64.77904756999993,46.09031279800007
6,7,MAISON RENAISSANCE LTEE,Special Care Home,3127.0,62,BOTSFORD,ST,MONCTON,,20, MARC LEGER,(506) 383-1280,BILINGUAL,20,POINT (-64.77691447899997 46.09060129900007),-64.77691447899997,46.09060129900007
7,8,FOYER CHEZ NOUS MONCTON,Special Care Home,3859.0,30,BURLINGTON,AVE,MONCTON,,13,DONALD B. VOSBURGH SR,(506) 857-9863,BILINGUAL,13,POINT (-64.79465478899994 46.08623907200007),-64.79465478899994,46.08623907200007
8,10,GOLDEN YEARS ESTATE LTD,Special Care Home,27347.0,25,JABEZ,ST,MONCTON,,80,JASON LANE,(506) 854-7464,ENGLISH,80,POINT (-64.86195687999999 46.05993327100003),-64.86195687999999,46.05993327100003
9,11,LA RÉSIDENCE SIESTA LTÉE,Special Care Home,7244.0,508,ELMWOOD,DR,MONCTON,,10,CAROLE MELANSON,(506) 855-6736,ENGLISH,10,POINT (-64.77216322899994 46.11924809800007),-64.77216322899994,46.11924809800007
10,12,LEFURGEY RESIDENCE,Special Care Home,11663.0,30,LEFURGEY,AVE,MONCTON,,30,RENEE BOWERING,(506) 855-4622,BILINGUAL,30,POINT (-64.80852571899999 46.10105553300008),-64.80852571899999,46.10105553300008
11,13,LJ JAILLET RESIDENCE INC.,Special Care Home,12067.0,30,LOCKHART,AVE,MONCTON,,10,JACQUELINE JAILLET,(506) 830-8175,BILINGUAL,10,POINT (-64.79715458499999 46.09348377600003),-64.79715458499999,46.09348377600003
12,14,MAISON BONHEUR,Special Care Home,9709.0,406,HIGH,ST,MONCTON,,12,NORMAND GALLANT,(506) 854-3460,BILINGUAL,12,POINT (-64.79466338999998 46.09767720900004),-64.79466338999998,46.09767720900004
13,15,MANOIR NOTRE-DAME MANOR,Special Care Home,22593.0,110,MURPHY,AVE,MONCTON,,120,DIANNE FLOWERS,(506) 857-9011,BILINGUAL,120,POINT (-64.77787776199995 46.11715819800003),-64.77787776199995,46.11715819800003
14,16,OPEN ARMS SPECIAL CARE HOME,Special Care Home,8661.0,98,GLENGROVE,RD,MONCTON,,8,GEORGINA HUBBARD,(506) 204-8409,ENGLISH,8,POINT (-64.72855106799994 46.11543650100003),-64.72855106799994,46.11543650100003
15,17,RESIDENCE AVENTURE,Special Care Home,7071.0,1076,ELMWOOD,DR,MONCTON,,30,ROBERTA BUCHANAN,(506) 874-0757,ENGLISH,30,POINT (-64.77276988899996 46.13845522600008),-64.77276988899996,46.13845522600008
16,18,RESIDENCE COLLETTE RESIDENCE INC.,Special Care Home,19409.0,64,STEADMAN,ST,MONCTON,,18,ROBERTA BUCHANAN,(506) 874-0757,ENGLISH,18,POINT (-64.77321422299997 46.09190567900004),-64.77321422299997,46.09190567900004
17,20,SMITH SPECIAL CARE HOME LTD,Special Care Home,6293.0,56,DORCHESTER,ST,MONCTON,,10,CONNIE WHITMAN,(506) 874-0757,ENGLISH,10,POINT (-64.79745559699995 46.07919239600005),-64.79745559699995,46.07919239600005
18,21,SUNSET VILLAGE,Special Care Home,23518.0,45,LEOPOLD F. BELLIVEAU,DR,MONCTON,,25,RENEE BOWERING,(506) 389-1335,BILINGUAL,25,POINT (-64.79146347999995 46.12194263600003),-64.79146347999995,46.12194263600003
19,22,RESIDENCE MCDOUGALL,Special Care Home,13490.0,37,MCDOUGALL,AVE,MONCTON,,30,"MARC LEGER, MONETTE DUGUAY",(506) 382-7520,BILINGUAL,30,POINT (-64.78957336499997 46.08907922900005),-64.78957336499997,46.08907922900005
