,POINT ID,Name,latitude,longitude,Location,Website,Telephone,Services,ImageData,exact,geogcode,lastupdate,cip_geogcode,holding_observation,cimsCommunityID,Acute_Care_Beds,Long_Term_Care_Beds,deleted
0,6,Burin Peninsula Health Care Centre,47.104784,-55.19472,Burin,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=874&p=724,(709) 891-1040,"Primary and secondary services including general surgery, internal medicine, obstetrics, pediatrics, and critical care.",System.Byte[],True,com706,03/23/20,com706,0,32,34,0,False
1,9,Carbonear General Hospital,47.725243,-53.226544,Carbonear,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=766&p=724,(709) 945-5111,"Primary and secondary services including general surgery, internal medicine, obstetrics and gynecology, ENT, nuclear medicine, and CT scanning.",System.Byte[],True,com604,03/23/20,com604,0,38,68,0,False
2,10,Central Newfoundland Regional Health Centre,48.933984,-55.644789,Grand Falls-Windsor,https://www.centralhealth.nl.ca/grand-falls,(709) 292-2500,"Primary and secondary services including general surgery, internal medicine, obstetrics and gynecology, pediatrics, hemodialysis, CT diagnostic imaging services, and specialty services in urology, dermatology and ENT.",System.Byte[],True,com227,03/23/20,com227,0,98,116,0,False
3,11,The Charles S. Curtis Memorial Hospital,51.362297,-55.586676,St. Anthony,https://www.lghealth.ca/facilities/hospitals/charles-s-curtis-memorial-hospital/,(709) 454-3333,"Primary and secondary services including anesthesia, dentistry, internal medicine, obstetrics and gynecology, ophthalmology, orthopedics, pathology, pediatrics, radiology, urology, general surgery, and psychiatry.",System.Byte[],True,com719,03/23/20,com719,0,238,41,0,False
4,15,Dr. G.B. Cross Memorial Hospital,48.165178,-53.984408,Clarenville,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=778&p=724,(709) 466-3411,"Primary and secondary services including general surgery, internal medicine, obstetrics, pediatrics, and critical care.",System.Byte[],True,com601,03/23/20,com601,0,47,39,0,False
5,22,James Paton Memorial Health Centre,48.956042,-54.628572,Gander,https://www.centralhealth.nl.ca/gander,(709) 256-2500,"Primary and secondary services including general surgery, internal medicine, obstetrics and gynecology, pediatrics, hemodialysis, diagnostic imaging (MRI), and specialty services in orthopedics and nephrology.",System.Byte[],True,com205,03/23/20,com205,0,88,82,0,False
6,23,Janeway Children's Health and Rehabilitation Centre,47.572485,-52.74243,St. John's,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=789&p=724,(709) 777-6300,"Pediatric secondary and tertiary medical/surgical services including neonatal intensive care, acute psychiatry, and ambulatory care.",System.Byte[],True,com492,03/23/20,com492,0,244,79,0,False
7,24,Labrador Health Centre,53.296108,-60.337873,Happy Valley-Goose Bay,https://www.lghealth.ca/facilities/hospitals/labrador-health-centre/,(709) 897-2000,"Primary and limited secondary services including surgery, and obstetrics.",System.Byte[],True,com242,03/23/20,com242,0,104,23,0,False
8,29,Sir Thomas Roddick Hospital,48.559366,-58.552707,Stephenville,http://westernhealth.nl.ca/index.php/locations/hospitals/sir-thomas-roddick-hospital,(709) 643-5111,"Primary and limited secondary services including general surgery, internal medicine, ophthalmology, obstetrics and gynecology, and mental health.",System.Byte[],True,com609,03/23/20,com609,0,254,40,0,False
9,30,St. Clare's Mercy Hospital,47.557672,-52.721687,St. John's,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=811&p=724,(709) 777-5000,"Secondary and tertiary medical/surgical services, and critical care including general surgery, vascular surgery, thoracic surgery, ENT, orthopedics, internal medicine, and ambulatory services.",System.Byte[],True,com492,03/23/20,com492,0,244,192,0,False
10,32,Dr. Leonard A. Miller Centre,47.575991,-52.695166,St. John's,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=1067&p=724,(709) 777-6555,"Assessment/rehabilitation unit, palliative care, and veterans unit.",System.Byte[],True,com492,03/23/20,com492,0,244,72,56,False
11,33,Health Sciences Centre,47.57123,-52.74276,St. John's,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=787&p=724,(709) 777-6300,"Secondary and tertiary services including surgery, critical care, and sub-specialty services, such as cardiac surgery, neurosurgery, plastic surgery, burn unit, obstetrics and gynecology, and acute psychiatry.",System.Byte[],True,com492,03/23/20,com492,0,244,348,0,False
12,34,Waterford Hospital,47.528811,-52.749652,St. John's,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=823&p=724,(709) 777-3300,"Acute adult mental health services, long term care, forensic maximum security unit, developmentally disabled unit, and short stay.",,True,com492,03/23/20,com492,0,244,84,37,False
13,36,Western Memorial Regional Hospital,48.948631,-57.930806,Corner Brook,http://westernhealth.nl.ca/index.php/locations/hospitals/western-memorial-regional-hospital,(709) 637-5000,"Primary and secondary services including general surgery, ophthalmology, orthopedics, urology, psychiatry, cardiology, internal medicine, obstetrics and gynecology, mental health, palliative care, neurology, pediatrics, ENT, and physiatry.",System.Byte[],True,com610,03/23/20,com610,0,60,201,0,False
14,39,Labrador West Health Centre,52.949616,-66.936768,Labrador City,https://www.lghealth.ca/facilities/hospitals/labrador-west-health-centre/,(709) 285-8100,"Primary and limited secondary services including surgery, and obstetrics. Also offers limited residential accommodations for the frail elderly with high care needs.",,True,,03/23/20,com292,0,129,14,13,False
