facility_name,street_addr,postal_code,city,province,phone,fax
A.M. Guy Memorial Health Centre,,A0H 1G0,Buchans,NL,(709) 672-3304,(709) 672-3390
Baie Verte Peninsula Health Centre,7 Hospital Road,A0K 1B0,Baie Verte,NL,(709) 532-4281,(709) 532-4939
Bay d'Espoir Community Health Centre,,A0H 2E0,St. Alban's,NL,(709) 538-3244,(709) 538-3228
Belleoram Community Health Centre,,A0H 1B0,Belleoram,NL,(709) 881-6101,(709) 881-6104
Bell Place Community Health Centre,3 Bell Place,A1V 2T4,Gander,NL,(709) 651-3306,(709) 651-3341
Bonnews Lodge,,A0G 1B0,Badger's Quay,NL,(709) 536-2160,(709) 536-3334
Carmelite House,50 Union Street,A2A 2E1,Grand Falls-Windsor,NL,(709) 292-2522,(709) 292-2593
Central Health Regional Office,21 Carmelite Road,A2A 1Y4,Grand Falls-Windsor,NL,(709) 292-2138,(709) 292-2249
Central Newfoundland Regional Health Centre,50 Union Street,A2A 2E1,Grand Falls-Windsor,NL,(709) 292-2500,(709) 292-2645
Centreville Community Health Centre,,A0G 4P0,Centreville,NL,(709) 678-2342,(709) 678-2110
Change Islands Community Health Centre,,A0G1R0,Change Islands,NL,(709) 621-6161,(709) 621-3126
Connaigre Peninsula Health Centre,,A0H 1P0,Harbour Breton,NL,(709) 885-2043,(709) 885-2358
Dr. Brian Adams Memorial Community Health Centre,,A0G 1T0,Gambo,NL,(709) 674-4403,(709) 674-2000
Dr. C.V. Smith Memorial Community Health Centre,,A0G 2L0,Glovertown,NL,(709) 533-2372,(709) 533-1021
Dr. Hugh Twomey Health Centre,,A0H 1E0,Botwood,NL,(709) 257-2874,(709) 257-4613
Dr. Y. K. Jeon Kittiwake Health Centre,,A0G 1J0,Brookfield,NL,(709) 536-2405,(709) 536-2433
Eastport Community Health Centre,,A0G 1Z0,Eastport,NL,(709) 677-2530,(709) 677-2430
Exploits Community Health Centre,2 Airbase Road,A0H 1E0,Botwood,NL,(709) 257-4900,(709) 257-3640
Fogo Island Health Centre,,A0G 2B0,Fogo,NL,(709) 266-2221,(709) 266-1070
Gaultois Community Health Centre,,A0H 1N0,Gaultois,NL,(709) 841-7331,(709) 841-4461
Grand Falls-Windsor Community Health Centre ,36 Queensway,A2B 1J3,Grand Falls-Windsor,NL,,(709) 489-8844
Green Bay Health Centre,140A Little Bay Road,A0J 1T0,Springdale,NL,(709) 673-3911,(709) 673-2114
Hope Valley Centre Youth Treatment Centre,50 Union Street,A2A 2E1,Grand Falls-Windsor,NL,(709) 292-8360,
James Paton Memorial Regional Health Centre,125 Trans Canada Highway,A1V 1P7,Gander,NL,(709) 256-2500,(709) 256-7800
Lakeside Homes,95 Airport Boulevard,A1V 2L7,Gander,NL,(709) 256-8850,(709) 256-4259
LaScie Community Health Centre,394-412 Main Street,A0K 3M0,LaScie,NL,(709) 675-2429,(709) 675-2478
Lewisporte Community Health Centre,21 Centennial Drive,A0G 3A0,Lewisporte,NL,(709) 535-0905,(709) 535-0360
Lewisporte Health Centre,,A0G 3A0,Lewisporte,NL,(709) 535-6767,(709) 535-8383
McCallum Community Health Centre,,A0H 2J0,McCallum,NL,(709) 846-4104,(709) 864-4104
Mose Ambrose Community Health Centre,,A0H 1M0,Mose Ambrose,NL,(709) 888-3541,(709) 888-6281
Musgrave Harbour Community Health Centre,,A0G 3J0,Musgrave Harbour,NL,(709) 655-2518,(709) 655-2116
New World Island Community Health Centre,,A0G 4E0,Summerford,NL,(709) 629-3681,(709) 629-7392
Notre Dame Bay Memorial Health Centre,,A0G 4M0,Twillingate,NL,(709) 884-2131,(709) 884-2586
Rencontre East Community Health Centre,,A0H 2C0,Rencontre East,NL,(709) 848-3410,(709) 848-3410
Robert's Arm Community Health Centre,,A0J 1R0,Robert's Arm,NL,(709) 652-3410,(709) 652-3671
St. Alban's Community Health Centre,,A0H 1E0,St. Alban's,NL,(709) 538-3738,(709) 538-3563
St. Brendan's Community Health Centre,,A0G 3V0,St. Brendan's,NL,(709) 669-5381,(709) 669-3105
Valley Vista Senior Citizens' Home,,A0J 1T0,Springdale,NL,(709) 673-3936,(709) 673-2832
Victoria Cove Community Health Centre,,A0G 4N0,Victoria Cove,NL,(709) 676-2737,(709) 676-2352
