idx,name,type,longitude,latitude
0,Thornhill Community Health Centre,PHS Clinic,-4475.38,5664001.85
1,Peter Lougheed Medical Centre,Hospital,1125.1,5660310.25
2,Village Square Community Health Centre,PHS Clinic,3254.66,5659924.33
3,Foothills Hospital,Hospital,-9264.7554,5658668.393
4,South Health Campus,Hospital,3398.525,5638407.104
5,Alberta Children's Hospital,Hospital,-10368.5865,5659824.811
6,North Hill Community Health Centre,PHS Clinic,-7465.3,5658792.14
7,Acadia Community Health Centre,PHS Clinic,-4982.0,5648750.0
8,Shaganappi Complex Health Centre,PHS Clinic,-9595.75,5656522.56
9,Sheldon M. Chumir Health Centre,PHS Clinic,-5058.34,5656101.91
10,Northwest Community Health Centre,PHS Clinic,-13802.17,5665258.42
11,East Calgary Health Centre,PHS Clinic,2298.615,5656532.116
12,Rockyview General Hospital,Hospital,-6762.0,5650616.0
13,South Calgary Health Centre,PHS Clinic,-4120.02,5640684.99
