city,facility_name,fax,phone,province,street_addr,facility_type
Black Diamond ,Oilfields General Hospital ,403-933-2031,403-933-2222,AB,"717 Government Road,  Black Diamond, Alberta,  T0L 0H0 ",Hospital
Calgary ,Alberta Children’s Hospital ,,403-955-7211,AB,"2888 Shaganappi Trail NW, Calgary, Alberta, T3B 6A8 ",Hospital
Calgary ,Foothills Medical Centre ,,403-944-1110,AB,"1403 – 29 Street NW,  Calgary, Alberta, T2N 2T9 ",Ambulatory health care services
Calgary ,Peter Lougheed Centre,,403-943-4555,AB,"3500 – 26 Avenue NE,  Calgary, Alberta, T1Y 6J4 ",Ambulatory health care services
Calgary ,Richmond Road Diagnostic & Treatment Centre  ,,403-943-7444,AB,"1820 Richmond Road SW Calgary, Alberta, T2T 5C7 ",Ambulatory health care services
Calgary ,Rockyview General Hospital ,,403-943-3000,AB,"7007 – 14 Street SW,  Calgary, Alberta, T2V 1P9 ",Hospital
Calgary ,South Health Campus ,,403-956-1111,AB,"4448 Front Street SE, Calgary, Alberta, T3M 1M4 ",Ambulatory health care services
Canmore ,Canmore General Hospital ,403-678-9874,403-678-5536,AB,"1100 Hospital Place,  Canmore, Alberta, T1W 1N2 ",Hospital
Claresholm ,Claresholm General Hospital ,403-682-3789,403-682-3700,AB,"221 – 43rd Avenue West,  Claresholm, Alberta, T0L 0T0 ",Hospital
Didsbury ,Didsbury District Health Services  ,403-335-4816,403-335-9393,AB,"1210 – 20th Avenue, Didsbury, Alberta, T0M 0W0 ",Ambulatory health care services
High River ,High River General Hospital ,403-652-0199,403-652-2200,AB,"560 – 9th Avenue SW  High River, Alberta, T1V 1B3 ",Hospital
Strathmore ,Strathmore District Health Services ,403-361-7048,403-361-7000,AB,"200 Brent Blvd.,  Strathmore, Alberta, T1P 1J9 ",Ambulatory health care services
Calgary ,Rockyview General Hospital ,,403-943-3000,AB,"7007 – 14 Street SW,  Calgary, Alberta, T2V 1P9 ",Hospital
Calgary ,South Health Campus ,,403-956-1111,AB,"4448 Front Street SE, Calgary, Alberta, T3M 1M4 ",Ambulatory health care services
Canmore ,Canmore General Hospital ,403-678-9874,403-678-5536,AB,"1100 Hospital Place,  Canmore, Alberta, T1W 1N2 ",Hospital
Claresholm ,Claresholm General Hospital ,403-682-3789,403-682-3700,AB,"221 – 43rd Avenue West,  Claresholm, Alberta, T0L 0T0 ",Hospital
Didsbury ,Didsbury District Health Services  ,403-335-4816,403-335-9393,AB,"1210 – 20th Avenue, Didsbury, Alberta, T0M 0W0 ",Ambulatory health care services
High River ,High River General Hospital ,403-652-0199,403-652-2200,AB,"560 – 9th Avenue SW  High River, Alberta, T1V 1B3 ",Hospital
Strathmore ,Strathmore District Health Services ,403-361-7048,403-361-7000,AB,"200 Brent Blvd.,  Strathmore, Alberta, T1P 1J9 ",Ambulatory health care services
Calgary ,Rockyview General Hospital ,,403-943-3000,AB,"7007 – 14 Street SW,  Calgary, Alberta, T2V 1P9 ",Hospital
Calgary ,South Health Campus ,,403-956-1111,AB,"4448 Front Street SE, Calgary, Alberta, T3M 1M4 ",Ambulatory health care services
Canmore ,Canmore General Hospital ,403-678-9874,403-678-5536,AB,"1100 Hospital Place,  Canmore, Alberta, T1W 1N2 ",Hospital
Claresholm ,Claresholm General Hospital ,403-682-3789,403-682-3700,AB,"221 – 43rd Avenue West,  Claresholm, Alberta, T0L 0T0 ",Hospital
Didsbury ,Didsbury District Health Services  ,403-335-4816,403-335-9393,AB,"1210 – 20th Avenue, Didsbury, Alberta, T0M 0W0 ",Ambulatory health care services
High River ,High River General Hospital ,403-652-0199,403-652-2200,AB,"560 – 9th Avenue SW  High River, Alberta, T1V 1B3 ",Hospital
Strathmore ,Strathmore District Health Services ,403-361-7048,403-361-7000,AB,"200 Brent Blvd.,  Strathmore, Alberta, T1P 1J9 ",Ambulatory health care services
Lloydminster ,Lloydminster Hospital ,306-825-6516,306-820-6000,AB,"3820 – 43 Avenue, Lloydminster, Saskatchewan, S9V 1Y5 ",Hospital
Olds ,Olds Hospital and Care Centre ,403-556-2199,,AB,"3901 – 57 Avenue,  Olds, Alberta, T4H 1T4 Ph : 403-556-3381 ",Hospital
