idx,facility_name,facility_type,health_authority,alternative_name,longitude,latitude,street_addr,city,province,postal_code,phone,provider
0,Amica Arbutus Manor Inc.,Assisted Living,Vancouver Coastal,Amica Arbutus Manor,-123.1558789,49.2476316,2125 Eddington Drive,Vancouver,BC,V6L 3A9,(604) 736-8936,Province of British Columbia
1,Amica Somerset House Inc.,Assisted Living,Island Health,Amica Somerset House,-123.3762578,48.411872,540 Dallas Road,Victoria,BC,V8V 4X9,(250) 380-9121,Province of British Columbia
2,Amica West Vancouver Inc.,Assisted Living,Vancouver Coastal,Amica West Vancouver,-123.1332044,49.3285715,659 Clyde Avenue,West Vancouver,BC,V7T 1C8,(604) 921-9181,Province of British Columbia
3,Augustine House Society,Assisted Living,Fraser Health,Augustine House,-123.0769909,49.0730448,3820 Arthur Drive,Delta,BC,V4K 5E6,(604) 940-6005,Province of British Columbia
4,John Howard Society Thompson Region,Assisted Living,Interior Health,Bedford Manor,-120.3283813,50.6747498,529 Seymour Street,Kamloops,BC,V2C 0A1,(250) 434-1702,Province of British Columbia
5,0869632 BC LTD,Assisted Living,Fraser Health,Bevan Village,-122.2992395,49.0413325,33386 Bevan Avenue,Abbotsford,BC,V2S 5G6,(604) 850-5416,Province of British Columbia
6,Lake Country Senior Housing Society,Assisted Living,Interior Health,Blue Heron Villa,-119.4039656,50.0204549,9509 Main Street,Lake Country,BC,V4V 2N3,(250) 766-1660,Province of British Columbia
7,Grand Forks and District Housing Society,Assisted Living,Interior Health,Boundary Lodge Assisted Living,-118.4443059,49.0288153,7130 9th Street,Grand Forks,BC,V0H 1H4,(250) 443-0006,Province of British Columbia
8,Chartwell Master Care LP (Chartwell Carrington Place),Assisted Living,Interior Health,Carrington Place,-119.2619121,50.2812067,4651 - 4751 23rd Street,Vernon,BC,V1T 4K7,(250) 545-5704,Province of British Columbia
9,Chartwell Master Care LP,Assisted Living,Vancouver Coastal,Churchill House,-123.0733402,49.3360817,150 West 29th Street,North Vancouver,BC,V7N 2J8,(604) 904-1199,Province of British Columbia
10,Baptist Housing Society of BC,Assisted Living,Vancouver Coastal,Clarendon Court,-123.0554181,49.2255956,6404 Clarendon Street,Vancouver,BC,V5S 4X9,(604) 324-6230,Province of British Columbia
11,Arrowsmith Health Care (2011) Society,Assisted Living,Island Health,Cokely Manor,-124.3236216,49.3161292,266A Moilliet Street,Parksville,BC,V9P 1M9,(250) 947-9777,Province of British Columbia
12,Golden Life Management Corp.,Assisted Living,Interior Health,Columbia Garden Village,-116.0331677,50.5076471,"800-10th Avenue, PO Box 578",Invermere,BC,V0A 1K0,(250) 341-3350,Province of British Columbia
13,608698 BC Ltd. dba Harmony Living for Seniors,Assisted Living,Interior Health,Harmony Living for Seniors - Kelowna,-119.4806541,49.8824813,962-964 Laurier Avenue,Kelowna,BC,V1Y 6B1,(250) 861-3991,Province of British Columbia
14,Okanagan Mental Health Services Society,Assisted Living,Interior Health,Coral House,-119.4683825,49.8860284,1367 Bernard Ave,Kelowna,BC,V1Y 6R5,(250) 717-3030,Province of British Columbia
15,Smithers Community Services Association,Assisted Living,Northern Health,Cottonwood Manor,-126.6497314,54.39689,2261 Copeland Avenue,Houston,BC,V0J 1Z0,(250) 845-3770,Province of British Columbia
16,"Diversicare Canada Management Services Co., Inc.",Assisted Living,Vancouver Coastal,Courtyard Gardens,-123.1441684,49.162097,7051 Moffatt Road,Richmond,BC,V6Y 3W2,(604)273 4148,Province of British Columbia
17,Courtyard Terrace Assisted Living Residence Partnership,Assisted Living,Fraser Health,Courtyard Terrace,-123.0225089,49.2365917,3730 Burke Street,Burnaby,BC,V5H 1A3,(604) 437-6262,Province of British Columbia
18,Golden Life Management Corp.,Assisted Living,Interior Health,Crest View Village,-116.5157147,49.1043599,"800 Cavell St, RR4",Creston,BC,V0B 1G4,(250) 428-9986,Province of British Columbia
19,The Cridge Centre for the Family,Assisted Living,Island Health,Cridge Village Seniors Centre,-123.3505342,48.4395848,1307 Hillside Avenue,Victoria,BC,V8T 0A2,(250) 384-8058,Province of British Columbia
20,Dania Society,Assisted Living,Fraser Health,Dania Manor,-122.9747356,49.2472342,4155 Norland Avenue,Burnaby,BC,V5G 3S7,(604) 299-1379,Province of British Columbia
21,Sienna-Baltic (Cascades) Inc.,Assisted Living,Fraser Health,The Cascades,-121.9629698,49.160818,45586 McIntosh Drive,Chilliwack,BC,V2P 7W8,(604) 795-2500,Province of British Columbia
22,Golden Life Management Corp.,Assisted Living,Interior Health,Castle Wood Village,-117.6656779,49.323826,525 Columbia Street,Castlegar,BC,V1N 1G7,(250) 365-6686,Province of British Columbia
23,Vancouver Coastal Health Authority,Assisted Living,Vancouver Coastal,Cedar Garden Assisted Living,-123.0400524,49.3264386,1250 Cedar Village Close,North Vancouver,BC,V7J 3P3,(604) 904-6409,Province of British Columbia
24,Chalmers Foundation,Assisted Living,Vancouver Coastal,Chalmers Lodge,-123.1374537,49.2604752,1450 West 12th Avenue,Vancouver,BC,V6H 1M9,(604) 731-3178,Province of British Columbia
25,Penticton and District Society for Community Living,Assisted Living,Interior Health,Chestnut Place,-119.5948946,49.495406,453 Winnipeg Street,Penticton,BC,V2A 5M7,(250) 490-0200,Province of British Columbia
26,Good Samaritan Canada,Assisted Living,Vancouver Coastal,Christenson Village,-123.5202772,49.4044948,585 Shaw Road,Gibsons,BC,V0N 1V8,(604) 886-8747,Province of British Columbia
27,Luther Court Society,Assisted Living,Island Health,Luther Court,-123.3364271,48.4619202,1525 Cedar Hill Cross Road,Victoria,BC,V8P 5M1,(250) 477-7241,Province of British Columbia
28,Baptist Housing Society of BC,Assisted Living,Island Health,Marrion Village,-123.3213476,48.4311828,1968 Bee Street,Victoria,BC,V8R 6P6,(250) 592-2593,Province of British Columbia
29,Mennonite Benevolent Society,Assisted Living,Fraser Health,Menno Assisted Living,-122.309596,49.0386276,2021 Primrose Street,Abbotsford,BC,V2S 2Y9,(604) 851-4004,Province of British Columbia
30,Northern Health Authority,Assisted Living,Northern Health,McConnell Estates,-128.5928816,54.5327526,4701 Kerby Avenue,Terrace,BC,V8G 5V4,(250) 631-4268,Province of British Columbia
31,Saint Elizabeth Health Services,Assisted Living,Vancouver Coastal,Millennium Tower,-123.1363126,49.2840797,1175 Broughton Street,Vancouver,BC,V6G 3K9,(604) 408-9897,Province of British Columbia
32,Halcyon Assisted Living Society,Assisted Living,Interior Health,Moberly Manor Assisted Living,-118.2019885,51.0024513,711 West First Street,Revelstoke,BC,V0E 2S0,(250) 837-3147,Province of British Columbia
33,Mountain Lake Seniors Community Partnership,Assisted Living,Interior Health,Mountain Lake Seniors Community,-117.2656912,49.5085719,908 Eleventh Street,Nelson,BC,V1L 7A6,(250) 352-2600,Province of British Columbia
34,Good Samaritan Canada,Assisted Living,Interior Health,Mountainview Village,-119.4649933,49.8616964,1540 K.L.O. Road,Kelowna,BC,V1W 3P6,(250) 717-3918,Province of British Columbia
35,673848 B.C. Ltd.,Assisted Living,Interior Health,Nicola Meadows Assisted Living,-120.7835847,50.1148415,2670 Garcia Street,Merritt,BC,V1K 1B8,(250) 378-4254,Province of British Columbia
36,Nikkei Seniors Health Care and Housing Society,Assisted Living,Fraser Health,Nikkei Home,-122.9651274,49.2174881,6680 Southoaks Crescent,Burnaby,BC,V5E 4N3,(604) 777-5000,Province of British Columbia
37,Progressive Intercultural Community Services Society,Assisted Living,Fraser Health,PICS Assisted Living,-122.8879445,49.1403167,12075 - 75A Avenue,Surrey,BC,V3W 1S8,(604) 596-0052,Province of British Columbia
38,Good Samaritan Canada,Assisted Living,Interior Health,Pioneer Lodge,-119.2727977,50.7046521,1051 6th Avenue NE,Salmon Arm,BC,V1E 0A6,(250) 804-4814,Province of British Columbia
39,Kaigo Retirement Communities Ltd.,Assisted Living,Interior Health,Pioneer Square,-119.1958505,50.4453194,2865 Willowdale Drive,Armstrong,BC,V0E 1B1,(250) 546-3396,Province of British Columbia
40,Belvedere Care Centre Inc.,Assisted Living,Fraser Health,Residences at Belvedere,-122.8782194,49.2407092,750 Delestre Avenue,Coquitlam,BC,V3K 0A1,(604) 939-1930,Province of British Columbia
41,CSH Riverside Manor Inc.,Assisted Living,Fraser Health,Riverside Manor,-121.4235351,49.3759263,765 Old Hope Princeton Way,Hope,BC,V0X 1L4,(604) 860-4700,Province of British Columbia
42,Golden Life Management Corp.,Assisted Living,Interior Health,Rocky Mountain Village,-115.0666592,49.4923848,55 Cokato Road,Fernie,BC,V0B 1M4,(250) 423-4214,Province of British Columbia
43,Elim Housing Society & Elim Christian Care Society,Assisted Living,Fraser Health,Elim Village - Emerald Building,-122.7813437,49.1676368,9080 159th Street,Surrey,BC,V4N 5T6,(604) 583-3546,Province of British Columbia
44,Chartwell Retirement Residences,Assisted Living,Fraser Health,Chartwell Langley Gardens Retirement Residence,-122.6598375,49.1654942,8888 - 202 Street,Langley,BC,V1M 4A7,(604) 888-0228,Province of British Columbia
45,Evergreen Heights Baptist Housing Society,Assisted Living,Fraser Health,Evergreen Heights,-122.8095263,49.0294086,1501 Everall Street,White Rock,BC,V4B 0A1,(604) 541-3817,Province of British Columbia
46,HCN-Revera Lessee (Fleetwood Villa) LP GP Inc. o/a Fleetwood Villa,Assisted Living,Fraser Health,Fleetwood Villa,-122.7780217,49.1534447,16028 83rd Avenue,Surrey,BC,V4N 0N2,(604) 590-2889,Province of British Columbia
47,Seaview Seniors Housing Society,Assisted Living,Island Health,Forest Glen,-125.5523697,48.942746,"Box 833, 1783 St. Jacques Blvd.",Ucluelet,BC,V0R 3A0,(250) 726-2789,Province of British Columbia
48,Active Care Senior Services Ltd.,Assisted Living,Interior Health,Greenfield Gardens,-120.384838,50.7043198,1607 Greenfield Ave,Kamloops,BC,V2B 4N4,(250) 554-9244,Province of British Columbia
49,Greenwoods Eldercare Society,Assisted Living,Island Health,Braehaven Assisted Living,-123.5095093,48.8623409,137 Blain Road,Salt Spring Island,BC,V8K 0A1,(250) 537-5561,Province of British Columbia
50,S.U.C.C.E.S.S. Multi-Level Care Society,Assisted Living,Vancouver Coastal,Harmony House - Vancouver,-123.1053779,49.2799982,580 Shanghai Alley,Vancouver,BC,V6B 1N8,(604) 648-0012,Province of British Columbia
51,Haro Park Centre Society,Assisted Living,Vancouver Coastal,Haro Park,-123.1284501,49.2856281,1233 Haro Street,Vancouver,BC,V6E 3Y5,(604) 687-5584,Province of British Columbia
52,"Diversicare Canada Management Services Co., Inc.",Assisted Living,Interior Health,Hawthorn Park Retirement Community,-119.4838649,49.8600973,867 K.L.O. Road,Kelowna,BC,V1Y 9G5,(250) 861-6636,Province of British Columbia
53,"Benchmark Lifestyles, Inc.",Assisted Living,Interior Health,Heritage House (Oliver),-119.545803,49.1875106,409 Salamander Ave,Oliver,BC,V0H 1T3,(250) 498-0622,Province of British Columbia
54,Kaigo Retirement Communities Ltd.,Assisted Living,Interior Health,Heritage Square,-119.26823,50.270687,3904-27th Street,Vernon,BC,V1T 4X7,(250) 545-2060,Province of British Columbia
55,Good Samaritan Canada,Assisted Living,Interior Health,Heron Grove,-119.259139,50.2830685,4900 - 20th Street,Vernon,BC,V1T 9W3,(250) 542-6101,Province of British Columbia
56,Victoria Cool Aid Society,Assisted Living,Island Health,Hillside Terrace,-123.342568,48.4425235,1460 Hillside Ave,Victoria,BC,V8T 2B7,(250) 383-1977,Province of British Columbia
57,Icelandic Care Home Hofn Society,Assisted Living,Vancouver Coastal,Icelandic Harbour,-123.0638421,49.2093852,2020 Harrison Drive,Vancouver,BC,V5P 2P6,(604) 321-3812,Province of British Columbia
58,Campbell River and District Association for Community Living,Assisted Living,Island Health,Ironwood Place,-125.2545522,50.0285603,1351 Ironwood Street,Campbell River,BC,V9W 5Z7,(250) 287-4486,Province of British Columbia
59,M'akola Housing Society,Assisted Living,Island Health,Jesken Aerie,-123.5018758,48.449097,817 Goldstream Avenue,Victoria,BC,V9B 2X8,(250) 474-1524,Province of British Columbia
60,Golden Life Management Corp.,Assisted Living,Interior Health,Joseph Creek Village,-115.7470729,49.5273009,1901 Willowbrook Drive,Cranbrook,BC,V1C 6S4,(250) 417-0666,Province of British Columbia
61,Chartwell Master Care LP together with 107153 BC Ltd.,Assisted Living,Interior Health,Chartwell Kamloops Retirement Residence,-120.3601186,50.6952226,628 Tranquille Road,Kamloops,BC,V2B 3H6,(250) 376-5363,Province of British Columbia
62,KinVillage Association,Assisted Living,Fraser Health,KinVillage Assisted Living,-123.0724206,49.0214427,5440 10th Avenue,Delta,BC,V4M 3Y9,(604) 943-0155,Province of British Columbia
63,Powell River Kiwanis Housing Society,Assisted Living,Vancouver Coastal,Kiwanis Garden Manor,-124.5207197,49.849559,4923 Kiwanis Avenue,Powell River,BC,V8A 5H5,(604) 485-5210,Province of British Columbia
64,Nanaimo District Senior Citizens' Housing Development Society,Assisted Living,Island Health,Kiwanis Suites,-123.9684613,49.1863565,1234 Kiwanis Crescent,Nanaimo,BC,V9S 5Y1,(250) 753-6471,Province of British Columbia
65,Vantage Living Inc.,Assisted Living,Vancouver Coastal,Kiwanis Manor,-123.1687216,49.3333445,959 21st Street,West Vancouver,BC,V7V 4Y3,(604) 922-6149,Province of British Columbia
66,4 All Seasons Holdings Ltd.,Assisted Living,Island Health,La Rosa Gardens,-123.8346916,48.9962982,1211 Cloke Road,Ladysmith,BC,V9G 2B6,(250) 245-1016,Province of British Columbia
67,Northern Health Authority,Assisted Living,Northern Health,Laurier Manor - Northern Health Authority,-122.7659153,53.9162705,2175 - 9th Avenue,Prince George,BC,V2M 5E3,(250) 561-1408,Province of British Columbia
68,South Vancouver Island Housing Society,Assisted Living,Island Health,Legion Manor,-123.4179964,48.5882046,7601 East Saanich Road,Victoria,BC,V8M 0A4,(250) 652-3261,Province of British Columbia
69,Dawson Heights Housing Ltd.,Assisted Living,Island Health,The Cedars,-123.3383825,48.4622038,3710 Cedar Hill Road,Victoria,BC,V8P 5V5,(250) 477-4850,Province of British Columbia
70,Mission Association for Seniors Housing,Assisted Living,Fraser Health,The Cedars (Mission),-122.331947,49.1362414,7380 Hurd Street,Mission,BC,V2V 3H5,(604) 826-2194,Province of British Columbia
71,Chartwell Master Care LP (Chartwell Chatsworth Retirement Residence),Assisted Living,Interior Health,Chartwell Chatsworth Retirement Residences,-119.4258835,49.880941,1831 Parkview Crescent,Kelowna,BC,V1X 7G7,(250) 860-1064,Province of British Columbia
72,"Diversicare Canada Management Services Co., Inc.",Assisted Living,Interior Health,The Concorde Assisted Living Residence,-119.5889566,49.4597583,3235 Skaha Lake Road,Penticton,BC,V2A 6G5,(250) 490-8800,Province of British Columbia
73,The Louis Brier Jewish Residence Society,Assisted Living,Vancouver Coastal,The Harry and Jeanette Weinberg (of Baltimore) Residence,-123.1292174,49.2346299,5650 Osler Street,Vancouver,BC,V6M 2W9,(604) 261-9622,Province of British Columbia
74,Steeples Housing Society,Assisted Living,Island Health,The Steeples,-123.7166365,48.9270048,9910 Esplanade Street,Chemainus,BC,V0R 1K1,(250) 246-1805,Province of British Columbia
75,Thompson View Manor Society,Assisted Living,Interior Health,Thompson View Lodge,-121.2793767,50.7342929,710 Elm Street,Ashcroft,BC,V0K 1A0,(250) 453-0085,Province of British Columbia
76,Thornebridge Gardens Holdings Ltd.,Assisted Living,Fraser Health,Thornebridge Gardens,-122.9251906,49.2153674,649 8th Avenue,New Westminster,BC,V3M 2R2,(604) 524-6100,Province of British Columbia
77,Lakes District Senior Citizens Housing Association,Assisted Living,Northern Health,Tweedsmuir House,-125.7640971,54.2354138,53 9th Avenue,Burns Lake,BC,V0J 1E0,(250) 692-3781,Province of British Columbia
78,Yellowhead Pioneer Residence Society,Assisted Living,Interior Health,Yellowhead Pioneer Residence,-120.1250719,51.1812148,4557 Barriere Town Road,Barriere,BC,V0E 1E0,(250) 672-0019,Province of British Columbia
