idx,facility_name,facility_type,health_authority,longitude,latitude,province,phone,website,provider
0,Emergency Health Services,Emergency Room Care,BC Children's Hospital,-123.121258,49.246175,BC,,http://www.bcchildrens.ca/our-services/hospital-services/emergency-services,Province of British Columbia
1,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.313003,49.038152,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
2,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.842316,49.177003,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
3,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-121.962422,49.165763,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
4,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-121.424345,49.376899,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
5,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.613957,49.093175,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
6,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.631951,49.214787,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
7,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.892844,49.22679,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
8,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.823597,49.283374,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
9,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-123.016837,49.248776,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
10,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.331733,49.135186,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
11,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-122.793632,49.029793,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
12,Emergency Health Services,Emergency Room Care,Fraser Health Authority,-123.059929,49.08461,BC,,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Province of British Columbia
13,Pediatric Emergency Department,Emergency Room Care,Fraser Health Authority,-122.842316,49.177003,BC,6045812211.0,https://www.fraserhealth.ca/Service-Directory/Services/child-and-youth-services/paediatric-emergency,Province of British Columbia
14,Emergency Health Services,Emergency Room Care,Interior Health Authority,-120.125113,51.180406,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
15,Emergency Health Services,Emergency Room Care,Interior Health Authority,-120.526235,49.453436,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
16,Emergency Health Services,Emergency Room Care,Interior Health Authority,-116.508309,49.098702,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
17,Emergency Health Services,Emergency Room Care,Interior Health Authority,-120.771016,50.121468,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
18,Emergency Health Services,Emergency Room Care,Interior Health Authority,-119.53841,49.184285,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
19,Emergency Health Services,Emergency Room Care,Interior Health Authority,-116.032224,50.506441,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
20,Emergency Health Services,Emergency Room Care,Interior Health Authority,-116.966604,51.296527,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
21,Emergency Health Services,Emergency Room Care,Interior Health Authority,-119.578687,49.482657,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
22,Emergency Health Services,Emergency Room Care,Interior Health Authority,-115.748688,49.512483,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
23,Emergency Health Services,Emergency Room Care,Interior Health Authority,-115.0566,49.51284,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
24,Emergency Health Services,Emergency Room Care,Interior Health Authority,-122.143656,52.137421,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
25,Emergency Health Services,Emergency Room Care,Interior Health Authority,-120.018229,51.646945,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
26,Emergency Health Services,Emergency Room Care,Interior Health Authority,-121.939063,50.689254,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
27,Emergency Health Services,Emergency Room Care,Interior Health Authority,-117.284817,49.495025,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
28,Emergency Health Services,Emergency Room Care,Interior Health Authority,-121.280163,50.734772,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
29,Emergency Health Services,Emergency Room Care,Interior Health Authority,-121.292384,51.638711,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
30,Emergency Health Services,Emergency Room Care,Interior Health Authority,-118.191902,50.976799,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
31,Emergency Health Services,Emergency Room Care,Interior Health Authority,-119.274422,50.704586,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
32,Emergency Health Services,Emergency Room Care,Interior Health Authority,-121.580874,50.234313,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
33,Emergency Health Services,Emergency Room Care,Interior Health Authority,-114.892672,49.721453,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
34,Emergency Health Services,Emergency Room Care,Interior Health Authority,-117.659998,49.314395,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
35,Emergency Health Services,Emergency Room Care,Interior Health Authority,-116.914089,49.913883,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
36,Emergency Health Services,Emergency Room Care,Interior Health Authority,-117.794638,50.238724,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
37,Emergency Health Services,Emergency Room Care,Interior Health Authority,-119.491273,49.873281,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
38,Emergency Health Services,Emergency Room Care,Interior Health Authority,-117.70147,49.10318,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
39,Emergency Health Services,Emergency Room Care,Interior Health Authority,-119.273751,50.256925,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
40,Emergency Health Services,Emergency Room Care,Interior Health Authority,-120.334025,50.671418,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
