idx,facility_name,facility_type,health_authority,longitude,latitude,province,phone,website,provider
0,BC Children's Hospital,Hospitals,BC Children's Hospital,-123.125683,49.244569,BC,,http://www.bcchildrens.ca/,Province of British Columbia
1,Abbotsford Regional Hospital and Cancer Centre,Hospitals,Fraser Health Authority,-122.313003,49.038152,BC,6048514700.0,https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre#.W1jbvNVKhEY,Province of British Columbia
2,Delta Hospital,Hospitals,Fraser Health Authority,-123.059929,49.08461,BC,6049461121.0,https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital#.W1jzkNVKhEY,Province of British Columbia
3,Burnaby Hospital,Hospitals,Fraser Health Authority,-123.016837,49.248776,BC,6044344211.0,https://www.fraserhealth.ca/Service-Directory/Locations/Burnaby/burnaby-hospital#.W1jxFdVKhEY,Province of British Columbia
4,Chilliwack General Hospital,Hospitals,Fraser Health Authority,-121.962422,49.165763,BC,6047954141.0,https://www.fraserhealth.ca/Service-Directory/Locations/Chilliwack/chilliwack-general-hospital,Province of British Columbia
5,Langley Memorial Hospital,Hospitals,Fraser Health Authority,-122.613957,49.093175,BC,6045146000.0,https://www.fraserhealth.ca/Service-Directory/Locations/Langley/langley-memorial-hospital#.W1j3ddVKhEY,Province of British Columbia
6,Royal Columbian Hospital,Hospitals,Fraser Health Authority,-122.892844,49.22679,BC,6045204253.0,https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital#.W1jyEtVKhEY,Province of British Columbia
7,Peace Arch Hospital,Hospitals,Fraser Health Authority,-122.793632,49.029793,BC,6045315512.0,https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY,Province of British Columbia
8,Peace Arch Hospital - Al Hogg Pavilion,Hospitals,Fraser Health Authority,-122.792131,49.029322,BC,,https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY,Province of British Columbia
9,Mission Memorial Hospital,Hospitals,Fraser Health Authority,-122.331733,49.135186,BC,6048266261.0,https://www.fraserhealth.ca/Service-Directory/Locations/Mission/mission-memorial-hospital#.W1jpstVKhEY,Province of British Columbia
10,Fraser Canyon Hospital,Hospitals,Fraser Health Authority,-121.424345,49.376899,BC,6048695656.0,https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital#.W1jr8NVKhEY,Province of British Columbia
11,Jim Pattison Outpatient Care and Surgery Centre,Hospitals,Fraser Health Authority,-122.834272,49.179116,BC,6045824550.0,https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/jim-pattison-outpatient-care-and-surgery-centre#.W1i1vtVKhEY,Province of British Columbia
12,Ridge Meadows Hospital,Hospitals,Fraser Health Authority,-122.631951,49.214787,BC,6044634111.0,https://www.fraserhealth.ca/Service-Directory/Locations/Maple-Ridge---Pitt-Meadows/ridge-meadows-hospital#.W1j0SdVKhEY,Province of British Columbia
13,Eagle Ridge Hospital,Hospitals,Fraser Health Authority,-122.823597,49.283374,BC,6044619972.0,https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital#.W1jsv9VKhEY,Province of British Columbia
14,Surrey Memorial Hospital,Hospitals,Fraser Health Authority,-122.842316,49.177003,BC,6045812211.0,https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/surrey-memorial-hospital#.W1j1rdVKhEY,Province of British Columbia
15,100 Mile District General Hospital,Hospitals,Interior Health Authority,-121.292384,51.638711,BC,2503957600.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=100%20Mile%20District%20General%20Hospital&svc=&ploc=,Province of British Columbia
16,Arrow Lakes Hospital,Hospitals,Interior Health Authority,-117.794638,50.238724,BC,2502653622.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Arrow%20Lakes%20Hospital&svc=&ploc=,Province of British Columbia
17,Ashcroft Hospital and Community Health Care Centre,Hospitals,Interior Health Authority,-121.280163,50.734772,BC,2504532211.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Ashcroft%20Hospital%20and%20Community%20Health%20Care%20Centre&svc=&ploc=,Province of British Columbia
18,Boundary District Hospital,Hospitals,Interior Health Authority,-118.467838,49.030363,BC,2504432100.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Boundary%20District%20Hospital&svc=&ploc=,Province of British Columbia
19,Cariboo Memorial Hospital and Health Centre,Hospitals,Interior Health Authority,-122.143656,52.137421,BC,2503924411.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Cariboo%20Memorial%20Hospital&svc=&ploc=,Province of British Columbia
