idx,facility_name,facility_type,health_authority,longitude,latitude,province,phone,email,website,provider
0,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.580628,49.473428,BC,2504877715.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
1,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-117.632802,49.08985,BC,2503688544.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
2,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.041364,49.218337,BC,6044303381.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
3,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-116.510349,49.094734,BC,2504026025.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
4,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.484683,49.881531,BC,2508611525.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
5,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-115.752809,49.529863,BC,2504202135.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
6,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.111329,49.26315,BC,6047088084.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
7,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-124.92499,49.673062,BC,2503396626.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
8,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.583745,49.48271,BC,2504933662.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
9,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.599932,49.220475,BC,6044670753.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
10,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-124.008173,54.012112,BC,2505676005.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
11,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-118.47066,49.023856,BC,2504425360.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
12,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.13486,49.740643,BC,6048986818.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
13,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.44297,52.964567,BC,2507472812.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
14,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.763799,50.121884,BC,2503782431.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
15,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.36684,48.424644,BC,6048244235.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
16,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.61148,49.840972,BC,2507077015.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
17,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.361514,50.697683,BC,2503123326.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
18,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.704649,49.125089,BC,6045763126.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
19,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.131212,52.117219,BC,2503052158.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
20,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.072229,49.323963,BC,6049833332.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
21,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.769326,53.887457,BC,2509601335.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
22,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.396814,48.433834,BC,2503818266.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
23,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.276442,50.260914,BC,2502604558.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
24,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-125.759919,54.226714,BC,2506921987.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
25,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.754674,49.473169,BC,6047405765.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
26,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-124.783321,49.266135,BC,2507231624.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
27,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.356233,50.669103,BC,2503716435.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
28,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-115.060466,49.515523,BC,2504233264.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
29,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.856819,56.23892,BC,2507852527.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
30,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.892836,49.248247,BC,6049371205.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia
