idx,facility_name,facility_type,health_authority,alternative_name,number_beds,longitude,latitude,street_addr,city,province,postal_code,phone,provider
0,Bethesda Christian Association,Community Living,Vancouver Coastal Health,Bethesda - West Richmond Home,,-123.1809197,49.1399135,10120 No. 1 Road,Richmond,BC,V7E 1S2,(604) 241-9757,Province of British Columbia
1,Vancouver Coastal Health,Mental Health,Vancouver Coastal Health,The Richmond Bridge House,,-123.1107626,49.1625389,10220 Granville Ave,Richmond,BC,V6Y 1R4,(604) 244-7840,Province of British Columbia
2,Greater Vancouver Community Services Society,Community Living,Vancouver Coastal Health,GVCSS - Steveston Group Home,,-123.1096721,49.1337709,10351 Steveston Hwy,Richmond,BC,V7A 1N3,(604) 277-4485,Province of British Columbia
3,Horizon Facilities Inc,Mental Health,Vancouver Coastal Health,Horizon House,,-123.1089233,49.1934431,10355 McLeod Court,Richmond,BC,V6X 3L3,(604) 303-0972,Province of British Columbia
4,Thompson Community Services,Community Living,Vancouver Coastal Health,Milford Home,,-123.1151772,49.1391079,10420 Milford Dr,Richmond,BC,V7A 4J7,(604) 277-9599,Province of British Columbia
5,Marineview Housing Society,Mental Health,Vancouver Coastal Health,Boulevard House,,-123.0580719,49.3175905,1053 Grand Blvd,North Vancouver,BC,V7L 3X1,604-971-1530,Province of British Columbia
6,Jewish Home for the Aged of BC,Long Term Care,Vancouver Coastal Health,Louis Brier Home,145,-123.1293368,49.2340704,1055 W 41st Ave,Vancouver,BC,V6M 1W9,(604) 261-9376,Province of British Columbia
7,Marineview Housing Society,Mental Health,Vancouver Coastal Health,Cloverley House,,-123.0461745,49.3130596,1057 Cloverley St,North Vancouver,BC,V7L 1N4,604-980-6243,Province of British Columbia
8,Western Human Resource Corp,Community Living,Vancouver Coastal Health,Richfield Group Home,,-123.107216,49.1477141,10591 Bissett Dr,Richmond,BC,V7A 4K8,(604) 271-2802,Province of British Columbia
9,North Shore Private Hospital (1985) Ltd.,Long Term Care,Vancouver Coastal Health,Lynn Valley Care Centre,92,-123.0446964,49.3340774,1070 Lynn Valley Road,North Vancouver,BC,V7J 1Z8,604-988-4181,Province of British Columbia
10,Thompson Community Services Inc,Community Living,Vancouver Coastal Health,No. 5 Road Group Home,,-123.0926533,49.1340511,10731 No. 5 Road,Richmond,BC,V7A 4E6,(604) 271-0873,Province of British Columbia
11,Community Living Society,Community Living,Vancouver Coastal Health,Frederick Road,,-123.0440175,49.3416966,1075 Frederick Road,North Vancouver,BC,V7K 1H9,604-986-9238,Province of British Columbia
12,Nassreen Filsoof,Mental Health,Vancouver Coastal Health,Britannia Lodge,,-123.0652695,49.2751821,1090 Victoria Dr,Vancouver,BC,V5L 4G2,(604) 255-3711,Province of British Columbia
13,Classic Care Homes Ltd,Acquired Injury,Vancouver Coastal Health,Connect Richmond,,-123.1221356,49.1340419,10971 Mortfield Gate,Richmond,BC,V7A 2V7,(604) 330-8160,Province of British Columbia
14,Bethesda Christian Association,Community Living,Vancouver Coastal Health,Bethesda South Richmond Home,,-123.1915368,49.1340291,10984 Springmont Gate,Richmond,BC,V7E 1Y4,(604) 241-2770,Province of British Columbia
15,Yaletown House Society,Long Term Care,Vancouver Coastal Health,Yaletown House,130,-123.1194831,49.2753454,1099 Cambie St,Vancouver,BC,V6B 5A8,(604) 689-0022,Province of British Columbia
16,Dr. Peter AIDS Foundation,Long Term Care,Vancouver Coastal Health,Dr. Peter AIDS Foundation (Residence),24,-123.1296119,49.2817581,1110 Comox St,Vancouver,BC,V6E 1K5,(604) 331-3455,Province of British Columbia
17,Residences for Independent Living Society,Long Term Care,Vancouver Coastal Health,Steveston Residence,10,-123.1824083,49.1327544,11119 No. 1 Rd,Richmond,BC,V7E 1S6,(604) 241-3933,Province of British Columbia
18,Mennonite Intermediate Care Home Society,Long Term Care,Vancouver Coastal Health,Pinegrove Place,76,-123.0984471,49.1867925,11331 Mellis Dr,Richmond,BC,V6X 1L8,(604) 278-1296,Province of British Columbia
19,Residences for Independent Living Society,Long Term Care,Vancouver Coastal Health,False Creek Residence,24,-123.1291889,49.2672813,1167 Forge Walk,Vancouver,BC,V6H 3R1,(604) 731-0401,Province of British Columbia
20,547727 BC Ltd,Mental Health,Vancouver Coastal Health,Westminster House,,-123.0929868,49.1898883,11675 Bird Rd,Richmond,BC,V6X 1N7,(604) 270-9510,Province of British Columbia
21,Canadian Mental Health Association NWV,Mental Health,Vancouver Coastal Health,Harold House,,-123.041008,49.3383988,1198 Harold Rd,North Vancouver,BC,V7K 1G3,(604) 971-1613,Province of British Columbia
22,Vancouver Coastal Health Authority,Long Term Care,Vancouver Coastal Health,Cedarview Lodge,89,-123.0400524,49.3264386,1200 Cedar Village Close,North Vancouver,BC,V7J 3P3,604-904-6400,Province of British Columbia
23,Bernard C. Vinge & Associates (HCS) Ltd.,Community Living,Vancouver Coastal Health,1220 East 14th,,-123.0404142,49.3209903,1220 14th St E,North Vancouver,BC,V7J 1K2,(604) 926-8570,Province of British Columbia
24,Coast Foundation Society (1974),Mental Health,Vancouver Coastal Health,Highland Manor,,-123.1322017,49.2576605,1232 W 15th Ave,Vancouver,BC,V6H 1R8,(604) 731-7310,Province of British Columbia
25,Haro Park Centre Society,Long Term Care,Vancouver Coastal Health,Haro Park Centre,154,-123.1284501,49.2856281,1233 Haro St,Vancouver,BC,V6E 3Y5,(604) 687-5584,Province of British Columbia
26,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Barlynn House,,-123.0398716,49.3286223,1240 Barlynn Crescent,North Vancouver,BC,V7J 1P6,604-988-2685,Province of British Columbia
27,Coast Foundation Society (1974),Mental Health,Vancouver Coastal Health,Ananda House,,-123.0783121,49.263592,1249 E 8th Ave,Vancouver,BC,V5T 1V3,(604) 872-7134,Province of British Columbia
28,Broadway Pentecoastal Care Association,Long Term Care,Vancouver Coastal Health,Broadway Pentecostal Lodge,114,-123.1343725,49.2674371,1377 Lamey's Mill Rd,Vancouver,BC,V6H 3S9,(604) 733-1441,Province of British Columbia
29,Western Human Resource Corp.,Community Living,Vancouver Coastal Health,Woodvan,,-123.0777711,49.214385,1384 E 61st Ave,Vancouver,BC,V5X 2C7,(604) 325-9765,Province of British Columbia
30,"MPA - Motivation, Power & Achievement Society",Mental Health,Vancouver Coastal Health,Berman House,,-123.0614952,49.2718547,1400 Lakewood Dr,Vancouver,BC,V5L 4M8,(604) 254-6065,Province of British Columbia
31,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Kilmer House,,-123.0341251,49.3463883,1434 Kilmer Road,North Vancouver,BC,V7K 1R2,604-985-4599,Province of British Columbia
32,Coast Mental Health,Mental Health,Vancouver Coastal Health,Bridge House,,-123.074661,49.2537377,1435 E 19th Ave,Vancouver,BC,V5N 2H9,(604) 872-3794,Province of British Columbia
33,Coast Foundation - AP Department,Mental Health,Vancouver Coastal Health,Emerald Place,,-123.0445436,49.2845069,15 Renfrew St,Vancouver,BC,V5K 4A5,(604) 255-3034,Province of British Columbia
34,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Lynn Valley House,,-123.0310686,49.340396,1525/1527 Lynn Valley Road,North Vancouver,BC,V7J 2B1,604-990-0835,Province of British Columbia
35,Creekstone Care Centre Limited Partnership,Long Term Care,Vancouver Coastal Health,Creekstone Care Centre,180,-123.0313431,49.3062759,1526 Oxford St,North Vancouver,BC,V7J 1E5,(778) 729-0270,Province of British Columbia
36,Canadian Mental Health Association NWV,Mental Health,Vancouver Coastal Health,Arborlynn House,,-123.0321152,49.322564,1573 Arborlynn Dr,North Vancouver,BC,V7J 2V7,(604) 971-1612,Province of British Columbia
37,North Shore Disability Resource Centre,Community Living,Vancouver Coastal Health,Kerrstead Place,,-123.0302386,49.3381035,1608 Kerrstead Pl,North Vancouver,BC,V7J 3T4,(604) 987-6295,Province of British Columbia
38,Major Development Ltd./Fairway Properties Ltd./503394 BC Inc.,Long Term Care,Vancouver Coastal Health,South Granville Park Lodge,120,-123.1426813,49.2592356,1645 W 14th Ave,Vancouver,BC,V6J 2J4,(604) 732-8633,Province of British Columbia
39,Canadian Mental Health Association NWV,Mental Health,Vancouver Coastal Health,Lillian House,,-123.0691321,49.3338691,167 E 27th St,North Vancouver,BC,V7N 1B3,(604) 971-2740,Province of British Columbia
40,Greater Vancouver Community Services Society,Community Living,Vancouver Coastal Health,Coleman Street Group Home,,-123.0254987,49.3504115,1693 Coleman St,North Vancouver,BC,V7K 1X2,(604) 984-4236,Province of British Columbia
41,Andre Chevrier,Mental Health,Vancouver Coastal Health,Melody House,,-123.1681556,49.2705781,1730 Macdonald St,Vancouver,BC,V6K 3X8,(604) 733-4997,Province of British Columbia
42,"MPA - Motivation, Power & Achievement Society",Mental Health,Vancouver Coastal Health,Virginia House,,-123.1447641,49.2615516,1754 W 11th Ave,Vancouver,BC,V6J 2C3,(604) 739-3207,Province of British Columbia
43,Developmental Disabilities Association of Vancouver-Richmond,Community Living,Vancouver Coastal Health,47th Avenue Residence,,-123.070041,49.2279307,1759 E 47th Ave,Vancouver,BC,V5P 1P6,(604) 325-0210,Province of British Columbia
44,Saltgrass Health Inc.,Acquired Injury,Vancouver Coastal Health,Leaside Place,,-123.068935,49.2121813,1807 E 64th Ave,Vancouver,BC,V5P 2M9,(604) 323-9117,Province of British Columbia
45,C & E Home Care Inc.,Mental Health,Vancouver Coastal Health,C & E Home,,-123.0892214,49.3255315,1818 Westview Dr,North Vancouver,BC,V7M 3A8,(604) 985-5683,Province of British Columbia
46,Waterloo Rest Home Ltd.,Mental Health,Vancouver Coastal Health,Waterloo Rest Home Ltd,,-123.1799944,49.2697647,1835 Waterloo St,Vancouver,BC,V6R 3G5,(604) 731-5959,Province of British Columbia
47,Renfrew Seniors Village 3 LLP,Long Term Care,Vancouver Coastal Health,Renfrew Care Centre,106,-123.0437771,49.2678578,1880 Renfrew St,Vancouver,BC,V5M 3H9,(604) 255-7723,Province of British Columbia
48,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Peters Road House,,-123.0222214,49.341873,1904 Peters Road,North Vancouver,BC,V7J 1Y9,(604) 987-2221,Province of British Columbia
49,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Padwick House,,-123.0811369,49.3267725,1924 Jones Avenue,North Vancouver,BC,V7M 2W5,604-984-2238,Province of British Columbia
50,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Larson House,,-123.0869418,49.3272173,1945 Larson Rd,North Vancouver,BC,V7M 2Z8,(604) 988-1295,Province of British Columbia
51,German Canadian Benevolent Society of B.C.,Long Term Care,Vancouver Coastal Health,German Canadian Care Home,137,-123.0651145,49.2098792,2010 Harrison Dr,Vancouver,BC,V5P 2P6,(604) 713-6500,Province of British Columbia
52,Coast Mental Health,Mental Health,Vancouver Coastal Health,Crossroads,,-123.1833749,49.2679435,2046 Dunbar St,Vancouver,BC,V6R 3M4,(604) 730-2855,Province of British Columbia
53,HCN-Revera Lessee (Hollyburn House) LP,Long Term Care,Vancouver Coastal Health,Hollyburn House,38,-123.167157,49.3299082,2095 Marine Dr,West Vancouver,BC,V7V 4V5,604-922-7616,Province of British Columbia
54,L & T Services Ltd.,Acquired Injury,Vancouver Coastal Health,Gladstone House ( L & T Services),,-123.0635011,49.2429944,2182 E 30th Ave,Vancouver,BC,V5N 3A6,(604) 431-2960,Province of British Columbia
55,Vancouver Coastal Health,Mental Health,Vancouver Coastal Health,Venture,,-123.1002884,49.2590505,220 E 13th Ave,Vancouver,BC,V5T 2K4,(604) 675-3620,Province of British Columbia
56,Strive Living Society,Community Living,Vancouver Coastal Health,Windridge House,,-123.0142042,49.3097667,2209 Windridge Dr,North Vancouver,BC,V7H 1B6,(604) 929-5176,Province of British Columbia
57,Finnish Canadian Rest Home Association,Long Term Care,Vancouver Coastal Health,Finnish Home,64,-123.0607974,49.2082752,2288 Harrison Dr,Vancouver,BC,V5P 2P6,(604) 325-8241,Province of British Columbia
58,Helios Learning Point Society,Community Living,Vancouver Coastal Health,Bridgit House,,-123.0766187,49.3290462,229 22nd St W,North Vancouver,BC,V7M 2A2,(604) 986-4888,Province of British Columbia
59,Hamilton High Street Residence Inc.,Long Term Care,Vancouver Coastal Health,Hamilton High Street Residence,12,-122.9677753,49.1782749,23100 Garripie Ave,Richmond,BC,V6V 0B9,(604) 214-5700,Province of British Columbia
60,Hamilton Village Care Centre Limited Partnership,Long Term Care,Vancouver Coastal Health,Hamilton Village Care Centre,135,-122.9669384,49.1784127,23111 Garripie Ave,Richmond,BC,V6V 1B8,(778) 326-0104,Province of British Columbia
61,Bernard C. Vinge & Associates (HCS) Ltd.,Community Living,Vancouver Coastal Health,2333 East 8th,,-123.0577226,49.2633118,2333 E 8th Ave,Vancouver,BC,V5N 5R7,(604) 251-5249,Province of British Columbia
62,North Shore Disability Resource Society Association,Community Living,Vancouver Coastal Health,Wilding Way,,-123.0534125,49.3307307,2412 Wilding Way,North Vancouver,BC,V7N 4J4,(604) 986-1260,Province of British Columbia
63,Point Grey Private Hospital Ltd,Long Term Care,Vancouver Coastal Health,Point Grey Seniors Care,80,-123.1603599,49.2729248,2423 Cornwall Ave,Vancouver,BC,V6K 1B9,(604) 733-7133,Province of British Columbia
64,Vancouver Coastal Health,Long Term Care,Vancouver Coastal Health,Berkley Care Centre,189,-123.0060474,49.312135,2444 Burr Pl,North Vancouver,BC,V7H 3A5,(604) 924-8356,Province of British Columbia
65,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Edgemont House,,-123.0948838,49.3328531,2490 Edgemont Blvd,North Vancouver,BC,V7R 2M8,(604) 984-9321,Province of British Columbia
66,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Carnation House,,-123.0045886,49.3183186,2524 Carnation Street,North Vancouver,BC,V7H 1H5,604-929-0636,Province of British Columbia
67,Coast Mental Health,Mental Health,Vancouver Coastal Health,Pender House,,-123.0522329,49.2798711,2596 E Pender St,Vancouver,BC,V5K 2B5,(604) 253-9534,Province of British Columbia
68,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Walpole House,,-123.0014172,49.3216264,2597 Walpole Crescent,North Vancouver,BC,V7H 1K6,604-929-1457,Province of British Columbia
69,Sea to Sky Community Services,Community Living,Vancouver Coastal Health,Our House,,-123.0257809,49.3323066,2620 Hoskins Road,North Vancouver,BC,V7J 3A3,(604) 904-1020,Province of British Columbia
70,Developmental Disabilities Association of Vancouver-Richmond,Community Living,Vancouver Coastal Health,East 45th Group Home,,-123.0525228,49.2296872,2639 E 45th Ave,Vancouver,BC,V5R 3B9,(604) 437-0933,Province of British Columbia
71,Strive Living Society,Community Living,Vancouver Coastal Health,Blueridge House,,-123.0002634,49.3249991,2669 Standish Dr,North Vancouver,BC,V7H 1M9,(604) 924-1656,Province of British Columbia
72,posAbilities Association of BC,Community Living,Vancouver Coastal Health,Rosemont House,,-123.0496436,49.2194742,2702 Rosemont Dr,Vancouver,BC,V5S 2C5,(604) 451-8405,Province of British Columbia
73,VRS Communities Society,Acquired Injury,Vancouver Coastal Health,Duke House,,-123.0497683,49.2393317,2707 Duke St,Vancouver,BC,V5R 4S8,(604) 439-0980,Province of British Columbia
