,idx,facility_name,facility_type,health_authority,alternative_name,number_beds,longitude,latitude,street_addr,province,postal_code,phone,website,provider,filename
0,0,Actionmarguerite (Saint-Boniface) Inc.,personal_care_homes,Winnipeg,Actionmarguerite (Saint-Boniface) Inc.,299,-97.1215,49.8884,185 Rue Despins Street,MB,R2H 2B3,(204) 233-3692,http://www.actionmarguerite.ca/,Province of Manitoba,MB_personal_care_homes.csv
1,1,Actionmarguerite (Saint-Joseph) Inc,personal_care_homes,Winnipeg,Actionmarguerite (Saint-Joseph) Inc,100,-97.1543,49.9565,1149 Leila Avenue,MB,R2P 1S6,(204) 697-8031,,Province of Manitoba,MB_personal_care_homes.csv
2,2,Actionmarguerite (Saint-Vital) Inc.,personal_care_homes,Winnipeg,Actionmarguerite (Saint-Vital) Inc.,154,-97.1304,49.8158,450 River Road,MB,R2M 5M4,(204) 254-3332,http://www.actionmarguerite.ca/home/,Province of Manitoba,MB_personal_care_homes.csv
3,3,Ashern Personal Care Home,personal_care_homes,Interlake-Eastern,Ashern PCH,20,-98.3529,51.1805,1 Steenson Drive,MB,R0C 0E0,(204) 768-5216,,Province of Manitoba,MB_personal_care_homes.csv
4,4,Baldur Manor,personal_care_homes,Prairie Mountain Health,Baldur Manor,20,-99.2405,49.3853,531 Elizabeth Avenue East,MB,R0K 0B0,(204) 535-2373,,Province of Manitoba,MB_personal_care_homes.csv
5,5,Bayside Personal Care Home,personal_care_homes,Prairie Mountain Health,Bayside PCH,60,-99.6622,49.1758,86 Ellis Drive,MB,R0K 1G0,(204) 523-4661,,Province of Manitoba,MB_personal_care_homes.csv
6,6,Beacon Hill Lodge,personal_care_homes,Winnipeg,Beacon Hill Lodge,175,-97.1382,49.8913,190 Fort Street,MB,R3C 1C9,(204) 942-7541,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/beacon-hill-lodge,Province of Manitoba,MB_personal_care_homes.csv
7,7,Benito Health Centre,personal_care_homes,Prairie Mountain Health,Benito HC,20,-101.545,51.9136,200 1st Street South East,MB,R0L 0C0,(204) 539-2815,,Province of Manitoba,MB_personal_care_homes.csv
8,8,Betel Home (Gimli),personal_care_homes,Interlake-Eastern,Betel Home (Gimli),80,-96.9853,50.6306,96 1st Avenue,MB,R0C 1B0,(204) 642-5556,https://www.betelhomefoundation.ca/,Province of Manitoba,MB_personal_care_homes.csv
9,9,Betel Home (Selkirk),personal_care_homes,Interlake-Eastern,Betel Home (Selkirk),91,-96.889,50.1301,212 Manchester Avenue,MB,R1A 0B6,(204) 482-5469,https://www.betelhomefoundation.ca/,Province of Manitoba,MB_personal_care_homes.csv
10,10,"Bethania Mennonite Personal Care Home, Inc.",personal_care_homes,Winnipeg,"Bethania Mennonite PCH, Inc.",148,-97.0664,49.914,1045 Concordia Avenue,MB,R2K 3S7,(204) 667-0795,https://bethania.ca/services/bethania-mennonite-pch/,Province of Manitoba,MB_personal_care_homes.csv
11,11,Bethesda Place,personal_care_homes,Southern Health-Santé Sud,Bethesda Place,60,-96.6805,49.5305,399 Hospital Street,MB,R5G 0E6,(204) 326-6411,,Province of Manitoba,MB_personal_care_homes.csv
12,12,Birch Lodge Personal Care Home,personal_care_homes,Prairie Mountain Health,Birch Lodge PCH,30,-100.69,51.1759,177 Birch Avenue,MB,R0M 0T0,(204) 764-2412,,Province of Manitoba,MB_personal_care_homes.csv
13,13,Boyne Lodge Personal Care Home,personal_care_homes,Southern Health-Santé Sud,Boyne Lodge PCH,70,-98.0083,49.5023,120 - 4th Avenue South West,MB,R0G 0J0,(204) 745-6715,http://boynelodge.ca/,Province of Manitoba,MB_personal_care_homes.csv
14,14,Bren-Del-Win Lodge,personal_care_homes,Prairie Mountain Health,Bren-Del-Win Lodge,30,-100.498,49.1922,103 Kellet Street South,MB,R0M 0M0,(204) 747-1826,,Province of Manitoba,MB_personal_care_homes.csv
15,15,Calvary Place Personal Care Home,personal_care_homes,Winnipeg,Calvary Place PCH,100,-97.1838,49.8989,1325 Erin Street,MB,R3E 3R6,(204) 943-4424,http://calvaryplacepch.ca/,Province of Manitoba,MB_personal_care_homes.csv
16,16,Carberry Personal Care Home,personal_care_homes,Prairie Mountain Health,Carberry PCH,36,-99.3563,49.8721,340 Toronto Street,MB,R0K 0H0,(204) 834-2144,,Province of Manitoba,MB_personal_care_homes.csv
17,17,Charleswood Care Centre,personal_care_homes,Winnipeg,Charleswood CC,155,-97.2932,49.8607,5501 Roblin Boulevard,MB,R3R 0G8,(204) 888-3363,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/charleswood,Province of Manitoba,MB_personal_care_homes.csv
18,18,Concordia Place,personal_care_homes,Winnipeg,Concordia Place,140,-97.0632,49.9128,1000 Molson Street,MB,R2K 4L5,(204) 661-7372,https://concordiaplace.ca/,Province of Manitoba,MB_personal_care_homes.csv
19,19,Country Meadows Personal Care Home,personal_care_homes,Prairie Mountain Health,Country Meadows PCH,100,-99.4906,50.2226,500 Veterans Way,MB,R0J 1H0,(204) 476-2383,,Province of Manitoba,MB_personal_care_homes.csv
20,20,Crocus Court Personal Care Home,personal_care_homes,Prairie Mountain Health,Crocus Court PCH,60,-101.362,51.2277,15 Hospital Street,MB,R0L 1P0,(204) 937-2149,,Province of Manitoba,MB_personal_care_homes.csv
21,21,Dauphin Personal Care Home,personal_care_homes,Prairie Mountain Health,Dauphin PCH,90,-100.061,51.1479,625 - 3rd Street South West,MB,R7N 1R7,(204) 638-3010,,Province of Manitoba,MB_personal_care_homes.csv
22,22,Deer Lodge Centre,personal_care_homes,Winnipeg,Deer Lodge Centre,208,-97.2354,49.8784,2109 Portage Avenue,MB,R3J 0L3,(204) 837-1301,https://deerlodge.mb.ca/,Province of Manitoba,MB_personal_care_homes.csv
23,23,Delwynda Court Personal Care Home,personal_care_homes,Prairie Mountain Health,Delwynda Court PCH,16,-100.498,49.1917,109 Kellett Street South,MB,R0M 0M0,(204) 747-2754,,Province of Manitoba,MB_personal_care_homes.csv
24,24,Dinsdale Personal Care Home,personal_care_homes,Prairie Mountain Health,Dinsdale PCH,60,-99.9463,49.8416,510 - 6th Street,MB,R7A 3N9,(204) 727-3636,https://dinsdalepch.ca/,Province of Manitoba,MB_personal_care_homes.csv
25,25,Donwood Manor Personal Care Home Inc.,personal_care_homes,Winnipeg,Donwood Manor PCH Inc.,121,-97.0782,49.9457,171 Donwood Drive,MB,R2G 0V9,(204) 668-4410,https://donwoodmanor.org/,Province of Manitoba,MB_personal_care_homes.csv
26,26,Douglas Campbell Lodge,personal_care_homes,Southern Health-Santé Sud,Douglas Campbell Lodge,60,-98.279,49.9685,150 - 9th Street South East,MB,R1N 3T6,(204) 239-6006,https://www.portagehospitalfoundation.ca/facilities/douglas-campbell-lodge/,Province of Manitoba,MB_personal_care_homes.csv
27,27,Dr Gendreau Personal Care Home,personal_care_homes,Prairie Mountain Health,Dr Gendreau PCH,65,-99.5198,51.0579,515 Mission Street,MB,R0L 1S0,(204) 447-2019,,Province of Manitoba,MB_personal_care_homes.csv
28,28,East-Gate Lodge Personal Care Home,personal_care_homes,Interlake-Eastern,East-Gate Lodge PCH,80,-96.5136,50.054,646 James Avenue,MB,R0E 0C0,(204) 268-1029,,Province of Manitoba,MB_personal_care_homes.csv
29,29,Eastview Place,personal_care_homes,Southern Health-Santé Sud,Eastview Place,65,-97.5501,49.1075,240-6th Avenue North East,MB,R0G 0B0,(204) 324-6411,,Province of Manitoba,MB_personal_care_homes.csv
30,30,Elkwood Manor,personal_care_homes,Prairie Mountain Health,Elkwood Manor,24,-101.233,49.9759,12 Antrim Street,MB,R0M 0N0,(204) 845-2575,,Province of Manitoba,MB_personal_care_homes.csv
31,31,Emerson Health Centre,personal_care_homes,Southern Health-Santé Sud,Emerson HC,20,-97.216,49.0051,26 Main Street,MB,R0A 0L0,(204) 373-2109,,Province of Manitoba,MB_personal_care_homes.csv
32,32,Erickson & District Health Centre,personal_care_homes,Prairie Mountain Health,Erickson & District HC,16,-99.909,50.4959,60 Queen Elizabeth Road,MB,R0J 0P0,(204) 636-7777,,Province of Manitoba,MB_personal_care_homes.csv
