idx,facility_name,facility_type,longitude,latitude,address_str,city,province,phone,provider
0,Bioscript Pharmacy,Community Pharmacy,-64.82994743799998,46.12494948000005,585 Mapleton Road Suite 202,Moncton,NB,(506) 204-7581,Moncton
1,Cameron Street Clinic,Community Pharmacy,-64.78849413799998,46.08853959200007,107 Cameron Street P.O. Box 792,Moncton,NB,(506) 858-0287,Moncton
2,Costco Pharmacy,Community Pharmacy,-64.77839915099997,46.12930264400006,"140 Granite Drive, Moncton NB",Moncton,NB,Phone: (506) 317-0433,Moncton
3,CSC Atlantic Regional Pharmacy,Institutional Pharmacy,-64.78001561899998,46.08813715500003,"859 Main Street, Moncton NB",Moncton,NB,(506) 851-6386,Moncton
4,Ford's Family Pharmacy & Wellness Centre,Community Pharmacy,-64.79777183999994,46.08750225600005,"544 St. George Blvd, Moncton NB",Moncton,NB,(506) 853-0830,Moncton
5,Healthconnect Pharmacy,Community Pharmacy,-64.87098752599996,46.09593097500004,"10 Desbrisay Avenue, Unit 2, Moncton NB",Moncton,NB,(506) 867-9854,Moncton
6,Innomar Pharmacy Inc.,Community Pharmacy,-64.80622631799997,46.10593189700006,"100 Arden Street, Suite 309, Moncton NB",Moncton,NB,(506) 860-3428,Moncton
7,Jean Coutu Pharmacy,Community Pharmacy,-64.79031811799996,46.08926822600006,"1789 Mountain Road North, Moncton NB",Moncton,NB,(506) 387-9001,Moncton
8,Lawton's Drugs,Community Pharmacy,-64.77059155999996,46.12263236500007,"565 Elmwood Drive, Moncton NB",Moncton,NB,(506) 386-3408,Moncton
9,Lawtons Drugs # 141,Community Pharmacy,-64.80674624799997,46.09923636900004,"800 Mountain Road Suite 101, Moncton NB",Moncton,NB,(506) 386-3408,Moncton
10,Lawtons Drugs # 147,Community Pharmacy,-64.82305309199995,46.10744516200003,"40 Mapleton Road, Moncton NB",Moncton,NB,(506) 857-9919,Moncton
11,Loblaw Pharmacy # 326,Community Pharmacy,-64.83248128999998,46.11840086700005,"89 Trinity Drive, Moncton NB",Moncton,NB,(506) 383-4955,Moncton
12,Loblaw Pharmacy,Community Pharmacy,-64.76857402999997,46.09381427300008,"165 Main Street, Moncton NB",Moncton,NB,(506) 852-2069,Moncton
