,idx,facility_name,facility_type,number_beds,longitude,latitude,street_addr,city,province,postal_code,phone,provider,filename
0,0,The Kenneth E. Spencer Nursing Home Inc.,nursing_homes,200,-64.858165,46.059747,"35, Atlantic Baptist Avenue.",Moncton,NB,E1E 4N3,(506) 858-7870,Province of New Brunswick,NB_nursing_homes.csv
1,1,The United Church Home for Senior Citizens - Drew Nursing Home,nursing_homes,118,-64.373289,45.903274,"165, Main Street",Sackville,NB,E4L 4S2,(506) 364-4900,Province of New Brunswick,NB_nursing_homes.csv
2,2,Forest Dale Home Inc.,nursing_homes,50,-64.744016,45.755143,"5836, King Street",Riverside Albert,NB,E4H 4B9,(506) 882-3015,Province of New Brunswick,NB_nursing_homes.csv
3,3,Foyer Saint-Antoine,nursing_homes,30,-64.753644,46.36214,"7, Avenue de l'Église",Saint-Antoine,NB,E4V 1L6,(506) 525-4040,Province of New Brunswick,NB_nursing_homes.csv
4,4,Foyer St. Thomas de la Vallée de Memramcook Inc.,nursing_homes,30,-64.747837,46.099285,"100, rue Notre-Dame",Memramcook,NB,E4K 3W3,(506) 758-2110,Province of New Brunswick,NB_nursing_homes.csv
5,5,Jordan Lifecare Centre Inc.,nursing_homes,50,-65.079568,45.937727,"747, Sanatorium Road",The Glades,NB,E4J 1W6,(506) 756-3355,Province of New Brunswick,NB_nursing_homes.csv
6,6,Manoir Saint-Jean Baptiste Inc.,nursing_homes,50,-64.721492,46.477058,"5, Avenue Richard Avenue",Bouctouche,NB,E4S 3T2,(506) 743-7344,Province of New Brunswick,NB_nursing_homes.csv
7,7,Rexton Lions Nursing Home Inc.,nursing_homes,30,-64.876164,46.659337,"23, Main Street",Rexton,NB,E4W 0E4,(506) 523-7720,Province of New Brunswick,NB_nursing_homes.csv
8,8,Shannex RLC Ltd. - Monarch Hall,nursing_homes,72,-64.828427,46.055777,"826, Coverdale Road",Riverview,NB,E1B 0J1,(506) 387-7770,Province of New Brunswick,NB_nursing_homes.csv
9,9,Shannex RLC Ltd. - Pavillon Richard,nursing_homes,64,-64.781693,46.110925,189 rue Morton Street,Moncton,NB,E1A 9V6,(506) 354-2381,Province of New Brunswick,NB_nursing_homes.csv
10,10,The Salvation Army Lakeview Manor,nursing_homes,50,-64.810702,46.06464,"50, Suffolk Road",Riverview,NB,E1B 4K6,(506) 387-2012,Province of New Brunswick,NB_nursing_homes.csv
11,11,Villa du Repos Inc.,nursing_homes,186,-64.777176,46.118247,"125, avenue Murphy Avenue",Moncton,NB,E1A 8V2,(506) 857-3560,Province of New Brunswick,NB_nursing_homes.csv
12,12,Villa Maria Inc.,nursing_homes,73,-64.977828,46.744642,45 rue Vue de la rivière,St.-Louis-de-Kent,NB,E4X 0C6,(506) 876-3488,Province of New Brunswick,NB_nursing_homes.csv
13,13,Villa Providence Shédiac Inc.,nursing_homes,190,-64.536915,46.218341,"403, rue Main",Shédiac,NB,E4P 2B9,(506) 532-4484,Province of New Brunswick,NB_nursing_homes.csv
14,14,Westford Nursing Home,nursing_homes,30,-64.090464,46.041825,"57, West Main Street",Port Elgin,NB,E4M 1L7,(506) 538-1302,Province of New Brunswick,NB_nursing_homes.csv
15,15,Campobello Lodge,nursing_homes,30,-66.949779,44.886916,"640, route 774, Unit 2",Welshpool,NB,E5E 1A5,(506) 752-7101,Province of New Brunswick,NB_nursing_homes.csv
16,16,Carleton Kirk Lodge,nursing_homes,70,-66.078417,45.25717,"2, Carleton Kirk Place",Saint John,NB,E2M 5B8,(506) 643-7040,Province of New Brunswick,NB_nursing_homes.csv
17,17,Church of St. John and St. Stephen Home Inc.,nursing_homes,80,-66.091197,45.295836,"130, University Avenue",Saint John,NB,E2K 4K3,(506) 643-6001,Province of New Brunswick,NB_nursing_homes.csv
18,18,Dr. V. A. Snow Centre Inc.,nursing_homes,50,-65.832022,45.514946,"54, DeMille Court",Hampton,NB,E5N 5S7,(506) 832-6210,Province of New Brunswick,NB_nursing_homes.csv
19,19,Fundy Nursing Home,nursing_homes,27,-66.786058,45.061793,"34, Hospital Street",Black's Harbour,NB,E5H 1K2,(506) 456-4218,Province of New Brunswick,NB_nursing_homes.csv
20,20,Grand Manan Nursing Home Inc.,nursing_homes,30,-66.758216,44.725991,"642, Route 776",Grand Manan,NB,E5G 3C1,(506) 662-7111,Province of New Brunswick,NB_nursing_homes.csv
21,21,Kennebec Manor,nursing_homes,70,-66.110181,45.293364,"475, Woodward Avenue",Saint John,NB,E2K 4N1,(506) 632-9628,Province of New Brunswick,NB_nursing_homes.csv
22,22,Kings Way Care Centre Inc.,nursing_homes,75,-65.961461,45.435904,"8, Squire Drive",Quispamsis,NB,E2G 2A7,(506) 847-1131,Province of New Brunswick,NB_nursing_homes.csv
23,23,Kiwanis Nursing Home Inc.,nursing_homes,70,-65.488413,45.726885,"11, Bryant Drive",Sussex,NB,E4E 2P3,(506) 432-3118,Province of New Brunswick,NB_nursing_homes.csv
24,24,Lincourt Manor Inc.,nursing_homes,60,-67.26395,45.195376,"1, Chipman Street",St. Stephen,NB,E3L 2W9,(506) 466-7855,Province of New Brunswick,NB_nursing_homes.csv
25,25,Loch Lomond Villa Inc.,nursing_homes,190,-66.032719,45.290184,"185, Loch Lomond Road",Saint John,NB,E2J 3S3,(506) 643-7175,Province of New Brunswick,NB_nursing_homes.csv
26,26,Passamaquoddy Lodge Inc.,nursing_homes,60,-67.044493,45.077773,"230, Sophia Street",St. Andrews,NB,E5B 2C2,(506) 529-5240,Province of New Brunswick,NB_nursing_homes.csv
