idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,provider
0,Cape Breton Regional Hospital,Regional,-60.174133616836095,46.1130158306037,1482 George Street,Sydney,NS,Province of Nova Scotia
1,Northside General Hospital,Community,-60.23555151227749,46.21820836429978,520 Purves Street,North Sydney,NS,Province of Nova Scotia
2,Victoria County Memorial Hospital,Community,-60.75602895190468,46.100263898319795,30 Old Margaree Road,Baddeck,NS,Province of Nova Scotia
3,Inverness Consolidated Memorial Hospital,Community,-61.30484314307468,46.22696781337693,39 James Street,Inverness,NS,Province of Nova Scotia
4,Aberdeen Hospital,Regional,-62.64326836972356,45.5729758405446,835 East River Road,New Glasgow,NS,Province of Nova Scotia
5,New Waterford Consolidated Hospital,Community,-60.085793288911454,46.239863345496474,716 King Street,New Waterford,NS,Province of Nova Scotia
6,Strait - Richmond Hospital,Community,-61.22292639766177,45.61708351662631,138 Hospital Road,Evanston,NS,Province of Nova Scotia
7,Sacred Heart Community Health Centre,Community Health Centre,-61.015063349964386,46.623522547371586,15102 Cabot Trail,Cheticamp,NS,Province of Nova Scotia
8,Glace Bay Health Care Facility,Community,-59.938572836651716,46.18321184114736,300 South Street,Glace Bay,NS,Province of Nova Scotia
9,St. Martha’s Regional Hospital,Regional,-61.98219333746746,45.62817596985708,25 Bay Street,Antigonish,NS,Province of Nova Scotia
10,Eastern Memorial Hospital,Community,-60.98400464643825,45.33262820682038,1746 Union Street,Canso,NS,Province of Nova Scotia
11,Sutherland Harris Memorial Hospital,Community Health Centre,-62.72703251932275,45.67651539921786,222 Haliburton Road,Pictou,NS,Province of Nova Scotia
12,Buchanan Memorial Community Health Centre,Community Health Centre,-60.33432729802968,46.81056959301277,32610 Cabot Trail,Neil’s Harbour,NS,Province of Nova Scotia
13,St. Mary’s Memorial Hospital,Community,-61.981780294520306,45.14693579634446,91 Hospital Road,Sherbrooke,NS,Province of Nova Scotia
14,Eastern Kings Memorial Community Health Centre,Community Health Centre,-64.37074371585221,45.08760374819833,23 Earnscliffe Avenue,Wolfville,NS,Province of Nova Scotia
15,Hants Community Hospital,Community,-64.12037375298009,44.98638355369311,89 Payzant Drive,Windsor,NS,Province of Nova Scotia
16,Queens General Hospital,Community,-64.70559426892093,44.03765341536023,175 School Street,Liverpool,NS,Province of Nova Scotia
17,Soldiers Memorial Hospital,Community,-65.05933935701924,44.94673391509305,462 Main Street,Middleton,NS,Province of Nova Scotia
18,Roseway Hospital,Community,-65.30953110510069,43.74999033372275,1606 Lake Road,Sandy Point,NS,Province of Nova Scotia
19,Western Kings Memorial Health Centre,Community Health Centre,-64.73657929405101,45.0366967359491,121 Orchard Street,Berwick,NS,Province of Nova Scotia
20,Guysborough Memorial Hospital,Community,-61.5071355034544,45.40234081804432,10560 Route 16,Guysborough,NS,Province of Nova Scotia
21,Yarmouth Regional Hospital,Regional,-66.12156874783281,43.850524495228235,60 Vancouver Street,Yarmouth,NS,Province of Nova Scotia
22,Annapolis Community Health Centre,Community Health Centre,-65.50180436685771,44.73657466491257,821 St. George Street,Annapolis Royal,NS,Province of Nova Scotia
