idx,facility_name,longitude,latitude,street_addr,city,province,postal_code,phone,website,provider
0,North Whitby Medical Centre,-78.9472654774827,43.91725589096912,3975 Garden St,Whitby,ON,L1H 7K5,905-430-2400,,Durham
1,Grandview Children's Centre,-78.95485678713393,44.10518220931092,451 Paxton St,Scugog,ON,L9L 1L9,905-985-7321 x5568,,Durham
2,Oshawa Clinic Centre for Sleep Medicine,-78.85853183866739,43.89819029210495,13 Charles St,Oshawa,ON,L1H 4X5,905-721-4052,,Durham
3,Provax Travel and Immunization Clinic,-78.89896786786009,43.92796304415911,604 Taunton Rd W,Oshawa,ON,L1H 7K4,877-977-6829,,Durham
4,Oshawa Clinic Foot Care Centre,-78.85958614470167,43.89808648152822,111 King St E,Oshawa,ON,L1H 1B8,905-721-3567,,Durham
5,Baywood After Hours Medical Centre,-79.02121662882327,43.8428126696876,"75 Bayly St W, Unit 5",Ajax,ON,L1S 7K7,905-428-6495,,Durham
6,Lakeridge Health Oshawa Eating Disorders Clinic,-78.8951399615131,43.89162741050964,850 King St W,Oshawa,ON,L1G 4W4,905-576-8711 x4622,,Durham
7,King Street Medical Clinic,-78.8414595294991,43.90347398079318,600 King St E Unit 17,Oshawa,ON,L1H 1G6,905-432-1017,,Durham
8,Oshawa Phychological & Counselling Services,-78.85913305527988,43.89839707149708,117 King St E,Oshawa,ON,L1H 1B8,905-721-7723,,Durham
9,Lakeridge Health Regional Evaluation Centre,-78.87585856394593,43.92401320808471,1000 Simcoe St N,Oshawa,ON,L1G 4W4,905-433-4350,,Durham
10,Lakeridge Health Base Hospital,-78.86177257733613,43.8946691174676,115 Simcoe St S,Oshawa,ON,L1G 4W4,905-433-4350 x4370,,Durham
11,Port Perry Imaging,-78.95389107315313,44.10413756972536,462 Paxton St,Scugog,ON,L9L 1L9,905-985-9727,,Durham
12,Bowmanville Urgent Care Clinic (After Hours Clinic),-78.6769769336872,43.91160870550831,222 King St E,Clarington,ON,L1C 1P6,905-623-6458,,Durham
13,The Airport Dental Centre,-78.9021923339342,43.92719528638852,1290 Keith Ross Ct,Oshawa,ON,L1H 7K4,905-434-5486,,Durham
14,Lakeridge Health Outpatient Services,-78.87382494390376,43.91487002961964,58 Rossland Rd W,Oshawa,ON,L1G 2V5,905-576-8711 x4355,,Durham
15,Lakeridge Health Oshawa Mental Health Outpatient Services,-78.8949431919366,43.89116314147839,850 King St W,Oshawa,ON,L1G 4W4,905-576-8711 x4144,,Durham
16,North Oshawa Medical Centre,-78.87031125443448,43.93720619220697,1400 Ritson Rd N,Oshawa,ON,L1G 7W4,905-433-5026,,Durham
17,Hands on Health Care Massage Therapy,-78.93959769550973,43.87459560935466,617 Brock St S,Whitby,ON,L1N 4L1,905-666-1363,,Durham
18,The Youth Centre - Pickering,-79.11989283709518,43.82233748696187,655 Shepard Ave,Pickering,ON,L1V 1G2,905-428-1212,,Durham
19,Family Care Medical Centre,-78.94163892513875,43.9001304645603,"3050 Garden St, Unit 104",Whitby,ON,L1R 2G7,905-430-5305,,Durham
