,idx,facility_name,facility_type,street_addr,province,provider,filename
0,0,1059244 ONTARIO INC. O/A NORTHVIEW SENIOR RESIDENCE,Residential Care Facility (11 or more ),19 AIKMAN AVE HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
1,1,1099694 ONTARIO INC. O/A J & M REST HOME,Residential Care Facility (11 or more ),849 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
2,2,1112824 ONTARIO LIMITED O/A MAPLE CREST MANOR,Residential Care Facility (11 or more ),904 KING ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
3,3,1112824 ONTARIO LIMITED O/A ST. ANDREW'S LODGE,Residential Care Facility (11 or more ),100 HERKIMER ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
4,4,118 MARKET ST GP LTD O/A CAROLINE PLACE RETIREMENT RESIDENCE,Residential Care Facility (11 or more ),118 MARKET ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
5,5,1562576 ONTARIO INC,Residential Care Facility (11 or more ),130 BOLD ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
6,6,1562576 ONTARIO INC,Residential Care Facility (11 or more ),132 BOLD ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
7,7,1562576 ONTARIO INC.,Residential Care Facility (11 or more ),7 BLAKE ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
8,8,1612711 ONTARIO INC. O/A VICTORIA MANOR I,Residential Care Facility (11 or more ),121 VICTORIA AVE S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
9,9,1612712 ONTARIO INC. O/A VICTORIA MANOR II,Residential Care Facility (11 or more ),115 VICTORIA AVE S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
10,10,1612714 ONTARIO INC. O/A CATHMAR MANOR,Residential Care Facility (11 or more ),236 CATHARINE ST N HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
11,11,1617602 ONTARIO LTD O/A EVERGREEN MANOR,Residential Care Facility (11 or more ),41 CATHCART ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
12,12,1775319 ONTARIO INC. o/a FAITH HOPE MANOR,Residential Care Facility (11 or more ),178 JOHN ST N HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
13,13,1775319 ONTARIO INC. o/a VEROLEN'S REST HOME,Residential Care Facility (11 or more ),106 CATHARINE ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
14,14,1804248 ONTARIO INC O/A JERELDAY,Residential Care Facility (11 or more ),418 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
15,15,1804248 ONTARIO INC. O/A ST. CLAIR LODGING HOME,Residential Care Facility (4-10 Res.),75 ST. CLAIR AVE HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
16,16,1856884 ONTARIO INC. O/A SUNRISE MANOR LODGING HOME,Residential Care Facility (11 or more ),18 VICTORIA AVE N HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
17,17,1857147 ONTARIO INC.,Residential Care Facility (4-10 Res.),160 PARK ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
18,18,1869423 ONTARIO LTD. o/a Yorkville Retirement Residence,Residential Care Facility (11 or more ),211 YORK RD DUNDAS ON L9H 1M9,ON,Hamilton,ON_Hamilton_residential_care_.csv
