,idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,phone,website,provider,filename
0,0,Metro Toronto Convention Centre,City-operated Immunization Clinic,-79.386829859627,43.643971128415,"255 Front Street West, North Building, Hall A (west ramp on Front Street at John Street)",Toronto,ON,,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
1,1,Scarborough Town Centre,City-operated Immunization Clinic,-79.258930615442,43.776990231769,300 Borough Drive,Toronto,ON,,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
2,2,Cloverdale Mall,City-operated Immunization Clinic,-79.556501959627,43.632603612174,250 The East Mall,Toronto,ON,,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
3,3,Woodbine Mall,City-operated Immunization Clinic,-79.599279647844,43.719178000313,500 Rexdale Boulevard,Toronto,ON,,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
4,4,Mitchell Field Arena,City-operated Immunization Clinic,-79.40822900195101,43.774637558851,89 Church Avenue,Toronto,ON,,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
5,5,Wellesley Community Centre,Hospital Immunization Clinic,-79.374465659626,43.667604299075,495 Sherbourne Street (east entrance by the parkette),Toronto,ON,,https://sherbourne.on.ca/covid-19-vaccine-info/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
6,6,Seneca College Vaccination Clinic,Hospital Immunization Clinic,-79.349676663484,43.795323958241,1750 Finch Avenue East,Toronto,ON,,https://www.nygh.on.ca/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
7,7,SHN Centenary Clinic,Hospital Immunization Clinic,-79.206660232638,43.78239801145,2867 Ellesmere Road,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
8,8,Warden Hilltop Community Centre,Hospital Immunization Clinic,-79.28074231914901,43.71479635415,25 Mendelssohn Street,Toronto,ON,,https://tehn.ca/covid19/covid-19-vaccine,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
9,9,West Park Healthcare Centre,Hospital Immunization Clinic,-79.508040174969,43.689919358638,82 Buttonwood Avenue,Toronto,ON,,https://www.westpark.org/en/PatientsAndFamilies/COVID-19/VaccinationClinics,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
10,10,"Regent Park, 40 Oaks (Fred Victor)",Hospital Immunization Clinic,-79.36531997497,43.661619703176,40 Oak Street,Toronto,ON,,https://regentparkchc.org/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
11,11,University Health Network - University of Toronto - St. George's Campus Vaccination Clinic,Hospital Immunization Clinic,-79.392924501954,43.65874688966,255 McCaul Street (entrance through main doors on McCaul Street),Toronto,ON,,University-Rosedale,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
12,12,East York Town Centre,Hospital Immunization Clinic,-79.346049059625,43.705981419136,45 Overlea Boulevard,Toronto,ON,,https://tehn.ca/covid19/covid-19-vaccine/covid-19-immunization-clinics-east-toronto,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
13,13,Carefirst Seniors and Community Services Association Clinic,Hospital Immunization Clinic,-79.294956688457,43.812781513219,300 Silver Star Boulevard,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
14,14,Centennial College Progress Campus Clinic,Hospital Immunization Clinic,-79.22820230195,43.785626371638,941 Progress Avenue,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
15,15,Humber River Hospital COVax Vaccine Clinic - Downsview Arena,Hospital Immunization Clinic,-79.531034259625,43.713852472062,2625 Weston Road,Toronto,ON,,https://www.hrh.ca/covax-clinic-booking/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
16,16,NYGH Vaccination Clinic,Hospital Immunization Clinic,-79.363201801951,43.769755820985,4001 Leslie Street,Toronto,ON,,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
17,17,CAMH Vaccination Clinic,Hospital Immunization Clinic,-79.419124457775,43.64352200475,100 Stokes Street,Toronto,ON,,http://www.camh.ca/covidvaccine,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
18,18,TAIBU Community Health Centre,Hospital Immunization Clinic,-79.2205897086,43.806308528206,27 Tapscott Road,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
19,19,The Mid-Scarborough Hub,Hospital Immunization Clinic,-79.250706610454,43.737387970125,2660 Eglinton Avenue East,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
20,20,Michael Garron Hospital,Hospital Immunization Clinic,-79.324879659625,43.690088500097,825 Coxwell Avenue,Toronto,ON,,https://tehn.ca/covid19/covid-19-vaccine,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
21,21,Allcures Pharmacy,Pharmacy Immunization Site,-79.329585034,43.718572185,"31 St. Dennis Drive, Unit 1",Toronto,ON,416-696-1400,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
22,22,Raymond Wing Chiu Chan Drug Ltd.,Pharmacy Immunization Site,-79.374856585,43.770123506,794 Sheppard Ave East,Toronto,ON,416-222-7701,,Toronto,ON_Toronto_covid-19-immunization-clinics.csv
