,idx,facility_name,facility_type,active,longitude,latitude,street_addr,city,province,postal_code,phone,provider,filename
0,0,Markham-Stouffville - Uxbridge Cottage Hospital,hospital,Existing,-79.12667319688303,44.1025754594496,4 Campbell Drive,Durham,ON,L9P 1S4,905-852-9771,York Region,ON_York_hospital.csv
1,1,Princess Margaret Hospital,hospital,Existing,-79.39028633643423,43.6580808901927,610 University Avenue,Toronto,ON,M5G 2M9,416-946-2000,York Region,ON_York_hospital.csv
2,2,Women's College Hospital,hospital,Existing,-79.38750906150908,43.66138163608323,76 Grenville Street,Toronto,ON,M5S 1B2,416-323-6400,York Region,ON_York_hospital.csv
3,3,The Hospital for Sick Children,hospital,Existing,-79.38890210760863,43.65655377486957,555 University Avenue,Toronto,ON,M5G 1X8,416-813-1500,York Region,ON_York_hospital.csv
4,4,Sunnybrook Health Science Centre,hospital,Existing,-79.37898904757769,43.7227314098786,2075 Bayview Avenue,Toronto,ON,M4N 3M5,416-480-6100,York Region,ON_York_hospital.csv
5,5,St. Michael's Hospital,hospital,Existing,-79.37779431673482,43.65356726528367,30 Bond Street,Toronto,ON,M5B 1W8,416-360-4000,York Region,ON_York_hospital.csv
6,6,Scarborough Health Network - Centenary Campus,hospital,Existing,-79.20584194583995,43.78207399627058,2867 Ellesmere Road,Toronto,ON,M1E 4B9,416-284-8131,York Region,ON_York_hospital.csv
7,7,Scarborough Health Network - General Campus,hospital,Existing,-79.2466851099796,43.75554328985756,3050 Lawrence Avenue East,Toronto,ON,M1P 2V5,416-438-2911,York Region,ON_York_hospital.csv
8,8,North York General Hospital - General Site,hospital,Existing,-79.36408319797252,43.76974517120309,4001 Leslie Street,Toronto,ON,M2K 1E1,416-756-6000,York Region,ON_York_hospital.csv
9,9,Mackenzie Health,hospital,Existing,-79.45071041004276,43.87037792539481,10 Trench Street,York,ON,L4C 4Z3,905-883-1212,York Region,ON_York_hospital.csv
10,10,Lakeridge Health - Port Perry Hospital,hospital,Existing,-78.95421943439389,44.10495365557109,451 Paxton Street,Durham,ON,L9L 1L9,905-985-7321,York Region,ON_York_hospital.csv
