,idx,facility_name,facility_type,alternative_name,longitude,latitude,street_addr,city,province,postal_code,provider,filename
0,0,2-Spirited People of the 1st Nations,AIDS Bureau,,-79.369350379,43.649821285,145 Front Street East,Toronto,ON,M5A1E3,Province of Ontario,ON_healthcare_facilities.csv
1,1,Action Positive VIH-SIDA,AIDS Bureau,,-79.384049985,43.664345487,543 Yonge Street,Toronto,ON,M4Y1Y5,Province of Ontario,ON_healthcare_facilities.csv
2,2,African and Caribbean Council on HIV/AIDS in Ontario,AIDS Bureau,,-79.377203682,43.6499988850001,20 Victoria Street,Toronto,ON,M5C2N8,Province of Ontario,ON_healthcare_facilities.csv
3,3,Africans in Partnership Against AIDS,AIDS Bureau,,-79.3645549779999,43.6546728860001,526 Richmond Street East,Toronto,ON,M5A1R3,Province of Ontario,ON_healthcare_facilities.csv
4,4,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House),AIDS Bureau,,-79.3750863829999,43.667658288,490 Sherbourne Street,Toronto,ON,M4X1K9,Province of Ontario,ON_healthcare_facilities.csv
5,5,"AIDS Committee of Cambridge, Kitchener, Waterloo and Area",AIDS Bureau,,-80.4600641069999,43.4378123970001,1770 King Street East,Kitchener,ON,N2G2P1,Province of Ontario,ON_healthcare_facilities.csv
6,6,AIDS Committee of Durham Region,AIDS Bureau,,-78.8618442379999,43.8946575510001,115 Simcoe Street South,Oshawa,ON,L1H4G7,Province of Ontario,ON_healthcare_facilities.csv
7,7,AIDS Committee of North Bay and Area,AIDS Bureau,,-79.466428465,46.31296953,269 Main Street West,North Bay,ON,P1B2T8,Province of Ontario,ON_healthcare_facilities.csv
8,8,AIDS Committee of Ottawa,AIDS Bureau,,-75.6809932319999,45.4146301540001,19 Main Street,Ottawa,ON,K1S1A9,Province of Ontario,ON_healthcare_facilities.csv
9,9,AIDS Committee of Thunder Bay (operating as Elevate Northwestern Ontario),AIDS Bureau,,-89.216012958,48.4383647670001,106 Cumberland Street North,Thunder Bay,ON,P7A4M2,Province of Ontario,ON_healthcare_facilities.csv
10,10,AIDS Committee of Toronto,AIDS Bureau,,-79.384049985,43.664345487,543 Yonge Street,Toronto,ON,M4Y1Y5,Province of Ontario,ON_healthcare_facilities.csv
11,11,Pozitive Pathways Community Services,AIDS Bureau,,-83.038575409,42.3146432720001,511 Pelissier Street,Windsor,ON,N9A4L2,Province of Ontario,ON_healthcare_facilities.csv
12,12,CAYR Community Connections,AIDS Bureau,,-79.440152623,43.894245025,10909 Yonge Street,Richmond Hill,ON,L4C3E3,Province of Ontario,ON_healthcare_facilities.csv
