idx,facility_name,facility_type,longitude,latitude,city,postal_code,province
0,Queen Elizabeth Hospital,Acute Care Hospital,-63.100222,"46.255358,",Charlottetown,C1A 8T5,PE
1,Prince County Hospital,Acute Care Hospital,-63.772944,"46.417375,",Summerside,C1N 2A9,PE
2,Kings County Memorial Hospital,Community Hospital,-62.655181,"46.170365,",Montague,C0A 1R0,PE
3,Community Hospital O'Leary,Community Hospital,-64.236546,"46.707341,",O'Leary,C0B 1V0,PE
4,Western Hospital,Community Hospital,-64.066393,"46.810829,",Alberton,C0B 1B0,PE
5,Souris Hospital,Community Hospital,-62.244451,"46.352092,",Souris,C0A 2B0,PE
6,PEI Cancer Treatment Centre,Cancer Treatment Center,-63.100222,"46.255358,",Charlottetown,C1A 8T5,PE
7,Prince County Hospital Satellite Clinic,Cancer Treatment Center,-63.772944,"46.417375,",Summerside,C1N 2A9,PE
8,Eastern King's Health Centre,King's Primary Care Network,-62.244458,"46.352097,",Souris,C0A 2B0,PE
9,Montague Health Centre,King's Primary Care Network,-62.655327,"46.169155,",Montague,C0A 1R0,PE
10,Polyclinic,King's Primary Care Network,-63.124566,"46.23706,",Charlottetown,C1A 1L2,PE
11,Four Neighborhoods Health Centre,Queen's West Primary Care Network,-63.118319,"46.260332,",Charlottetown,C1A 5P8,PE
12,Central Queens Health Centre,Queen's West Primary Care Network,-63.348241,"46.353885,",Hunter River,C0A 1N0,PE
13,Gulf Shore Health Centre,Queen's West Primary Care Network,-63.318701,"46.462796,",North Rustico,C0A 1X0,PE
14,Kensington Health Centre,East Prince Primary Care Network,-63.636109,"46.437655,",Kensington,C0B 1M0,PE
15,Harbourside Health Centre,East Prince Primary Care Network,-63.789779,"46.390289,",Summerside,C1N 5R1,PE
16,Evangeline Health Centre,East Prince Primary Care Network,-63.999642,"46.453592,",Wellington,C0B 2E0,PE
17,Tyne Valley Health Centre,West Prince Health Network,-63.926353,"46.575951,",Tyne Valley,C0B 1P0,PE
18,O'Leary Health Centre,West Prince Health Network,-64.238338,"46.70522,",O'Leary,C0B 1V0,PE
19,Alberton Health Services,West Prince Health Network,-64.066393,"46.810829,",Alberton,C0B 1B0,PE
20,Beach Grove Home,Public Nursing Home,-63.172942,"46.254689,",Charlottetown,C1E 1L3,PE
21,Colville Manor,Public Nursing Home,-62.241315,"46.35137,",Souris,C0A 2B0,PE
22,MapleWood Manor,Public Nursing Home,-64.07338,"46.81335,",Alberton,C0B 1B0,PE
23,Margaret S. Ellis Wing,Public Nursing Home,-64.236546,"46.707341,",O'Leary,C0B 1V0,PE
24,Prince Edward Home,Public Nursing Home,-63.171043,"46.257689,",Charlottetown,C1E 1V6,PE
25,Riverview Manor,Public Nursing Home,-62.650911,"46.166478,",Montague,C0A 1R0,PE
26,Stewart Memorial Hospital,Public Nursing Home,-63.926352,"46.575951,",Tyne Valley,C0B 2C0,PE
27,Summerset Manor,Public Nursing Home,-63.773509,"46.419751,",Summerside,C1N 2L9,PE
28,Wedgewood Manor,Public Nursing Home,-63.796058,"46.405498,",Summerside,C1N 5N4,PE
29,Sherwood Home,Public Nursing Home,-63.097192,"46.25523,",Charlottetown,C1N 7N5,PE
30,Provincial Palliative Care Centre,Palliative Care Centre,-63.096192,"46.254773,",Charlottetown,C1A 0G3,PE
