,idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,provider,filename
0,0,Résidence Cité-Jardin,Résidence pour personnes âgées,-75.68749,45.486385,60 Rue de la Futaie,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
1,1,Centre de réadaptation en dépendance,Autres services médicaux et de santé,-75.748249,45.422431,25 Rue Saint-François,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
2,2,Centre d'hébergement Bon Séjour,C.H.S.L.D.,-75.647589,45.481621,134 Rue Jean-René-Monette,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
3,3,Résidence de Hull,"Résidence pour personnes âgées(Type ""Familiale"")",-75.749229,45.462816,46 Rue Lucien-Brault,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
4,4,Résidence Corbeil,Résidence pour personnes âgées,-75.75075,45.451052,63 Rue Corbeil,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
5,5,Résidence de Gatineau,Résidence pour personnes âgées,-75.691922,45.473574,20 Rue Laferrière,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
6,6,Résidence Chartwell Domaine Notre-Dame,Résidence pour personnes âgées,-75.734505,45.433963,39 Rue Amherst,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
7,7,Domaine des Trembles,Résidence pour personnes âgées,-75.763016,45.428943,250 Boulevard Saint-Raymond,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
8,8,Les Jardins Notre-Dame,Résidence pour personnes âgées,-75.733596,45.433939,195 Boulevard Saint-Joseph,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
9,9,Résidence Sérénité J.D.K.,Résidence pour personnes âgées,-75.429123,45.587783,244 Rue Maclaren Ouest,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
10,10,Résidence Shayla,Résidence pour personnes âgées,-75.677304,45.47756,283 Rue de Melbourne,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
11,11,Manoir Sainte-Marie,Résidence pour personnes âgées,-75.607934,45.499707,156 Boulevard Lorrain,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
12,12,Pavillon du Parc (Hull-Aylmer),Autres services médicaux et de santé,-75.848516,45.406681,200 Rue Robert-Wright,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
13,13,C.L.S.C de Gatineau (LeGuerrier),C.L.S.C.,-75.836049,45.39946,425 Rue LeGuerrier,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
14,14,Centre hospitalier Pierre-Janet,Centre hospitalier,-75.739988,45.425276,20 Rue Pharand,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
15,15,Hôpital de Hull,Centre hospitalier,-75.745987,45.444341,116 Boulevard Lionel-Émond,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
16,16,Centre d'hébergement Foyer du Bonheur,C.H.S.L.D.,-75.748442,45.445323,125 Boulevard Lionel-Émond,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
17,17,C.L.S.C Vallée-de-la-Lièvre,C.L.S.C.,-75.402762,45.588029,578 Rue Maclaren Est,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
18,18,Résidence de la Gappe Phase 1,Résidence pour personnes âgées,-75.699063,45.47956,465 Boulevard de la Gappe,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
19,19,La Cité-Jardin plus,Résidence pour personnes âgées,-75.686447,45.486747,90 Rue de la Futaie,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
20,20,Place D'Or 1,Résidence pour personnes âgées,-75.698002,45.466388,26 Rue Claire,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
21,21,Place D'Or 2,Résidence pour personnes âgées,-75.698556,45.466033,25 Rue Guertin,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
22,22,Place D'Or 3,Résidence pour personnes âgées,-75.697751,45.466013,20 Rue Claire,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
23,23,Résidence Maisonneuve,Résidence pour personnes âgées,-75.492543,45.52472,225 Rue du Progrès,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
24,24,Résidence du Bassin,Résidence pour personnes âgées,-75.416849,45.54485,23 Rue Saint-Pierre,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
25,25,Résidence Du Portage,Résidence pour personnes âgées,-75.709356,45.437578,310 Rue de Notre-Dame-de-l'Île,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
26,26,Les Habitations Sanscartiers,Résidence pour personnes âgées,-75.642702,45.47997,94 Rue Saint-Denis,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
27,27,Résidence Manoir Gatineau,Résidence pour personnes âgées,-75.74989,45.44548,100 Boulevard de la Cité-des-Jeunes,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
28,28,Résidence et Château de l'Ile,Résidence pour personnes âgées,-75.722429,45.433568,223 Rue Saint-Rédempteur,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
29,29,Résidence Villa des Brises,Résidence pour personnes âgées,-75.716911,45.429348,79 Rue Frontenac,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
30,30,Logements Jean-Marie Séguin,Résidence pour personnes âgées,-75.719242,45.4364,40 Boulevard Sacré-Coeur,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
31,31,Maison Mgr. Paul-Émile Charbonneau,Résidence pour personnes âgées,-75.719095,45.435968,50 Boulevard Sacré-Coeur,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
32,32,Centre d'hébergement Vallée-de-la-Lièvre,C.H.S.L.D.,-75.422972,45.580317,111 Rue Gérard-Gauthier,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
33,33,Résidences Wilfrid-Lavigne 1,"Résidence pour personnes âgées(Type ""Familiale"")",-75.838163,45.39829,433 Boulevard Wilfrid-Lavigne,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
34,34,Centre d'hébergement Renaissance,C.H.S.L.D.,-75.838422,45.39923,445 Boulevard Wilfrid-Lavigne,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
35,35,Centre d'hébergement La Pietà,C.H.S.L.D.,-75.70879,45.439331,273 Rue Laurier,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
36,36,Résidence Diane L'Ecuyer,"Résidence pour personnes âgées(Type ""Familiale"")",-75.583911,45.495399,1205 Rue Alexandre,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
37,37,Résidence Dion inc,"Résidence pour personnes âgées(Type ""Familiale"")",-75.724873,45.468929,1799 Rue Saint-Louis,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
38,38,Résidence Ma Maison,"Résidence pour personnes âgées(Type ""Familiale"")",-75.740388,45.451006,3 Rue Boulay,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
39,39,C.L.S.C de Gatineau (avenue Gatineau),C.L.S.C.,-75.72304,45.480103,80 Avenue Gatineau,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
40,40,C.L.S.C de Gatineau (du Mont-Bleu),C.L.S.C.,-75.76648,45.460137,207 Boulevard du Mont-Bleu,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
41,41,C.L.S.C de Gatineau (Saint-Raymond),C.L.S.C.,-75.742227,45.447175,92 Boulevard Saint-Raymond,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
42,42,C.L.S.C de Gatineau (Alexandre-Taché),C.L.S.C.,-75.746559,45.421806,400 Boulevard Alexandre-Taché,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
43,43,C.L.S.C de Gatineau (Saint-Rédempteur),C.L.S.C.,-75.72171,45.42701,85 Rue Saint-Rédempteur,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
44,44,Fondation Québécoise du Cancer,Autres services médicaux et de santé,-75.69068,45.494886,555 Boulevard de l'Hôpital,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
45,45,Résidence Church,"Résidence pour personnes âgées(Type ""Familiale"")",-75.408327,45.585758,195 Rue Church,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
46,46,La Maison Mathieu-Froment-Savoie,Autres services médicaux et de santé,-75.742928,45.438308,170 Rue Sherbrooke,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
47,47,Hôpital de jour gériatrique,Centre hospitalier,-75.676739,45.493517,455 Montée Paiement,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
