,idx,facility_name,health_authority,alternative_name,longitude,latitude,street_addr,city,province,postal_code,provider,filename
0,0,Centre Le Cardinal inc.,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre Le Cardinal inc.,-73.4883346558,45.6524505615,"12900, rue Notre-Dame Est",Montréal,QC,H1A1R9,Province of Quebec,QC_healthcare_establishments.csv
1,1,Groupe Roy santé Inc.,RLS de Côte-des-Neiges - Métro - Parc-Extension,Groupe Roy santé Inc.,-73.5729370117,45.5122146606,"3550, rue Saint-Urbain",Montréal,QC,H2X4C5,Province of Quebec,QC_healthcare_establishments.csv
2,2,Centre régional de santé et de services sociaux de la Baie-James,,CRSSS de la Baie-James,-74.3570785522,49.913394928,"312, 3e Rue",Jamésie,QC,G8P1N5,Province of Quebec,QC_healthcare_establishments.csv
3,3,Centre hospitalier de l'Université de Montréal,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CHUM,-73.5559463501,45.5108375549,"850, rue Saint-Denis",Montréal,QC,H2X0A9,Province of Quebec,QC_healthcare_establishments.csv
4,4,CHSLD Résidence Bourg-Joli Inc.,RLS de Richelieu-Yamaska,CHSLD Résidence Bourg-Joli Inc.,-72.964225769,45.6335144043,"2915, boulevard Laframboise",Les Maskoutains,QC,J2S4Z3,Province of Quebec,QC_healthcare_establishments.csv
5,5,Conseil de la nation atikamekw,,Conseil de la nation atikamekw,-73.7873306274,47.9025650024,wemotaci,La Tuque,QC,G0X3R0,Province of Quebec,QC_healthcare_establishments.csv
6,6,Le CHSLD des Premières Nations du Timiskaming,,Le CHSLD des Premières Nations du Timiskaming,-79.4703979492,47.6070137024,"20, avenue Algonquin",Témiscamingue,QC,J0Z3B0,Province of Quebec,QC_healthcare_establishments.csv
7,7,CHSLD de la Côte Boisée Inc.,RLS de Lanaudière-Sud,CHSLD de la Côte Boisée Inc.,-73.6615905762,45.7127571106,"4300, rue d'Angora",Les Moulins,QC,J6X4P1,Province of Quebec,QC_healthcare_establishments.csv
8,8,CLSC Naskapi,RLS de Kawawachikamach,CLSC Naskapi,-66.764251709,54.8612480164,Case postale 5154,Caniapiscau,QC,G0G2Z0,Province of Quebec,QC_healthcare_establishments.csv
9,9,Centre d'hébergement de la Marée Inc.,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre d'hébergement de la Marée Inc.,-73.6190414429,45.6300621033,"7015, boulevard Gouin Est",Montréal,QC,H1E5N2,Province of Quebec,QC_healthcare_establishments.csv
10,10,Prodimax Inc.,RLS de Laval,Prodimax Inc.,-73.8588943481,45.5621910095,"1050, 15e avenue",Laval,QC,H7R4N9,Province of Quebec,QC_healthcare_establishments.csv
11,11,Santé Courville inc.,RLS de Laval,Santé Courville inc.,-73.8550033569,45.5432891846,"5200, 80e Rue",Laval,QC,H7R5T6,Province of Quebec,QC_healthcare_establishments.csv
12,12,Centre intégré de santé et de services sociaux des Îles,RLS des Îles-de-la-Madeleine,CISSS des Îles,-61.8687705994,47.3755760193,"430, chemin Principal (Cap-aux-Meules)",Communauté maritime des Îles-de-la-Madeleine,QC,G4T1R9,Province of Quebec,QC_healthcare_establishments.csv
13,13,Centre d'hébergement de la Villa-les-Tilleuls Inc.,RLS de Laval,Centre d'hébergement de la Villa-les-Tilleuls Inc.,-73.752243042,45.6267585754,"5590, boulevard des Laurentides",Laval,QC,H7K2K2,Province of Quebec,QC_healthcare_establishments.csv
14,14,"Centre d'hébergement et de soins de longue durée du Manoir-de-l'Ouest-de-l'Île, S.E.C.",RLS de Pierrefonds - Lac Saint-Louis,"CHSLD du Manoir-de-l'Ouest-de-l'Île, S.E.C.",-73.8856124878,45.462852478,"17725, boulevard de Pierrefonds",Montréal,QC,H9J3L1,Province of Quebec,QC_healthcare_establishments.csv
15,15,Groupe Champlain Inc,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Groupe Champlain Inc.,-73.6037445068,45.6160697937,"7150, rue Marie-Victorin",Montréal,QC,H1G2J5,Province of Quebec,QC_healthcare_establishments.csv
16,16,Centre d'hébergement et de soins de longue durée des Floralies-de-Lachine Inc.,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lachine Inc.,-73.6918411255,45.4408454895,"650, 32e Avenue",Montréal,QC,H8T3K4,Province of Quebec,QC_healthcare_establishments.csv
17,17,Centre d'hébergement et de soins de longue durée des Floralies-de-Lasalle Inc.,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lasalle Inc.,-73.6090316772,45.4241905212,"8200, rue Georges",Montréal,QC,H8P3T6,Province of Quebec,QC_healthcare_establishments.csv
18,18,Centre d'hébergement et de soins de longue durée Côte-Jardin Inc.,RLS de Québec-Sud,CHSLD Côte-Jardin Inc.,-71.2610244751,46.7881507874,"880, avenue Painchaud",Québec,QC,G1S0A3,Province of Quebec,QC_healthcare_establishments.csv
19,19,Centre d'hébergement et de soins de longue durée du Château-sur-le-Lac-de-Sainte-Geneviève inc.,RLS de Pierrefonds - Lac Saint-Louis,CHSLD du Château-sur-le-Lac-de-Sainte-Geneviève inc.,-73.8744659424,45.4779891968,"16289, boulevard Gouin Ouest",Montréal,QC,H9H1E2,Province of Quebec,QC_healthcare_establishments.csv
20,20,Vigi Santé Ltée,RLS de Pierrefonds - Lac Saint-Louis,Vigi Santé Ltée,-73.816116333,45.4802017212,"197, rue Thornhill",Montréal,QC,H9B3H8,Province of Quebec,QC_healthcare_establishments.csv
21,21,Centre d'hébergement et de soins de longue durée Providence - Saint-Joseph inc.,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence - Saint-Joseph inc.,-73.5674591064,45.5789260864,"5605, rue Beaubien Est",Montréal,QC,H1T1X4,Province of Quebec,QC_healthcare_establishments.csv
22,22,Maison des ainées de St-Timothée Inc.,RLS du Suroît,Maison des ainées de St-Timothée Inc.,-74.0367050171,45.2893562317,"1, rue des Aînés",Beauharnois-Salaberry,QC,J6S6M8,Province of Quebec,QC_healthcare_establishments.csv
23,23,CHSLD Domaine Saint-Dominique S.E.C.,RLS de Québec-Sud,CHSLD Domaine Saint-Dominique S.E.C.,-71.2416000366,46.7950134277,"1045, boulevard René-Lévesque Ouest",Québec,QC,G1S1V3,Province of Quebec,QC_healthcare_establishments.csv
24,24,Centre d'hébergement et de soins de longue durée de Saint-Lambert-sur-le-Golf Inc.,RLS Pierre-Boucher,CHSLD de Saint-Lambert-sur-le-Golf Inc.,-73.4443664551,45.6024894714,"549, rue de Verrazano",Longueuil,QC,J4B7W2,Province of Quebec,QC_healthcare_establishments.csv
25,25,Centre d'hébergement et de soins de longue durée Wales Inc.,RLS de Val Saint-François,CHSLD Wales Inc.,-72.1738052368,45.6754226685,"506, Route 243",Le Val-Saint-François,QC,J0B2H0,Province of Quebec,QC_healthcare_establishments.csv
26,26,CHSLD Age3 Inc.,RLS de Laval,CHSLD Age3 Inc.,-73.7676696777,45.547000885,"4410, boulevard Saint-Martin Ouest",Laval,QC,H7T1C3,Province of Quebec,QC_healthcare_establishments.csv
27,27,Centre d'hébergement et de soins de longue durée du Boisé Sainte-Thérèse Inc.,RLS de Thérèse-De Blainville,CHSLD Boisé Ste-Thérèse,-73.840927124,45.6491622925,"179, place Fabien-Drapeau",Thérèse-De Blainville,QC,J7E5W6,Province of Quebec,QC_healthcare_establishments.csv
28,28,Centre de réadaptation en dépendance du Nouveau Départ Inc.,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre de réadapt. en dépendance du Nouveau Départ Inc.,-73.6224365234,45.5223045349,"1110, avenue Beaumont",Montréal,QC,H3P3E5,Province of Quebec,QC_healthcare_establishments.csv
29,29,Centre d'hébergement et de soins de longue durée de Sainte-Catherine S.E.C.,RLS de Jardins-Roussillon,CHSLD de Sainte-Catherine S.E.C.,-73.5433731079,45.4003067017,"3065, boulevard Marie-Victorin",Roussillon,QC,J5C1Z3,Province of Quebec,QC_healthcare_establishments.csv
30,30,Centre d'hébergement et de soins de longue durée Angus Inc.,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Angus Inc.,-73.5606231689,45.5465431213,"3200, rue Omer-Lavallée",Montréal,QC,H1Y3P5,Province of Quebec,QC_healthcare_establishments.csv
31,31,CHU de Québec – Université Laval,RLS de Québec-Sud,CHU de Québec – UL,-71.2109909058,46.8153915405,"11, côte du Palais",Québec,QC,G1R2J6,Province of Quebec,QC_healthcare_establishments.csv
