,idx,facility_name,facility_type,health_authority,longitude,latitude,province,phone,email,website,provider,filename
0,0,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.580628,49.473428,BC,2504877715.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
1,1,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-117.632802,49.08985,BC,2503688544.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
2,2,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.041364,49.218337,BC,6044303381.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
3,3,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-116.510349,49.094734,BC,2504026025.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
4,4,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.484683,49.881531,BC,2508611525.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
5,5,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-115.752809,49.529863,BC,2504202135.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
6,6,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.111329,49.26315,BC,6047088084.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
7,7,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-124.92499,49.673062,BC,2503396626.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
8,8,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.583745,49.48271,BC,2504933662.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
9,9,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.599932,49.220475,BC,6044670753.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
10,10,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-124.008173,54.012112,BC,2505676005.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
11,11,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-118.47066,49.023856,BC,2504425360.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
12,12,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.13486,49.740643,BC,6048986818.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
13,13,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.44297,52.964567,BC,2507472812.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
14,14,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.763799,50.121884,BC,2503782431.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
15,15,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.36684,48.424644,BC,6048244235.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
16,16,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.61148,49.840972,BC,2507077015.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
17,17,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.361514,50.697683,BC,2503123326.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
18,18,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.704649,49.125089,BC,6045763126.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
19,19,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.131212,52.117219,BC,2503052158.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
20,20,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.072229,49.323963,BC,6049833332.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
21,21,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.769326,53.887457,BC,2509601335.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
22,22,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.396814,48.433834,BC,2503818266.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
23,23,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-119.276442,50.260914,BC,2502604558.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
24,24,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-125.759919,54.226714,BC,2506921987.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
25,25,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-123.754674,49.473169,BC,6047405765.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
26,26,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-124.783321,49.266135,BC,2507231624.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
27,27,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.356233,50.669103,BC,2503716435.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
28,28,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-115.060466,49.515523,BC,2504233264.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
29,29,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-120.856819,56.23892,BC,2507852527.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
30,30,Pharmacy Services,Pharmacies,THE DRUGStore PHARMACY,-122.892836,49.248247,BC,6049371205.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
31,31,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-123.036662,49.258207,BC,6044366404.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
32,32,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-123.504841,48.441407,BC,2503913135.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
33,33,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-123.136734,49.17961,BC,6042332435.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
34,34,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-123.100212,49.210671,BC,6043223706.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
35,35,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-119.270357,50.28729,BC,2505502335.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
36,36,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-124.044263,49.231833,BC,2503905735.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
37,37,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-122.890397,49.152125,BC,6045925235.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
38,38,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-122.67235,49.224039,BC,6044604335.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
39,39,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-122.999403,49.228421,BC,6044394404.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
40,40,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-123.703697,48.774708,BC,2507460535.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
41,41,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-123.024409,49.311582,BC,6049045535.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
42,42,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-124.988837,49.698026,BC,2503346930.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
43,43,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-125.254658,50.03446,BC,2508302735.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
44,44,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-122.793127,49.274338,BC,6044686735.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
45,45,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-119.432217,49.881085,BC,2507172535.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
46,46,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-122.845528,49.139977,BC,6045993704.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
47,47,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-122.314944,49.053283,BC,6045575235.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
48,48,Late Night Pharmacy Services,Late Night Pharmacies,THE DRUGStore PHARMACY,-122.855476,49.233295,BC,6045208304.0,,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,Province of British Columbia,BC_pharmacies.csv
