city,facility_name,fax,phone,province
Black Diamond ,Oilfields General Hospital ,403-933-2031,403-933-2222,AB
Calgary ,Alberta Children’s Hospital ,,403-955-7211,AB
Calgary ,Foothills Medical Centre ,,403-944-1110,AB
Calgary ,Peter Lougheed Centre,,403-943-4555,AB
Calgary ,Richmond Road Diagnostic & Treatment Centre  ,,403-943-7444,AB
Calgary ,Rockyview General Hospital ,,403-943-3000,AB
Calgary ,South Health Campus ,,403-956-1111,AB
Canmore ,Canmore General Hospital ,403-678-9874,403-678-5536,AB
Claresholm ,Claresholm General Hospital ,403-682-3789,403-682-3700,AB
Didsbury ,Didsbury District Health Services  ,403-335-4816,403-335-9393,AB
High River ,High River General Hospital ,403-652-0199,403-652-2200,AB
Strathmore ,Strathmore District Health Services ,403-361-7048,403-361-7000,AB
Calgary ,Rockyview General Hospital ,,403-943-3000,AB
Calgary ,South Health Campus ,,403-956-1111,AB
Canmore ,Canmore General Hospital ,403-678-9874,403-678-5536,AB
Claresholm ,Claresholm General Hospital ,403-682-3789,403-682-3700,AB
Didsbury ,Didsbury District Health Services  ,403-335-4816,403-335-9393,AB
High River ,High River General Hospital ,403-652-0199,403-652-2200,AB
Strathmore ,Strathmore District Health Services ,403-361-7048,403-361-7000,AB
Calgary ,Rockyview General Hospital ,,403-943-3000,AB
Calgary ,South Health Campus ,,403-956-1111,AB
Canmore ,Canmore General Hospital ,403-678-9874,403-678-5536,AB
Claresholm ,Claresholm General Hospital ,403-682-3789,403-682-3700,AB
Didsbury ,Didsbury District Health Services  ,403-335-4816,403-335-9393,AB
High River ,High River General Hospital ,403-652-0199,403-652-2200,AB
Strathmore ,Strathmore District Health Services ,403-361-7048,403-361-7000,AB
Lloydminster ,Lloydminster Hospital ,306-825-6516,306-820-6000,AB
Olds ,Olds Hospital and Care Centre ,403-556-2199,,AB
Ponoka ,Ponoka Hospital and Care Centre,403-783-6907,,AB
Provost ,Provost Health Centre ,780-753-6132,,AB
Red Deer ,Red Deer Regional Hospital Centre ,403-343-4866,403-343-4422,AB
Rimbey ,Rimbey Hospital and Care Centre ,403-843-2506,403-843-2271,AB
Rocky ,Rocky Mountain House Health Centre ,403-845-7030,403-845-3347,AB
Stettler ,Stettler Hospital and Care Centre  ,403-742-1244,,AB
Sundre ,Sundre Hospital and Care Centre ,403-638-4971,403-638-3033,AB
Three Hills ,Three Hills Health Centre ,403-443-5565,403-443-2444,AB
Tofield ,Tofield Health Centre  ,780-662-3835,780-662-3263,AB
Two Hills ,Two Hills Health Centre,780-657-2508,780-657-3344,AB
Vegreville ,St. Joseph’s General Hospital ,780-603-4402,,AB
Vermilion ,Vermilion Health Centre  ,780-853-4786,,AB
Viking ,Viking Health Centre ,780-336-4983,780-336-4786,AB
Wainwright ,Wainwright Health Centre ,780-842-4290,780-842-3324,AB
Wetaskiwin ,Wetaskiwin Hospital and Care Centre ,780-361-4061,780-361-7100,AB
Devon ,Devon General Hospital ,780-987-8232,780-987-8200,AB
Edmonton ,Glenrose Rehabilitation Hospital ,780-471-7976,,AB
Edmonton ,Grey Nuns Community Hospital  ,780-735-7500,780-735-7000,AB
Edmonton ,Misericordia Community Hospital  ,780-735-2774,,AB
Edmonton ,Northeast Community Health Centre ,780-472-5100,780-472-5000,AB
Edmonton ,Royal Alexandra Hospital ,780-735-4777,780-735-4111,AB
Edmonton ,Stollery Children’s Hospital,780-407-7418,780-407-8655,AB
Edmonton ,University of Alberta Hospital  ,780-407-7418,780-407-8822,AB
Fort Saskatchewan ,Fort Saskatchewan Community Hospital ,780-342-3338,780-998-2256,AB
Leduc ,Leduc Community Hospital,780-980-4490,780-986-7711,AB
Sherwood Park ,Strathcona Community Hospital ,,,AB
St Albert ,Sturgeon Community Hospital ,780-418-8262,780-418-8200,AB
Stony Plain  ,WestView Health Centre – Stony Plain ,780-963-7192,780-968-3600,AB
Athabasca ,Athabasca Healthcare Centre ,780-675-7050,780-675-6000,AB
Barrhead ,Barrhead Healthcare Centre  ,780-674-3541,780-674-2221,AB
Beaverlodge ,Beaverlodge Municipal Hospital ,780-354-8355,780-354-2136,AB
Bonnyville ,Bonnyville Healthcare Centre  ,780-826-6527,780-826-3311,AB
Boyle ,Boyle Healthcare Centre ,780-689-3951,780-689-3731,AB
Cold Lake ,Cold Lake Healthcare Centre ,780-639-2255,780-639-3322,AB
Edson ,Edson Healthcare Centre  ,780-723-7787,780-723-3331,AB
Elk Point ,Elk Point Healthcare Centre ,780-724-3085,780-724-3847,AB
Fairview ,Fairview Health Complex ,780-835-5789,780-835-6100,AB
Fort McMurray ,Northern Lights Regional Health Centre ,780-791-6019,780-791-6024,AB
Fort Vermilion ,St. Theresa General Hospital ,780-927-6207,780-927-3761,AB
Fox Creek ,Fox Creek Healthcare Centre ,780-622-3474,780-622-3545,AB
Grande Cache ,Grande Cache Community Health Complex  ,780-827-2859,780-827-3701,AB
