OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Bethesda Christian Association,Bethesda - West Richmond Home,Community Living,10120 No. 1 Road ,Richmond,V7E 1S2,(604) 241-9757,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1809197,49.1399135
Vancouver Coastal Health,The Richmond Bridge House,Mental Health,10220 Granville Ave ,Richmond,V6Y 1R4,(604) 244-7840,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.1107626,49.1625389
Greater Vancouver Community Services Society,GVCSS - Steveston Group Home,Community Living,10351 Steveston Hwy ,Richmond,V7A 1N3,(604) 277-4485,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,6,N,,-123.1096721,49.1337709
Horizon Facilities Inc,Horizon House,Mental Health,10355 McLeod Court ,Richmond,V6X 3L3,(604) 303-0972,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.1089233,49.1934431
Thompson Community Services,Milford Home,Community Living,10420 Milford Dr ,Richmond,V7A 4J7,(604) 277-9599,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1151772,49.1391079
Marineview Housing Society,Boulevard House,Mental Health,1053 Grand Blvd ,North Vancouver,V7L 3X1,604-971-1530,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0580719,49.3175905
Jewish Home for the Aged of BC,Louis Brier Home,Long Term Care,1055 W 41st Ave ,Vancouver,V6M 1W9,(604) 261-9376,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,145,N,,N,,-123.1293368,49.2340704
Marineview Housing Society,Cloverley House,Mental Health,1057 Cloverley St ,North Vancouver,V7L 1N4,604-980-6243,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0461745,49.3130596
Western Human Resource Corp,Richfield Group Home,Community Living,10591 Bissett Dr ,Richmond,V7A 4K8,(604) 271-2802,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.107216,49.1477141
North Shore Private Hospital (1985) Ltd.,Lynn Valley Care Centre,Long Term Care,1070 Lynn Valley Road ,North Vancouver,V7J 1Z8,604-988-4181,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,92,N,,N,,-123.0446964,49.3340774
Thompson Community Services Inc,No. 5 Road Group Home,Community Living,10731 No. 5 Road ,Richmond,V7A 4E6,(604) 271-0873,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0926533,49.1340511
Community Living Society,Frederick Road,Community Living,1075 Frederick Road ,North Vancouver,V7K 1H9,604-986-9238,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.0440175,49.3416966
