,MUNID,CODEID,TYPE,NO_CIVIQUE,GENERIQUE,LIAISON,SPECIFIQUE,DIRECTION,ADR_COMPLE,NOM_TOPOGR,COTE,SECTION,ENTITEID,GEOM,LONGITUDE,LATITUDE
0,81017,160,Édifice fédéral,,,,,,625 Boulevard du Carrefour,Archives Nationales,,,{C22FB94A-24C3-4F58-8375-231468598ED2},POINT (-75.676786 45.487452),45.487452,-75.676786
1,81017,79,Résidence pour personnes âgées,,,,,,60 Rue de la Futaie,Résidence Cité-Jardin,,,{88DE67A5-88F2-47D7-B4AA-BEDC8049F255},POINT (-75.68749 45.486385),45.486385,-75.68749
2,81017,570,Cinéma,,,,,,120 Boulevard de l'Hôpital,Cinéma 9,,,{C1DB53E3-86E2-4BF5-ADE1-EEA62F3DB816},POINT (-75.686799 45.481),45.481,-75.686799
3,81017,1162,Autres services médicaux et de santé,,,,,,25 Rue Saint-François,Centre de réadaptation en dépendance,,,{C640A131-656C-4A21-AE93-D6120CDE0A0A},POINT (-75.748249 45.422431),45.422431,-75.748249
4,81017,1163,C.H.S.L.D.,,,,,,134 Rue Jean-René-Monette,Centre d'hébergement Bon Séjour,,,{52C9F9B7-3721-4204-A13B-388828278AD5},POINT (-75.647589 45.481621),45.481621,-75.647589
5,81017,1166,Usine de traitement des eaux,,,,,,291 Boulevard de Lucerne,Usine de filtration Secteur Hull,,,{AC16966C-8B44-42D1-B169-453A3D395524},POINT (-75.753116 45.419376),45.419376,-75.753116
6,81017,69,Édifice municipal,,,,,,170 Rue de l'Hôtel-de-Ville,Édifice Jos-Monferrand,,,{2B57949C-E3F6-42FC-8F71-B032B39745E0},POINT (-75.711457 45.426872),45.426872,-75.711457
7,81017,171,Centre communautaire,,,,,,70 Rue Moreau,Centre communautaire Saint-Jean-De Brébeuf,,,{7BBAFC5F-1474-42DB-9D88-EB20E0278B69},POINT (-75.707064 45.46431),45.46431,-75.707064
8,81017,441,Parc récréatif,,,,,,520 Rue Carle,Parc Apollo ,,,{41A4D5D5-1B2B-41DF-8E4B-9BD7A5505AF0},POINT (-75.670275 45.487214),45.487214,-75.670275
9,81017,146,Centre sportif,,,,,,211 Rue Montcalm,La Fonderie,,,{5AFF6B0A-3425-4CEF-8C21-F588ACAD982D},POINT (-75.731136 45.430451),45.430451,-75.731136
10,81017,15,Centre commercial,,,,,,210 Chemin d'Aylmer,Plaza Glenwood,,,{6CA0CB40-5209-46FA-88B8-99A17EF9F55D},POINT (-75.832427 45.394896),45.394896,-75.832427
11,81017,19,Centre commercial,,,,,,181 Rue Principale,Galeries Aylmer,,,{1096F198-A1AA-49D5-839A-B72E83102E45},POINT (-75.836098 45.396974),45.396974,-75.836098
