city,facility_name,info
Black Diamond ,Oilfields General Hospital ,"717 Government Road,  Black Diamond, Alberta,  T0L 0H0 Ph: 403-933-2222 Fax: 403-933-2031 "
Calgary ,Alberta Children’s Hospital ,"2888 Shaganappi Trail NW, Calgary, Alberta, T3B 6A8 Ph: 403-955-7211 Fax:  "
Calgary ,Foothills Medical Centre ,"1403 – 29 Street NW,  Calgary, Alberta, T2N 2T9 Ph: 403-944-1110 Fax:  "
Calgary ,Peter Lougheed Centre,"3500 – 26 Avenue NE,  Calgary, Alberta, T1Y 6J4 Ph: 403-943-4555 Fax:  "
Calgary ,Richmond Road Diagnostic & Treatment Centre  ,"1820 Richmond Road SW Calgary, Alberta, T2T 5C7 Ph: 403-943-7444 Fax:  "
Calgary ,Rockyview General Hospital ,"7007 – 14 Street SW,  Calgary, Alberta, T2V 1P9 Ph: 403-943-3000 Fax:  "
Calgary ,South Health Campus ,"4448 Front Street SE, Calgary, Alberta, T3M 1M4 Ph: 403-956-1111 Fax:  "
Canmore ,Canmore General Hospital ,"1100 Hospital Place,  Canmore, Alberta, T1W 1N2 Ph: 403-678-5536 Fax: 403-678-9874 "
Claresholm ,Claresholm General Hospital ,"221 – 43rd Avenue West,  Claresholm, Alberta, T0L 0T0 Ph: 403-682-3700 Fax: 403-682-3789 "
Didsbury ,Didsbury District Health Services  ,"1210 – 20th Avenue, Didsbury, Alberta, T0M 0W0 Ph: 403-335-9393 Fax: 403-335-4816 "
High River ,High River General Hospital ,"560 – 9th Avenue SW  High River, Alberta, T1V 1B3 Ph: 403-652-2200 Fax: 403-652-0199 "
Strathmore ,Strathmore District Health Services ,"200 Brent Blvd.,  Strathmore, Alberta, T1P 1J9 Ph: 403-361-7000 Fax: 403-361-7048 "
Calgary ,Rockyview General Hospital ,"7007 – 14 Street SW,  Calgary, Alberta, T2V 1P9 Ph: 403-943-3000 Fax:  "
Calgary ,South Health Campus ,"4448 Front Street SE, Calgary, Alberta, T3M 1M4 Ph: 403-956-1111 Fax:  "
Canmore ,Canmore General Hospital ,"1100 Hospital Place,  Canmore, Alberta, T1W 1N2 Ph: 403-678-5536 Fax: 403-678-9874 "
Claresholm ,Claresholm General Hospital ,"221 – 43rd Avenue West,  Claresholm, Alberta, T0L 0T0 Ph: 403-682-3700 Fax: 403-682-3789 "
Didsbury ,Didsbury District Health Services  ,"1210 – 20th Avenue, Didsbury, Alberta, T0M 0W0 Ph: 403-335-9393 Fax: 403-335-4816 "
High River ,High River General Hospital ,"560 – 9th Avenue SW  High River, Alberta, T1V 1B3 Ph: 403-652-2200 Fax: 403-652-0199 "
Strathmore ,Strathmore District Health Services ,"200 Brent Blvd.,  Strathmore, Alberta, T1P 1J9 Ph: 403-361-7000 Fax: 403-361-7048 "
Calgary ,Rockyview General Hospital ,"7007 – 14 Street SW,  Calgary, Alberta, T2V 1P9 Ph: 403-943-3000 Fax:  "
Calgary ,South Health Campus ,"4448 Front Street SE, Calgary, Alberta, T3M 1M4 Ph: 403-956-1111 Fax:  "
Canmore ,Canmore General Hospital ,"1100 Hospital Place,  Canmore, Alberta, T1W 1N2 Ph: 403-678-5536 Fax: 403-678-9874 "
Claresholm ,Claresholm General Hospital ,"221 – 43rd Avenue West,  Claresholm, Alberta, T0L 0T0 Ph: 403-682-3700 Fax: 403-682-3789 "
Didsbury ,Didsbury District Health Services  ,"1210 – 20th Avenue, Didsbury, Alberta, T0M 0W0 Ph: 403-335-9393 Fax: 403-335-4816 "
High River ,High River General Hospital ,"560 – 9th Avenue SW  High River, Alberta, T1V 1B3 Ph: 403-652-2200 Fax: 403-652-0199 "
Strathmore ,Strathmore District Health Services ,"200 Brent Blvd.,  Strathmore, Alberta, T1P 1J9 Ph: 403-361-7000 Fax: 403-361-7048 "
Lloydminster ,Lloydminster Hospital ,"3820 – 43 Avenue, Lloydminster, Saskatchewan, S9V 1Y5 Ph: 306-820-6000 Fax: 306-825-6516  "
Olds ,Olds Hospital and Care Centre ,"3901 – 57 Avenue,  Olds, Alberta, T4H 1T4 Ph : 403-556-3381 Fax: 403-556-2199 "
Ponoka ,Ponoka Hospital and Care Centre,"5800 – 57 Avenue,  Ponoka, Alberta, T4J 1P1 Ph : 403-783-3341 Fax: 403-783-6907 "
Provost ,Provost Health Centre ,"5002 – 54 Avenue, Box 270 Provost, Alberta, T0B 3S0 Ph : 780-753-2291 Fax: 780-753-6132 "
Red Deer ,Red Deer Regional Hospital Centre ,"3942 – 50A Avenue,  Red Deer, Alberta, T4N 4E7 Ph: 403-343-4422 Fax: 403-343-4866 "
Rimbey ,Rimbey Hospital and Care Centre ,"5228 – 50 Avenue,  Rimbey, Alberta, T0C 2J0 Ph: 403-843-2271 Fax: 403-843-2506 "
Rocky ,Rocky Mountain House Health Centre ,"5016 – 52 Avenue,  Rocky Mountain House,  Alberta, T4T 1T2 Ph: 403-845-3347 Fax: 403-845-7030 "
Stettler ,Stettler Hospital and Care Centre  ,"5912 – 47 Avenue,  Stettler, Alberta, T0C 2L0 Ph : 403-742-7400 Fax: 403-742-1244 "
Sundre ,Sundre Hospital and Care Centre ,"709 – 1 Street N.E.,  Sundre, Alberta, T0M 1X0 Ph: 403-638-3033 Fax: 403-638-4971 "
Three Hills ,Three Hills Health Centre ,"1504 2nd Street N.,  Three Hills, Alberta, T0M 2A0 Ph: 403-443-2444 Fax: 403-443-5565 "
Tofield ,Tofield Health Centre  ,"5543 – 44 Street, Box 1200 Tofield, Alberta, T0B 4J0 Ph: 780-662-3263 Fax: 780-662-3835 "
Two Hills ,Two Hills Health Centre,"4401 – 53 Avenue, Box 160 Two Hills, Alberta, T0B 4K0 Ph: 780-657-3344 Fax: 780-657-2508 "
Vegreville ,St. Joseph’s General Hospital ,"5241 – 43 Street,  Vegreville, Alberta, T9C 1R5 Ph : 780-632-2811 Fax: 780-603-4402 "
Vermilion ,Vermilion Health Centre  ,"5720 – 50 Avenue,  Vermillion, Alberta, T9X 1K7 Ph : 780-853-5305 Fax: 780-853-4786 "
Viking ,Viking Health Centre ,"5110 – 57 Avenue, Box 60 Viking, Alberta, T0B 4N0 Ph: 780-336-4786 Fax: 780-336-4983 "
Wainwright ,Wainwright Health Centre ,"530 – 6 Avenue,  Wainwright, Alberta,  T9W 1R6 Ph: 780-842-3324 Fax: 780-842-4290 "
Wetaskiwin ,Wetaskiwin Hospital and Care Centre ,"6910 – 47 Street,  Wetaskiwin, Alberta, T9A 3N3 Ph: 780-361-7100 Fax: 780-361-4061 "
Devon ,Devon General Hospital ,"101 Erie Street South,  Devon, Alberta, T9G 1A6 Ph: 780-987-8200 Fax: 780-987-8232 "
