facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,street_no,street_name,street_addr,city,postal_code,provider,latitude,longitude,phone,email,website,geo_source
Centre Le Cardinal inc.,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre Le Cardinal inc.,,,,,"12900, rue Notre-Dame Est",Montréal,H1A1R9,Province of Quebec,45.6524505615,-73.4883346558,,,,Source
Groupe Roy santé Inc.,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Groupe Roy santé Inc.,,,,,"3550, rue Saint-Urbain",Montréal,H2X4C5,Province of Quebec,45.5122146606,-73.5729370117,,,,Source
Centre régional de santé et de services sociaux de la Baie-James,,,CRSSS de la Baie-James,,,,,"312, 3e Rue",Jamésie,G8P1N5,Province of Quebec,49.913394928,-74.3570785522,,,,Source
Centre hospitalier de l'Université de Montréal,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CHUM,,,,,"850, rue Saint-Denis",Montréal,H2X0A9,Province of Quebec,45.5108375549,-73.5559463501,,,,Source
CHSLD Résidence Bourg-Joli Inc.,,RLS de Richelieu-Yamaska,CHSLD Résidence Bourg-Joli Inc.,,,,,"2915, boulevard Laframboise",Les Maskoutains,J2S4Z3,Province of Quebec,45.6335144043,-72.964225769,,,,Source
Conseil de la nation atikamekw,,,Conseil de la nation atikamekw,,,,,wemotaci,La Tuque,G0X3R0,Province of Quebec,47.9025650024,-73.7873306274,,,,Source
Le CHSLD des Premières Nations du Timiskaming,,,Le CHSLD des Premières Nations du Timiskaming,,,,,"20, avenue Algonquin",Témiscamingue,J0Z3B0,Province of Quebec,47.6070137024,-79.4703979492,,,,Source
CHSLD de la Côte Boisée Inc.,,RLS de Lanaudière-Sud,CHSLD de la Côte Boisée Inc.,,,,,"4300, rue d'Angora",Les Moulins,J6X4P1,Province of Quebec,45.7127571106,-73.6615905762,,,,Source
CLSC Naskapi,,RLS de Kawawachikamach,CLSC Naskapi,,,,,Case postale 5154,Caniapiscau,G0G2Z0,Province of Quebec,54.8612480164,-66.764251709,,,,Source
Centre d'hébergement de la Marée Inc.,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre d'hébergement de la Marée Inc.,,,,,"7015, boulevard Gouin Est",Montréal,H1E5N2,Province of Quebec,45.6300621033,-73.6190414429,,,,Source
Prodimax Inc.,,RLS de Laval,Prodimax Inc.,,,,,"1050, 15e avenue",Laval,H7R4N9,Province of Quebec,45.5621910095,-73.8588943481,,,,Source
Santé Courville inc.,,RLS de Laval,Santé Courville inc.,,,,,"5200, 80e Rue",Laval,H7R5T6,Province of Quebec,45.5432891846,-73.8550033569,,,,Source
Centre intégré de santé et de services sociaux des Îles,,RLS des Îles-de-la-Madeleine,CISSS des Îles,,,,,"430, chemin Principal (Cap-aux-Meules)",Communauté maritime des Îles-de-la-Madeleine,G4T1R9,Province of Quebec,47.3755760193,-61.8687705994,,,,Source
Centre d'hébergement de la Villa-les-Tilleuls Inc.,,RLS de Laval,Centre d'hébergement de la Villa-les-Tilleuls Inc.,,,,,"5590, boulevard des Laurentides",Laval,H7K2K2,Province of Quebec,45.6267585754,-73.752243042,,,,Source
"Centre d'hébergement et de soins de longue durée du Manoir-de-l'Ouest-de-l'Île, S.E.C.",,RLS de Pierrefonds - Lac Saint-Louis,"CHSLD du Manoir-de-l'Ouest-de-l'Île, S.E.C.",,,,,"17725, boulevard de Pierrefonds",Montréal,H9J3L1,Province of Quebec,45.462852478,-73.8856124878,,,,Source
Groupe Champlain Inc,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Groupe Champlain Inc.,,,,,"7150, rue Marie-Victorin",Montréal,H1G2J5,Province of Quebec,45.6160697937,-73.6037445068,,,,Source
Centre d'hébergement et de soins de longue durée des Floralies-de-Lachine Inc.,,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lachine Inc.,,,,,"650, 32e Avenue",Montréal,H8T3K4,Province of Quebec,45.4408454895,-73.6918411255,,,,Source
Centre d'hébergement et de soins de longue durée des Floralies-de-Lasalle Inc.,,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lasalle Inc.,,,,,"8200, rue Georges",Montréal,H8P3T6,Province of Quebec,45.4241905212,-73.6090316772,,,,Source
Centre d'hébergement et de soins de longue durée Côte-Jardin Inc.,,RLS de Québec-Sud,CHSLD Côte-Jardin Inc.,,,,,"880, avenue Painchaud",Québec,G1S0A3,Province of Quebec,46.7881507874,-71.2610244751,,,,Source
Centre d'hébergement et de soins de longue durée du Château-sur-le-Lac-de-Sainte-Geneviève inc.,,RLS de Pierrefonds - Lac Saint-Louis,CHSLD du Château-sur-le-Lac-de-Sainte-Geneviève inc.,,,,,"16289, boulevard Gouin Ouest",Montréal,H9H1E2,Province of Quebec,45.4779891968,-73.8744659424,,,,Source
