facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,unit,street_no,street_name,street_addr,city,province,postal_code,provider,latitude,longitude,phone,email,website
Centre Le Cardinal inc.,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre Le Cardinal inc.,,,,12900,rue notre-dame est,"12900, rue Notre-Dame Est",Montréal,QC,H1A1R9,Province of Quebec,45.6524505615,-73.4883346558,,,
Groupe Roy santé Inc.,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Groupe Roy santé Inc.,,,,3550,rue saint-urbain,"3550, rue Saint-Urbain",Montréal,QC,H2X4C5,Province of Quebec,45.5122146606,-73.5729370117,,,
Centre régional de santé et de services sociaux de la Baie-James,,,CRSSS de la Baie-James,,,,312,3e rue,"312, 3e Rue",Jamésie,QC,G8P1N5,Province of Quebec,49.913394928,-74.3570785522,,,
Centre hospitalier de l'Université de Montréal,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CHUM,,,,850,rue saint-denis,"850, rue Saint-Denis",Montréal,QC,H2X0A9,Province of Quebec,45.5108375549,-73.5559463501,,,
CHSLD Résidence Bourg-Joli Inc.,,RLS de Richelieu-Yamaska,CHSLD Résidence Bourg-Joli Inc.,,,,2915,boulevard laframboise,"2915, boulevard Laframboise",Les Maskoutains,QC,J2S4Z3,Province of Quebec,45.6335144043,-72.964225769,,,
Conseil de la nation atikamekw,,,Conseil de la nation atikamekw,,,,,,wemotaci,La Tuque,QC,G0X3R0,Province of Quebec,47.9025650024,-73.7873306274,,,
Le CHSLD des Premières Nations du Timiskaming,,,Le CHSLD des Premières Nations du Timiskaming,,,,20,avenue algonquin,"20, avenue Algonquin",Témiscamingue,QC,J0Z3B0,Province of Quebec,47.6070137024,-79.4703979492,,,
CHSLD de la Côte Boisée Inc.,,RLS de Lanaudière-Sud,CHSLD de la Côte Boisée Inc.,,,,4300,rue d'angora,"4300, rue d'Angora",Les Moulins,QC,J6X4P1,Province of Quebec,45.7127571106,-73.6615905762,,,
CLSC Naskapi,,RLS de Kawawachikamach,CLSC Naskapi,,,,,,Case postale 5154,Caniapiscau,QC,G0G2Z0,Province of Quebec,54.8612480164,-66.764251709,,,
Centre d'hébergement de la Marée Inc.,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre d'hébergement de la Marée Inc.,,,,7015,boulevard gouin est,"7015, boulevard Gouin Est",Montréal,QC,H1E5N2,Province of Quebec,45.6300621033,-73.6190414429,,,
Prodimax Inc.,,RLS de Laval,Prodimax Inc.,,,,1050,15e avenue,"1050, 15e avenue",Laval,QC,H7R4N9,Province of Quebec,45.5621910095,-73.8588943481,,,
Santé Courville inc.,,RLS de Laval,Santé Courville inc.,,,,5200,80e rue,"5200, 80e Rue",Laval,QC,H7R5T6,Province of Quebec,45.5432891846,-73.8550033569,,,
Centre intégré de santé et de services sociaux des Îles,,RLS des Îles-de-la-Madeleine,CISSS des Îles,,,,430,chemin principal,"430, chemin Principal (Cap-aux-Meules)",Communauté maritime des Îles-de-la-Madeleine,QC,G4T1R9,Province of Quebec,47.3755760193,-61.8687705994,,,
Centre d'hébergement de la Villa-les-Tilleuls Inc.,,RLS de Laval,Centre d'hébergement de la Villa-les-Tilleuls Inc.,,,,5590,boulevard des laurentides,"5590, boulevard des Laurentides",Laval,QC,H7K2K2,Province of Quebec,45.6267585754,-73.752243042,,,
"Centre d'hébergement et de soins de longue durée du Manoir-de-l'Ouest-de-l'Île, S.E.C.",,RLS de Pierrefonds - Lac Saint-Louis,"CHSLD du Manoir-de-l'Ouest-de-l'Île, S.E.C.",,,,17725,boulevard de pierrefonds,"17725, boulevard de Pierrefonds",Montréal,QC,H9J3L1,Province of Quebec,45.462852478,-73.8856124878,,,
Groupe Champlain Inc,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Groupe Champlain Inc.,,,,7150,rue marie-victorin,"7150, rue Marie-Victorin",Montréal,QC,H1G2J5,Province of Quebec,45.6160697937,-73.6037445068,,,
