idx,filename,facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,unit,street_no,street_name,street_addr,city,province,postal_code,provider,latitude,longitude,geo_source,phone,email,website,nom_request_name,nom_request_city,nom_request_street,osm_address,osm_name,osm_lat,osm_lon,osm_prov,osm_country,osm_class,osm_type,osm_city
e40e670adb81998fb72473171a6c82,NL_Labrador-Grenfell_health_facilities.csv,Labrador South Health Centre,Ambulatory health care services,Labrador-Grenfell Health,,,,,,,,Forteau,NL,A0K2P0,Labrador-Grenfell Health,,,osm_city,709-931-2450,,https://www.lghealth.ca/facilities/health-centres/labrador-south-health-centre/,"Labrador South Health Centre, Forteau, NL, Canada","Forteau, NL, Canada"," , Forteau, NL, Canada","Forteau, Labrador, Newfoundland and Labrador, A0K 2P0, Canada","Forteau, Labrador, Newfoundland and Labrador, A0K 2P0, Canada",51.46466335,-56.93751349662313,,ca,boundary,administrative,
f1a82878dc35561092ba58f7f6f2ed,AB_Calgary_covid_vaccination_centres.csv,STURGEON PHARMACY,Covid-19 related facilities,,,,,150,625,st albert tr,150-625 ST ALBERT TR,ST ALBERT,AB,,Calgary,,,,780-569-1722,,,"STURGEON PHARMACY, ST ALBERT, AB, Canada","ST ALBERT, AB, Canada","625 st albert tr, ST ALBERT, AB, Canada","St. Albert, Alberta, T8N 3Z9, Canada","St. Albert, Alberta, T8N 3Z9, Canada",53.633239,-113.628845,,ca,place,city,St. Albert
7ff72728abd5d361517166eb64b4b0,AB_Calgary_covid_vaccination_centres.csv,BURNEWOOD SQUARE PHARMACY,Covid-19 related facilities,,,,,,3416,43 ave nw,3416 43 AVE NW,EDMONTON,AB,,Calgary,,,,780-757-0098,,,"BURNEWOOD SQUARE PHARMACY, EDMONTON, AB, Canada","EDMONTON, AB, Canada","3416 43 ave nw, EDMONTON, AB, Canada","3416, 43 Avenue NW, Kiniski Gardens, Burnewood, Mill Woods, Edmonton, Edmonton (city), Alberta, T6L 6G9, Canada","3416, 43 Avenue NW, Kiniski Gardens, Burnewood, Mill Woods, Edmonton, Edmonton (city), Alberta, T6L 6G9, Canada",53.48053572413793,-113.39424396551725,,ca,place,house,Edmonton
9167b7f423cf162dfcb1eef344c2a6,AB_Calgary_covid_vaccination_centres.csv,UNIVERSAL HEALTH PHARMACY #2,Covid-19 related facilities,,,,,150,3650,westwinds dr ne,150-3650 WESTWINDS DR NE,CALGARY,AB,,Calgary,,,,403-514-6020,,,"UNIVERSAL HEALTH PHARMACY #2, CALGARY, AB, Canada","CALGARY, AB, Canada","3650 westwinds dr ne, CALGARY, AB, Canada","Westwinds Drive NE, Westwinds, Calgary, Alberta, T3J 5H3, Canada","Westwinds Drive NE, Westwinds, Calgary, Alberta, T3J 5H3, Canada",51.1088384,-113.971295,,ca,highway,tertiary,Calgary
5e96612761ff9c2469d73e47ad4d9a,AB_Calgary_covid_vaccination_centres.csv,MEDLIFE PHARMACY,Covid-19 related facilities,,,,,,16534,59 a st nw,16534 59 A ST NW,EDMONTON,AB,,Calgary,,,,780-457-6704,,,"MEDLIFE PHARMACY, EDMONTON, AB, Canada","EDMONTON, AB, Canada","16534 59 a st nw, EDMONTON, AB, Canada","Edmonton, Edmonton (city), Alberta, Canada","Edmonton, Edmonton (city), Alberta, Canada",53.535411,-113.507996,,ca,boundary,administrative,Edmonton
51e151334fdb2ddbb97483ef868c6f,AB_Calgary_covid_vaccination_centres.csv,SHOPPERS DRUG MART 2353,Covid-19 related facilities,,,,,110,620,mckenzie towne dr se,110-620 MCKENZIE TOWNE DR SE,CALGARY,AB,,Calgary,,,,403-257-1109,,,"SHOPPERS DRUG MART 2353, CALGARY, AB, Canada","CALGARY, AB, Canada","620 mckenzie towne dr se, CALGARY, AB, Canada","Shoppers Drug Mart, 620, McKenzie Towne Drive SE, High Street, New Brighton, Calgary, Alberta, T2Z 0Y6, Canada","Shoppers Drug Mart, 620, McKenzie Towne Drive SE, High Street, New Brighton, Calgary, Alberta, T2Z 0Y6, Canada",50.91240435,-113.95356040515338,,ca,amenity,pharmacy,Calgary
d3afcd29d978acfdf200158f675cfc,ON_Guelph_healthcare_facilities.csv,Guelph Community Health Centre - Downtown location,Ambulatory health care services,,Guelph Community Health Centre - Downtown location,,,,176,Wyndham Street North,176 Wyndham Street North,Guelph,ON,N1H8N9,Guelph,,,,519-821-6638,,http://www.guelphchc.ca,"Guelph Community Health Centre - Downtown location, Guelph, ON, Canada","Guelph, ON, Canada","176 Wyndham Street North, Guelph, ON, Canada","Guelph Community Health Centre, 176, Wyndham Street North, Downtown Guelph, Guelph, Southwestern Ontario, Ontario, N1H 8N9, Canada","Guelph Community Health Centre, 176, Wyndham Street North, Downtown Guelph, Guelph, Southwestern Ontario, Ontario, N1H 8N9, Canada",43.5477439,-80.25135607989509,,ca,amenity,clinic,Guelph
41f699976329374143e81dc97b6a25,ON_Guelph_healthcare_facilities.csv,"Canadian Mental Health Association, Waterloo Wellington Dufferin",Mental health and rehabilitation facilities,,"Canadian Mental Health Association, Waterloo Wellington Dufferin",,,,485,Silvercreek Parkway North,485 Silvercreek Parkway North,Guelph,ON,N1H7K5,Guelph,,,,1 844 264 2993 (toll-free phone number),,http://www.cmhawwd.ca,"Canadian Mental Health Association, Waterloo Wellington Dufferin, Guelph, ON, Canada","Guelph, ON, Canada","485 Silvercreek Parkway North, Guelph, ON, Canada","KW Cellular & Gadgets, 485, Silvercreek Parkway North, Guelph, Southwestern Ontario, Ontario, N1H 7K5, Canada","KW Cellular & Gadgets, 485, Silvercreek Parkway North, Guelph, Southwestern Ontario, Ontario, N1H 7K5, Canada",43.5515052,-80.2953903,,ca,shop,mobile_phone,Guelph
03e27d05e534d2fb1282bc297246d5,ON_Guelph_healthcare_facilities.csv,Growing Great Kids Guelph-Wellington,Ambulatory health care services,,Growing Great Kids Guelph-Wellington,,,,160,Chancellors Way,160 Chancellors Way,Guelph,ON,N1H0E1,Guelph,,,,519-822-2715 extension 3616,,,"Growing Great Kids Guelph-Wellington, Guelph, ON, Canada","Guelph, ON, Canada","160 Chancellors Way, Guelph, ON, Canada","Wellington Dufferin Guelph Public Health, 160, Chancellors Way, Research Park North, Guelph, Southwestern Ontario, Ontario, N1G 5K1, Canada","Wellington Dufferin Guelph Public Health, 160, Chancellors Way, Research Park North, Guelph, Southwestern Ontario, Ontario, N1G 5K1, Canada",43.5249276,-80.2337527,,ca,building,commercial,Guelph
0388a833c58981e8c756c6cd4374ea,ON_Guelph_healthcare_facilities.csv,Family Counselling and Support Services for Guelph Wellington,Ambulatory health care services,,Family Counselling and Support Services for Guelph Wellington,,,,109,Surrey Street East,109 Surrey Street East,Guelph,ON,N1H3P7,Guelph,,,,"519-824-2431, 1-800-307-7078",,,"Family Counselling and Support Services for Guelph Wellington, Guelph, ON, Canada","Guelph, ON, Canada","109 Surrey Street East, Guelph, ON, Canada","Surrey Street East, The Ward, Guelph, Southwestern Ontario, Ontario, N1H 0B4, Canada","Surrey Street East, The Ward, Guelph, Southwestern Ontario, Ontario, N1H 0B4, Canada",43.5435829,-80.2443864,,ca,highway,residential,Guelph
