idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Name_Q,CleanName_DL,Address_1,Address_2,Addr_DL,Addr_CS,StrNum_Match,StrName_DL,StrName_CS,PC_Match,City_1,City_2,City_DL,Distance,Match
35,33,bonnyville healthcare centre,bonnyville community cancer centre,0.647058824,0.66169316,0.542857143,0.647058824,5001 lakeshore dr bonnyville alberta t9n 2j7,bonnyville alberta t9n 2j7,0.590909091,0.78600846,0,0,0,1,bonnyville,bonnyville,1,0,FALSE
845,844,glenora farm 2 (helios house),glenora farm 1 (big house),0.793103448,0.737864787,0.7,0.928571429,4766 waters rd duncan bc v9l 6s9,4766 waters rd duncan bc v9l 6s9,1,1,1,1,1,1,duncan,duncan,1,0,TRUE
846,844,glenora farm 3 (corwyn house),glenora farm 1 (big house),0.75862069,0.748455199,0.7,0.928571429,4766 waters rd duncan bc v9l 6s9,4766 waters rd duncan bc v9l 6s9,1,1,1,1,1,1,duncan,duncan,1,0,TRUE
846,845,glenora farm 3 (corwyn house),glenora farm 2 (helios house),0.75862069,0.710046947,0.7,0.928571429,4766 waters rd duncan bc v9l 6s9,4766 waters rd duncan bc v9l 6s9,1,1,1,1,1,1,duncan,duncan,1,0,TRUE
1550,1549,st paul s hospital providence building,st paul s hospital burrard building,0.763157895,0.786566506,0.717948718,0.763157895,1081 burrard st vancouver bc v6z 1y6,1081 burrard st vancouver bc v6z 1y6,1,1,1,1,1,1,vancouver,vancouver,1,0,TRUE
1551,1549,st paul s hospital providence ii building,st paul s hospital burrard building,0.707317073,0.761589745,0.666666667,0.707317073,1081 burrard st vancouver bc v6z 1y6,1081 burrard st vancouver bc v6z 1y6,1,1,1,1,1,1,vancouver,vancouver,1,0,TRUE
1551,1550,st paul s hospital providence ii building,st paul s hospital providence building,0.926829268,0.968245837,0.928571429,0.926829268,1081 burrard st vancouver bc v6z 1y6,1081 burrard st vancouver bc v6z 1y6,1,1,1,1,1,1,vancouver,vancouver,1,0,TRUE
2409,2408,aamjiwnaang first nation chippewas of sarnia,aamjiwnaag first nation chippewas of sarnia (css),0.857142857,0.913698555,0.86,0.977272727,978 tashmoo av sarnia,978 tashmoo av sarnia,1,1,1,1,1,1,sarnia,sarnia,1,0,FALSE
2469,2468,alzheimer society leeds grenville,alzheimer society lanark leeds grenville,0.825,0.919272391,0.829268293,0.825,42 garden st brockville,42 garden st brockville,1,1,1,1,1,1,brockville,brockville,1,0,TRUE
2584,2583,avalon retirement lodge,avalon retirement centre,0.791666667,0.830539534,0.76,0.791666667,355 broadway av orangeville,355 broadway av orangeville,1,1,1,1,1,1,orangeville,orangeville,1,0,TRUE
2590,2588,balance for blind adults (toronto central lhin),balance for blind adults,0.510638298,0.757676761,0.520833333,1,2340 dundas st w toronto,2340 dundas st w toronto,1,1,1,1,1,1,toronto,toronto,1,0,TRUE
2831,2830,canes community care (mh lhin),canes community care,0.666666667,0.862316499,0.677419355,1,135 queens plate dr toronto,135 queens plate dr toronto,1,1,1,1,1,1,toronto,toronto,1,0,TRUE
2840,2839,carefirst senior and community services association (toronto central lhin),carefirst senior and community services association (central lhin),0.891891892,0.94093927,0.88,1,300 silver star blvd toronto,300 silver star blvd toronto,1,1,1,1,1,1,toronto,toronto,1,0,TRUE
