,OBJECTID,Name,Phone,Address,Hours,Services,geometry,LONGITUDE,LATITUDE
0,1,Clinique Après Heures Champlain,(506) 383-7709,"123 Champlain Street, Dieppe","Monday-Friday: 6pm-9pm, Weekends and Holidays: 1pm-4pm",Basic Medical Needs,POINT (-64.75268534299994 46.09492732400003),-64.75268534299994,46.09492732400003
1,2,Clinique Dépannage du Marais,(506) 384-1110,"185 Acadie Avenue, Dieppe","Monday-Thursday: 1pm-4pm & 5:30pm-8pm, Friday-Sunday: 1pm-4pm",Basic Medical Needs,POINT (-64.74224176499996 46.09192738100006),-64.74224176499996,46.09192738100006
2,3,Clinique Dr. Louis Bourque,(506) 855-1125,"1116 Mountain Road, Moncton ","Monday-Friday: 2pm-8pm, Weekends & Holidays: 12pm-4pm",Basic Medical Needs,POINT (-64.82300276599995 46.10570962400004),-64.82300276599995,46.10570962400004
3,4,Clinique Providence,(506) 383-4331,"565 Elmwood Drive, Suite 202, Moncton","Monday-Friday: 6pm until full, Saturday-Sunday: 12pm until full",Basic Medical Needs,POINT (-64.77061607399997 46.12261804400003),-64.77061607399997,46.12261804400003
4,5,Dr. Georges-L.-Dumont University Hospital Centre,(506) 862-4000,"330 Université Avenue, Moncton",Emergency services 24 hours. ,Healthcare and emergency services,POINT (-64.78709616899994 46.09812084200007),-64.78709616899994,46.09812084200007
5,6,Moncton Hospital,(506) 857-5111,"135 Macbeath Avenue, Moncton",Emergency services 24 hours. ,Healthcare and emergency services,POINT (-64.80617113299996 46.10517415900006),-64.80617113299996,46.10517415900006
6,7,Trinity Medical Clinic,(506) 854-0133,"89 Trinity Drive, Moncton (Superstore)","Monday-Thursday: 1pm-4pm , 6pm-9pm, Friday-Sunday: 1pm-4pm",Basic Medical Needs,POINT (-64.83237708099995 46.11823685900004),-64.83237708099995,46.11823685900004
7,8,Moncton North After Hours Medical Clinic,(506) 854-2273,"1633 Mountain Road, Moncton","Phone lines open: 9am-9pm, Clinic open: 10am-12pm, 1:30pm-3:30pm, & 5:30pm-7:30pm",Basic Medical Needs,POINT (-64.83905325199999 46.11741910700005),-64.83905325199999,46.11741910700005
8,9,Mountain Road After Hours Clinic,(506) 388-9355,"1789 Mountain Road, Moncton (Jean-Coutu)","Monday-Thursday: 1pm-4pm, 6pm-9pm, Friday, Weekends, Holidays 1pm-4pm",Basic Medical Needs,POINT (-64.84612387999994 46.12162136300003),-64.84612387999994,46.12162136300003
9,10,Main Street Family Medical Clinic,(506) 854-8805,"165 Main Street, Moncton (Superstore)","Monday-Friday: 10am-12pm, 2pm-5pm, 6pm-9pm. Weekends and Holidays 1pm-4pm",Basic Medical Needs,POINT (-64.76805252499997 46.09334459800004),-64.76805252499997,46.09334459800004
10,11,Salvus Clinic ,(506) 384-7283,"22 Church Street, Unit T190, Moncton ","Monday-Thursday: 9am-4pm, Closed 12pm-1pm for lunch, Friday: 9am-12pm",Primary Health Care to ,POINT (-64.77899122599996 46.08896794300006),-64.77899122599996,46.08896794300006
11,12,Riverview After Hours Clinic (Shoppers),(506)387-7778,,"Mon - Fri, 6 pm-8 pm, Weekends and Holidays, 1 pm-3 pm",Basic Medical Needs,POINT (-64.80639061099998 46.06273097500008),-64.80639061099998,46.06273097500008
12,13,Coverdale Medical Clinic (Jean Coutu),,"438 Coverdale Road, Riverview NB","Mon - Thurs, 4 pm-full, Fri 3:30pm - Full Weekends 10:30am - Full",Basic Medical Needs,POINT (-64.80177702699996 46.06376831400007),-64.80177702699996,46.06376831400007
