,OBJECTID,TYPE,NAME,ADDRESS,TOWN,MUNICIPALITY,POSTAL_CODE,PHONE,COMMENTS,WEBSITE,INTERSECTION,HOURS,PROGRAMS,SEASONAL,GlobalID,geometry,LONGITUDE,LATITUDE
0,648,5,North Whitby Medical Centre,3975 Garden St,Whitby,Whitby,L1H 7K5,905-430-2400, ,,,,,,{D787F996-C04E-488B-AA7A-80EA1A46B3D0},POINT (-78.9472654774827 43.91725589096912),-78.9472654774827,43.91725589096912
1,650,5,Grandview Children's Centre,451 Paxton St,Port Perry,Scugog,L9L 1L9,905-985-7321 x5568, ,,,,,,{33B6A20E-7939-4A33-B216-7CAD57992FC3},POINT (-78.95485678713393 44.10518220931092),-78.95485678713393,44.10518220931092
2,652,5,Oshawa Clinic Centre for Sleep Medicine,13 Charles St,Oshawa,Oshawa,L1H 4X5,905-721-4052, ,,,,,,{D79C1300-5157-4E28-81DD-B7BA77A68A83},POINT (-78.85853183866739 43.89819029210495),-78.85853183866739,43.89819029210495
3,654,5,Provax Travel and Immunization Clinic,604 Taunton Rd W,Oshawa,Oshawa,L1H 7K4,877-977-6829, ,,,,,,{6AAF05B1-ECFF-4BE3-A2B9-83E12C3BC4D1},POINT (-78.89896786786009 43.92796304415911),-78.89896786786009,43.92796304415911
4,656,5,Oshawa Clinic Foot Care Centre,111 King St E,Oshawa,Oshawa,L1H 1B8,905-721-3567, ,,,,,,{34C86AD7-DE80-48B9-943E-B43EA2DCA5F5},POINT (-78.85958614470167 43.89808648152822),-78.85958614470167,43.89808648152822
5,657,5,Baywood After Hours Medical Centre,"75 Bayly St W, Unit 5",Ajax,Ajax,L1S 7K7,905-428-6495, ,,,,,,{044CFC80-69E0-4D8B-8ADC-845B95EB5AEE},POINT (-79.02121662882327 43.8428126696876),-79.02121662882327,43.8428126696876
6,658,5,Lakeridge Health Oshawa Eating Disorders Clinic,850 King St W,Oshawa,Oshawa,L1G 4W4,905-576-8711 x4622, ,,,,,,{E197FA93-2565-4015-B881-A56EE65D8F14},POINT (-78.8951399615131 43.89162741050964),-78.8951399615131,43.89162741050964
7,660,5,King Street Medical Clinic,600 King St E Unit 17,Oshawa,Oshawa,L1H 1G6,905-432-1017, ,,,,,,{E676422A-70B7-49DB-B693-FE5B4CF55345},POINT (-78.8414595294991 43.90347398079318),-78.8414595294991,43.90347398079318
8,661,5,Oshawa Phychological & Counselling Services,117 King St E,Oshawa,Oshawa,L1H 1B8,905-721-7723, ,,,,,,{76B81B4F-19BF-4672-B9B4-81E6777DCDB7},POINT (-78.85913305527988 43.89839707149708),-78.85913305527988,43.89839707149708
9,664,5,Lakeridge Health Regional Evaluation Centre,1000 Simcoe St N,Oshawa,Oshawa,L1G 4W4,905-433-4350,Location Changed to 223 Brock St N,,,,,,{587A747D-6A7E-42B8-BB46-5271B74E36B0},POINT (-78.87585856394593 43.92401320808471),-78.87585856394593,43.92401320808471
10,665,5,Lakeridge Health Base Hospital,115 Simcoe St S,Oshawa,Oshawa,L1G 4W4,905-433-4350 x4370, ,,,,,,{7473E7A6-6300-49AA-92C5-AEE0A70DE698},POINT (-78.86177257733613 43.8946691174676),-78.86177257733613,43.8946691174676
11,669,5,Port Perry Imaging,462 Paxton St,Port Perry,Scugog,L9L 1L9,905-985-9727, ,,,,,,{D1BFAE54-6642-4D9F-8CAB-DF778B75DC3E},POINT (-78.95389107315313 44.10413756972536),-78.95389107315313,44.10413756972536
12,670,5,Bowmanville Urgent Care Clinic (After Hours Clinic),222 King St E,Bowmanville,Clarington,L1C 1P6,905-623-6458, ,,,,,,{54DFD37D-D647-4212-BE7E-91775E9C3403},POINT (-78.6769769336872 43.91160870550831),-78.6769769336872,43.91160870550831
13,672,5,The Airport Dental Centre,1290 Keith Ross Ct,Oshawa,Oshawa,L1H 7K4,905-434-5486, ,,,,,,{CBD38729-E640-4D2A-AB3E-2284211606C2},POINT (-78.9021923339342 43.92719528638852),-78.9021923339342,43.92719528638852
14,673,5,Lakeridge Health Outpatient Services,58 Rossland Rd W,Oshawa,Oshawa,L1G 2V5,905-576-8711 x4355,Rehabilitation,,,,,,{169D6783-777A-4761-986F-22CA8EF1A934},POINT (-78.87382494390376 43.91487002961964),-78.87382494390376,43.91487002961964
15,674,5,Lakeridge Health Oshawa Mental Health Outpatient Services,850 King St W,Oshawa,Oshawa,L1G 4W4,905-576-8711 x4144, ,,,,,,{B1744143-91E1-4112-AEC2-9F7C7BFBB6E0},POINT (-78.8949431919366 43.89116314147839),-78.8949431919366,43.89116314147839
16,675,5,North Oshawa Medical Centre,1400 Ritson Rd N,Oshawa,Oshawa,L1G 7W4,905-433-5026, ,,,,,,{B8C28B58-6193-4281-92E9-8DF28C2FD6BB},POINT (-78.87031125443448 43.93720619220697),-78.87031125443448,43.93720619220697
