ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"11042280","Centre Le Cardinal inc.","Centre Le Cardinal inc.","06","Montréal","12900, rue Notre-Dame Est"," ","H1A1R9","66023","Montréal","06523","Pointe-aux-Trembles","660","Montréal","0652","RLS de Rivière-des-Prairies - Anjou - Montréal-Est","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.4883346558,45.6524505615,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11042603","Groupe Roy santé Inc.","Groupe Roy santé Inc.","06","Montréal","3550, rue Saint-Urbain"," ","H2X4C5","66023","Montréal","06225","Métro","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","2","1","2"," ","N","2010-02-24",-73.5729370117,45.5122146606,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11042686","Centre régional de santé et de services sociaux de la Baie-James","CRSSS de la Baie-James","10","Nord-du-Québec","312, 3e Rue"," ","G8P1N5","99025","Chibougamau","10014","Chibougamau-Chapais","991","Jamésie"," "," ","1","RUISSS Université Laval","1","2","1"," ","N","2007-04-02",-74.3570785522,49.913394928,"Non","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","2021-12-03"
"11042918","Centre hospitalier de l'Université de Montréal","CHUM","06","Montréal","850, rue Saint-Denis"," ","H2X0A9","66023","Montréal","06324","Montréal - Centre-Ville","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","2","1","1","N","",-73.5559463501,45.5108375549,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11043163","CHSLD Résidence Bourg-Joli Inc.","CHSLD Résidence Bourg-Joli Inc.","16","Montérégie","2915, boulevard Laframboise"," ","J2S4Z3","54048","Saint-Hyacinthe","16222","Les Maskoutains","540","Les Maskoutains","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","2","1","4"," ","N","2010-02-24",-72.964225769,45.6335144043,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11043437","Conseil de la nation atikamekw","Conseil de la nation atikamekw","04","Mauricie et Centre-du-Québec","wemotaci"," ","G0X3R0","90802","Wemotaci"," "," ","900","La Tuque"," "," "," "," ","2","0","4"," ","N","2010-02-23",-73.7873306274,47.9025650024,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2021-12-03"
"11043536","Le CHSLD des Premières Nations du Timiskaming","Le CHSLD des Premières Nations du Timiskaming","08","Abitibi-Témiscamingue","20, avenue Algonquin"," ","J0Z3B0","85090","Notre-Dame-du-Nord"," "," ","850","Témiscamingue"," "," "," "," ","2","4","4"," ","N","2010-02-24",-79.4703979492,47.6070137024,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11043791","CHSLD de la Côte Boisée Inc.","CHSLD de la Côte Boisée Inc.","14","Lanaudière","4300, rue d'Angora"," ","J6X4P1","64008","Terrebonne","14121","Les Moulins","640","Les Moulins","1412","RLS de Lanaudière-Sud","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.6615905762,45.7127571106,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11043866","CLSC Naskapi","CLSC Naskapi","09","Côte-Nord","Case postale 5154"," ","G0G2Z0","97806","Kawawachikamach","09171","Territoire Naskapi","972","Caniapiscau","0917","RLS de Kawawachikamach","1","RUISSS Université Laval","1","2","1"," ","O","2002-10-15",-66.764251709,54.8612480164,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11043890","Centre d'hébergement de la Marée Inc.","Centre d'hébergement de la Marée Inc.","06","Montréal","7015, boulevard Gouin Est"," ","H1E5N2","66023","Montréal","06521","Rivière-des-Prairies","660","Montréal","0652","RLS de Rivière-des-Prairies - Anjou - Montréal-Est","2","RUISSS Université de Montréal","2","1","4"," ","N","2010-02-24",-73.6190414429,45.6300621033,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
