Facility Name,Address,Town,Postal Code,Facility Type,Nursing Homes (NH) No. of Beds,Nursing Homes (NH) No. of Respite Beds,Residential Care Facilities (RCF) No.of Beds,RCF Respite Beds,Single Entry Access (SEA) Participating,X Coordinate,Y  Coordinate,Location
Glen Haven Manor,739 EAST RIVER RD,NEW GLASGOW,B2H 5E9,Nursing Home,0,0,201,1,Y,-62.6439357043,45.5749352459,"(45.574935, -62.643936)"
Oakwood Terrace,10 MOUNT HOPE AVENUE,DARTMOUTH,B2Y 4K1,Nursing Home,0,0,111,0,Y,-63.5445184349,44.6535297057,"(44.65353, -63.544518)"
Musquodoboit Valley Home for Special Care Association,126 HIGGINSVILLE ROAD,MIDDLE MUSQUODOBOIT,B0N 1X0,Nursing Home,0,0,29,0,Y,-63.1399624674,45.0399737291,"(45.039974, -63.139962)"
Sisters of St. Martha,45 BAY STREET,ANTGONISH,B2G 2G6,Nursing Home,0,0,25,0,N,-61.980854876,45.6311404784,"(45.63114, -61.980855)"
Ivey's Terrace Nursing Home,11 CENTENNIAL DRIVE,TRENTON,B0K 1X0,Nursing Home,0,0,36,0,Y,-62.6314135971,45.6231158834,"(45.623116, -62.631414)"
Ivy Meadows Continuing Care Centre,125 KNOWLES CRESCENT,BEAVERBANK,B4G 1E7,Nursing Home,0,0,51,0,Y,-63.7109149281,44.9023290404,"(44.902329, -63.710915)"
Ryan Hall,313 HOLLINGSWORTH DRIVE,BRIDGEWATER,B4V 0A3,Nursing Home and Residential Care Facility,15,0,50,0,Y,-64.5055060942,44.3834574419,"(44.383457, -64.505506)"
Bissett Court,74 CHAMEAU CRESCENT,COLE HARBOUR,B2W 0H5,Nursing Home,0,0,50,0,Y,-63.4903147595,44.677899124,"(44.677899, -63.490315)"
South Cumberland Community Care Centre,50 JENKS AVENUE,PARRSBORO,B0M 1S0,Nursing Home,0,0,14,0,Y,-64.325939162,45.4090871712,"(45.409087, -64.325939)"
Mountain Lea Lodge,170 CHURCH STREET,BRIDGETOWN NORTH,B0S 1C0,Nursing Home,0,0,107,0,Y,-65.2926080152,44.8488867357,"(44.848887, -65.292608)"
Grand View Manor,110 COMMERCIAL STREET,BERWICK,B0P 1E0,Nursing Home,0,0,142,0,Y,-64.7285963928,45.0353852167,"(45.035385, -64.728596)"
Victoria Park Guest Home,350 KING STREET,WINDSOR,B0N 2T0,Residential Care Facility,12,0,0,0,Y,-64.1332130528,44.9927712815,"(44.992771, -64.133213)"
Glasgow Hall - Parklands at the Lakes Limited,76 BAKER DR,DARTMOUTH,B2W 0C7,Nursing Home,0,0,72,0,Y,-63.5306328321,44.6657162615,"(44.665716, -63.530633)"
Saunders Rest Home,9 FREEMAN STREET,BRIDGETOWN,B0S 1C0,Residential Care Facility,8,0,0,0,Y,-65.2888528519,44.840857092,"(44.840857, -65.288853)"
Precision Health - 16 Rannoch Road,16 RANNOCH ROAD,DARTMOUTH,B2X IJ6,Residential Care Facility,3,0,0,0,Y,-63.5356331395,44.6906636112,"(44.690664, -63.535633)"
Alderwood,89 ALDEREWOOD LANE,BADDECK,B0E 1B0,Nursing Home and Residential Care Facility,11,0,59,0,Y,-60.7655569049,46.0956038205,"(46.095604, -60.765557)"
Mary's Abide-A-While Home Ltd,188 WATER,SHELBURNE,B0T 1W0,Residential Care Facility,14,0,0,0,Y,-65.3247064627,43.7656877572,"(43.765688, -65.324706)"
Debert Court,16 DAKOTA ROAD,DEBERT,B0N 1C0,Nursing Home,0,0,36,0,Y,-63.4536777557,45.4352400429,"(45.43524, -63.453678)"
Victoria Manor,14 VICTORIA ST W,AMHERST,B4H 1B8,Residential Care Facility,40,0,0,0,Y,-64.2146334839,45.8297291732,"(45.829729, -64.214633)"
