leave_blank,Province,filename,source_url,provider,lisence_url,region_type,facility_name,facility_type,health_authority,alternative_name,number_beds,active,longitude,latitude,address_str,street_no,street_name,street_addr,city,postal_code,province,phone,email,website,fax
,BC,BC_urgent_care,https://catalogue.data.gov.bc.ca/dataset/urgent-and-primary-care-centres,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,OPERATOR_NAME,TYPE,HEALTH_AUTHORITY,BUSINESS_NAME,LONG_TERM_CARE_MAX_CAP,,LONGITUDE,LATITUDE,,,,STREET_ADDRESS,CITY,POSTAL_CODE,BC,BUSINESS_PHONE,,,
,BC,BC_residential_care_,https://catalogue.data.gov.bc.ca/dataset/residential-care-facilities,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,,,,,,,,,,,,,,,,,,,
,BC,BC_assisted_living_residences_,https://catalogue.data.gov.bc.ca/dataset/assisted-living-residences,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,,,,,,,,,,,,,,,,,,,
,BC,BC_pharmacies,https://catalogue.data.gov.bc.ca/dataset/after-hours-pharmacies-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,,,,,,,,,,,,,,,,,,,
,BC,BC_emergency_rooms,https://catalogue.data.gov.bc.ca/dataset/emergency-rooms-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,,,,,,,,,,,,,,,,,,,
,BC,BC_hospital,https://catalogue.data.gov.bc.ca/dataset/hospitals-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,,,,,,,,,,,,,,,,,,,
,BC,BC_walk-in_clinics,https://catalogue.data.gov.bc.ca/dataset/walk-in-clinics-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,,,,,,,,,,,,,,,,,,,
,MB,MB_personal_care_homes,https://geoportal.gov.mb.ca/datasets/manitoba-licensed-personal-care-homes/explore,Province of Manitoba,https://manitoba.ca/legal/copyright.html,Provincial,,,,,,,,,,,,,,,,,,,
,MB,MB_covid-19_and_flu_vaccine_sites,https://geoportal.gov.mb.ca/datasets/manitoba-covid-19-and-flu-vaccination-sites-1/explore?location=50.975321%2C-96.701879%2C6.36,Province of Manitoba,https://manitoba.ca/legal/copyright.html,Provincial,,,,,,,,,,,,,,,,,,,
,NB,NB_hospital_horizon,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Horizon-Hea/9bqr-479n,Province of New Brunswick,,Provincial,,,,,,,,,,,,,,,,,,,
,NB,NB_hospital_vitalite,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Vitalit-Hea/vc6s-v9py,Province of New Brunswick,,Provincial,,,,,,,,,,,,,,,,,,,
,NB,NB_nursing_homes,https://gnb.socrata.com/Health-and-Wellness/Licensed-Nursing-Homes-Foyers-de-soins-agr-es/efvh-czff,Province of New Brunswick,http://www.snb.ca/e/2000/data-E.html,Provincial,,,,,,,,,,,,,,,,,,,
