Provider,Province,Webpage,Name,Data,Data Format,License,License Attribution,Supplemental Files,Open,Notes
Province of British Columbia,BC,https://catalogue.data.gov.bc.ca/dataset/child-care-map-data,,https://catalogue.data.gov.bc.ca/dataset/4cc207cc-ff03-44f8-8c5f-415af5224646/resource/9a9f14e1-03ea-4a11-936a-6e77b15eeb39/download/childcare_locations.csv,.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia.,,Y,
Province of British Columbia,BC,https://catalogue.data.gov.bc.ca/dataset/strongstart-bc-centre-locations,StrongStart BC Centre Locations,https://catalogue.data.gov.bc.ca/dataset/817daa97-25d5-4457-ba0e-9b654492a86d/resource/4d9c807c-be25-4b60-9805-a50ef08c74c1/download/strongstarts20200828.csv,.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia.,,Y,StrongStart in BC are province run pre schools
Province of Ontario,ON,https://data.ontario.ca/dataset/licensed-child-care-facilities-in-ontario,,https://data.ontario.ca/dataset/7efd8b4b-cc63-4337-a551-c940a346605b/resource/d2144297-fc60-4472-b954-e577d1f1a3fb/download/child_care_facilities_open_data_feb2020.xlsx,.xlsx,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence – Ontario.,https://files.ontario.ca/lccf_-_data_dictionary_en_fr.xlsx,Y,Data dictionary in supplemental file
Province of Alberta,AB,https://open.alberta.ca/opendata/childcareinformation,,https://open.alberta.ca/dataset/e4ecb4fa-28b5-4abb-8c32-b2a76d2a6ee0/resource/e89a46f3-e4ec-41a3-8086-026a2c14e24c/download/open-data-portal-202003.csv,.csv,https://open.alberta.ca/licence,Contains information licensed under the Open Government Licence – Alberta.,https://open.alberta.ca/dataset/e4ecb4fa-28b5-4abb-8c32-b2a76d2a6ee0/resource/9c7e79e1-44b1-4f8d-97eb-e906f3165480/download/child-care-information-usage-consideration.docx,Y,
Province of Newfoundland and Labrador,NL,https://www.childcare.gov.nl.ca/public/ccr/childcare?apply_table_filters=1&keyword=,,,.csv,N/A,,,Public,
Province of Nova Scotia,NS,https://data.novascotia.ca/Education-Early-Childhood/Child-Care-Directory/6z87-7r7g,Child Care Directory,https://data.novascotia.ca/api/views/6z87-7r7g/rows.csv?accessType=DOWNLOAD,.csv,https://novascotia.ca/opendata/licence.asp,Contains information licensed under the Open Government Licence – Nova Scotia,,Y,
Province of QC,QC,https://www.mfa.gouv.qc.ca/fr/services-de-garde/parents/localisateur/Pages/liste.aspx,Répertoires des services de garde par région administrative,,.xlsx,,,,Public,Webpage contains links for different administrative regions
Province of MB,MB,"https://direct3.gov.mb.ca/86256AF2006B7D4F/Welcome?OpenForm&AGE=Infant,PreSchool,Nursery,SchoolAge&FAC=Group,Center,Nursery&VAC=No&MAP=Manitoba&LANG=1&ERROR=3",Licensed child care search,,,,,,Public,
Province of SK,SK,https://www.saskatchewan.ca/residents/family-and-social-support/child-care/find-a-child-care-provider-in-my-community,Licensed Child Care Facilities in Your Community,,,,,,Public,map based search
Province of NB,NB,https://www.nbed.nb.ca/parentportal/en/search/elc/,,,,,,,Public,interactive table
Province of Prince Edward Island,PE,https://peichildcareregistry.com/search.php,PEI Childcare Registry,,,,,,Public,interactive table
Northwest Territories,NT,https://www.ece.gov.nt.ca/en/childcare,Child Care Inspections,,,,,,Public,"interactive table, no addresses"
Yukon Territories,YT,https://yukon.ca/en/child-care-information-yukoners,Find child care for Yukoners,,,,,,Public,plain text
Nunavut,NU,https://www.gov.nu.ca/education/information/contacts-0,Licensed Childcare Facilities in Nunavut,https://gov.nu.ca/sites/default/files/licensed_childcare_facilities_-_en_-_2020-09-01.pdf,.pdf,,,,Public,pdf table
