Province,City or Region,Type,MainLink,SourceLink,Direct CSV Link,Direct KML Link,Open,Special Note,Provider,License or Terms of Use,Attribution Statement,,,,,
AB,Calgary,Many,https://data.calgary.ca/Business-and-Economic-Activity/Calgary-Business-Licences/vdjc-pybd,,https://data.calgary.ca/api/views/vdjc-pybd/rows.csv?accessType=DOWNLOAD,https://data.calgary.ca/api/views/vdjc-pybd/rows.kml?accessType=DOWNLOAD,,,Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary,,,,,
AB,Calgary,Many,https://data.calgary.ca/Recreation-and-Culture/Recreation-Facilities/ssrd-qps9,,https://data.calgary.ca/api/views/hxfu-6d96/rows.csv?accessType=DOWNLOAD,https://data.calgary.ca/api/views/hxfu-6d96/rows.kml?accessType=DOWNLOAD,,,Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary,,,,,
AB,Cochrane,POI,https://data-cochranegis.opendata.arcgis.com/datasets/cochrane-points-of-interest/data,,https://opendata.arcgis.com/datasets/5064dd6f71724f53a1f27c3ba98067c8_0.csv,https://opendata.arcgis.com/datasets/5064dd6f71724f53a1f27c3ba98067c8_0.kml,,,Cochrane,https://www.cochrane.ca/947/Open-Data-Licence,Contains information licensed under the Open Data Licence – Town of Cochrane.,,,,,
AB,Edmonton,POI,https://data.edmonton.ca/Transit/ETS-Bus-Stops-by-Landmarks-Map-View-/id8i-xwha,,https://data.edmonton.ca/api/views/id8i-xwha/rows.csv?accessType=DOWNLOAD,https://data.edmonton.ca/api/views/id8i-xwha/rows.kml?accessType=DOWNLOAD,,,Edmonton,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains information made available from the City of Edmonton under an open data license.,,,,,
AB,Edmonton,Many,https://data.edmonton.ca/Facilities-and-Structures/Attractions/7yt8-7467/data,,https://data.edmonton.ca/api/views/7yt8-7467/rows.csv?accessType=DOWNLOAD,https://data.edmonton.ca/api/views/7yt8-7467/rows.kml?accessType=DOWNLOAD,,,Edmonton,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains information made available from the City of Edmonton under an open data license.,,,,,
AB,Lethbridge,POI,http://opendata.lethbridge.ca/datasets/881517dd7b4d443fadb9d9202775b139_0/data?page=2,,https://opendata.arcgis.com/datasets/881517dd7b4d443fadb9d9202775b139_0.csv,https://opendata.arcgis.com/datasets/881517dd7b4d443fadb9d9202775b139_0.kml,,,Lethbridge,https://www.lethbridge.ca/Pages/OpenDataLicense.aspx,Contains information made available from the City of Lethbridge under an open data license.,,,,,
AB,Grand Prairie,Arts,https://data.cityofgp.com/Map-Data/Arts-Locations/7263-6zfx,,https://data.cityofgp.com/api/views/w88h-wicn/rows.csv?accessType=DOWNLOAD,https://data.cityofgp.com/api/views/w88h-wicn/rows.kml?accessType=DOWNLOAD,,,Grand Prairie,http://www.cityofgp.com/index.aspx?page=2332,Contains information licensed under the Open Data License – City of Grande Prairie.,,,,,
AB,Grand Prairie,POI,https://data.cityofgp.com/Map-Data/Points-of-Interest/imrh-2fbx,,https://data.cityofgp.com/api/views/riq6-98nq/rows.csv?accessType=DOWNLOAD,https://data.cityofgp.com/api/views/riq6-98nq/rows.kml?accessType=DOWNLOAD,,,Grand Prairie,http://www.cityofgp.com/index.aspx?page=2332,Contains information licensed under the Open Data License – City of Grande Prairie.,,,,,
AB,Red Deer,POI,https://data.reddeer.ca/pointsofinterest,https://data.reddeer.ca/datasets/pointsofinterest/download/shapefile,,,,,Red Deer,http://data.reddeer.ca/About,Contains information made available from the City of Red Deer under an open data license.,,,,,
AB,Strathcona County,Many,https://data.strathcona.ca/Housing-Buildings/County-Owned-Buildings/nksb-43gy/data,,https://data.strathcona.ca/api/views/nksb-43gy/rows.csv?accessType=DOWNLOAD,https://data.strathcona.ca/api/views/nksb-43gy/rows.kml?accessType=DOWNLOAD,,,Strathcona County,https://data.strathcona.ca/stories/s/bxnd-tfzb,Contains information licensed under the Open Government Licence – Strathcona County,,,,,
