Source_Name,Province,Webpage,Name,Data,Data Format,License,License Attribution,Supplemental Files,Open,Notes,Last Update,Extract Date
Province of Alberta,AB,https://open.alberta.ca/opendata/alberta-education-schools-and-authorities#summary,Alberta Education Schools and Authorities,https://education.alberta.ca/media/1626669/authority_and_school.xlsx,.xlsx,http://open.alberta.ca/licence,Contains information licensed under the Open Government Licence – Alberta.,,Y,"not sure how recent, last update is 2015 but frequency is apparently monthly",15-05-2015,19-10-2020
Province of British Columbbia,BC,https://catalogue.data.gov.bc.ca/dataset/school-enrollment#edc-pow,,,,,,,N,"Need to fill form, no direct link - also contains geographic coordinates and school names and past enrollment",30-09-2020,19-10-2020
Province of British Columbbia,BC,http://www.bced.gov.bc.ca/apps/imcl/imclWeb/Home.do,BC K-12 School and District Contact Information,http://www.bced.gov.bc.ca/apps/imcl/imclWeb/excelSchoolContact,.xlsx,,,,N,,,19-10-2020
Province of Manitoba,MB,https://www.edu.gov.mb.ca/k12/schools/index.html,Manitoba Directory of Public Schools,Provided by MB for ODEF v1,,,,,N,,,
Province of New Brunswick,NB,https://www.nbed.nb.ca/schooldirectory/SchoolResults.aspx?strLang=E&strLang=E,New Brunswick School Listings,,,,,,N,,,19-10-2020
Province of New Brunswick,NB,http://www.snb.ca/geonb1/e/DC/NBPS.asp,New Brunswick Public Schools - GeoNB,,,http://www.snb.ca/e/2000/data-E.html,Contains information licensed under the Open Government Licence – New Brunswick.,,Y,,11-12-2019,19-10-2020
Province of Newfoundland and Labrador,NL,https://www.gov.nl.ca/education/faq/schooldatabase/,Download a Database of K-12 Schools,https://www.gov.nl.ca/education/files/allschools1920.xlsx,.xlsx,,,,N,"""The enrolment data for 2019-2020 was collected in the fall of 2019.""",Fall 2019,19-10-2020
Province of Nova Scotia,NS,http://ns-schools.ednet.ns.ca/index.shtml,Nova Scotia Directory of Public Schools,https://www.ednet.ns.ca/docs/directoryofpublicschools2019-2020.xlsx,.xlsx,,,,N,,28-11-2019,19-10-2020
Province of Nova Scotia,NS,https://data.novascotia.ca/Education-Primary-to-Grade-12/Nova-Scotia-Map-Directory-of-Public-Schools/hcdu-5rtg,Nova Scotia Map & Directory of Public Schools,,,http://novascotia.ca/opendata/licence.asp,Contains information licensed under the Open Government Licence – Nova Scotia,,Y,,,19-10-2020
Province of Ontario,ON,https://data.ontario.ca/dataset/school-information-and-student-demographics,School Information and Student Demographics,https://data.ontario.ca/dataset/d85f68c5-fcb0-4b4d-aec5-3047db47dcd5/resource/602a5186-67f5-4faf-94f3-7c61ffc4719a/download/new_sif_data_table_2018_2019prelim_en_september.xlsx,.xlsx,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence – Ontario.,,Y,,28-09-2020,19-10-2020
Province of Ontario,ON,https://data.ontario.ca/dataset/private-school-contact-information,Private school contact information,https://data.ontario.ca/dataset/7a049187-cf29-4ffe-9028-235b95c61fa3/resource/6545c5ec-a5ce-411c-8ad5-d66363da8891/download/private_schools_contact_information_october_2020_en.xlsx,.xlsx,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence – Ontario.,,Y,,07-10-2020,19-10-2020
Province of Prince Edward Island,PE,https://data.princeedwardisland.ca/Education-and-Community/OD0055-Public-School-Locations/aivx-75if,OD0055 Public School Locations,https://data.princeedwardisland.ca/api/views/aivx-75if/rows.csv?accessType=DOWNLOAD,.csv,,,,Y,,,21-10-2020
Province of Quebec,QC,https://www.donneesquebec.ca/recherche/fr/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec#avertissementTelechargement_d4196fa6_6e74_4d02_9180_a671d22ec703,LOCALISATION DES ÉTABLISSEMENTS D'ENSEIGNEMENT DU RÉSEAU SCOLAIRE AU QUÉBEC,https://infogeo.education.gouv.qc.ca/download//Donnees_Ouvertes/CSV/etablissements-mees-csv.zip,.csv.zip,https://www.donneesquebec.ca/fr/licence/#cc-by,,,Y,,13-10-2020,19-10-2020
Province of Saskatchewan,SK,https://publications.saskatchewan.ca/#/products/103514,2019-20 Active List of School Division Schools,https://publications.saskatchewan.ca/api/v1/products/103514/formats/114826/download,.xlsx,,,,N,,,20-10-2020
Yukon Territories,YT,https://yukon.ca/en/education-and-schools/kindergarten-grade-12/find-school,Find a School,,,,,,N,Need to webscrape,,
Northwest Territories,NT,https://www.ece.gov.nt.ca/en/services/curriculum-and-school-list/directory-nwt-schools,Directory of NWT Schools,https://www.ece.gov.nt.ca/sites/ece/files/resources/northwest_territories_directory_of_schools_2020-2021.pdf,.pdf,,,,N,Need to parse from pdf,,20-10-2020
Nunavut ,NU,https://www.gov.nu.ca/school-information,School Calendars 2020-2021,https://gov.nu.ca/sites/default/files/2020-2021_nunavut_school_calendar_english_0.pdf,.pdf,,,,N,Need to parse from pdf,,20-10-2020
ESDC,,,,,,,,,,,,
