Province,City or Region,Short description,Source,Open,Date Collected,Date Updated
QC,All,Health facilities in Quebec,http://sante.gouv.qc.ca/en/repertoire-ressources/recherche/,No,Mar-20,Unknown
BC,All,Emergency rooms in British Columbia,https://catalogue.data.gov.bc.ca/dataset/emergency-rooms-in-bc,Open,Mar-20,
BC,All,Hospitals in British Columbia,https://catalogue.data.gov.bc.ca/dataset/hospitals-in-bc,Yes,Mar-20,
BC,All,Residential Facilities,https://catalogue.data.gov.bc.ca/dataset/residential-care-facilities,Open,Mar-20,
BC,All,Walk-in clinics in British Columbia,https://catalogue.data.gov.bc.ca/dataset/walk-in-clinic-in-bc,Open,Mar-20,
NS,All,Hospitals in Nova Scotia,https://data.novascotia.ca/Health-and-Wellness/Hospitals/2kxr-ajui,Yes,Mar-20,
NS,All,Residential Facilities,https://data.novascotia.ca/Health-and-Wellness/Long-Term-Care-and-Residential-Care-Facilities/x76a-axw2,,Apr-20,
ON,All,Health facilities in Ontario,https://data.ontario.ca/dataset/hospital-locations which links https://geohub.lio.gov.on.ca/datasets/ministry-of-health-service-provider-locations,Yes,Mar-20,
PE,All,Health facilities in Prince Edward Island,https://data.princeedwardisland.ca/Health-and-Home/OD0050-Health-PEI-Facility-Locations/dfge-zd27,Yes,Mar-20,
NB,Horizon HA,Hospitals administered by Horizon Health network,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Horizon-Hea/9bqr-479n,Open,Mar-20,18-Mar-20
NB,Vitalite HA,Hospitals administered by Vitalite Health network,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Vitalit-Hea/vc6s-v9py,Open,Mar-20,18-Mar-20
AB,All,Hospital services in Alberta,https://open.alberta.ca/publications/hospital-services-in-alberta,Open,,
MB,All,Rural Health Care Facilities in Manitoba,https://services.arcgis.com/mMUesHYPkXjaFGfS/ArcGIS/rest/services/Rural_Health_Care_Facilities_in_Manitoba/FeatureServer/0,No,Mar-20,Unknown
QC,Quebec City,Hospitals in Quebec City,https://www.donneesquebec.ca/recherche/fr/dataset/daa10606-5fdd-4c9b-b5ef-235081690b6e,Yes,Mar-20,
QC,Gatineau,Hospitals in Gatineau,https://www.donneesquebec.ca/recherche/fr/dataset/vgat_1267315911,Yes,Mar-20,
MB,All,Hospitals in Manitoba,https://www.gov.mb.ca/health/waittime/map.html,Waived,,Unknown
NU,All,Single hospital in Nunavut,https://www.gov.nu.ca/health/information/qikiqtani-general-hospital,No,,Unknown
NL,All,Health services in Newfoundland/Labrador,https://www.health.gov.nl.ca/health/findhealthservices/in_your_community.html,No,,
NT,All,Hospitals in Northwest territories,https://www.hss.gov.nt.ca/en/hospitals-and-health-centres,Waived,,Unknown
MB,Interlake-Eastern HA,Manitoba health authority,https://www.ierha.ca/,Waived,,Unknown
SK,All,Health Facilities in Saskatchewan,https://www.saskhealthauthority.ca/Services-Locations/Pages/Home.aspx,No,Mar-20,
CIHI,All,Canadian Health Facilities,Provided by CIHI,Waived,Mar-20,Unknown
PHAC,All,Canadian Hospitals,Provided by PHAC,Waived,Mar-20,Unknown
YT,All,Yukon Health Facilities,Provided in Email,Waived,Mar-20,Unknown
