Name,Provider,Coverage,URL,Open,Description,Lab,StandardFileFormat,Notes
Beds Staffed and In Operation,CIHI,CA,https://www.cihi.ca/sites/default/files/document/beds-staffed-and-in-operation-2017-2018-en-web-revmay3.xlsx,No,"Hospitals with Bed Counts and Types, no addresses",No,Yes,
Laboratory Services in BC,Ministry of Health -Health Link BC,BC,https://catalogue.data.gov.bc.ca/dataset/laboratory-services-in-bc  ,Yes,Programs that perform a laboratory analysis of body fluids and tissue to determine the presence of irregularities or to identify unknown substances submitted for analysis,Yes,Yes,
Dynacare Laboratories,Dynacare,"MB, ON, QC",https://www.dynacare.ca/find-a-location.aspx,No,Search for lab locations by city,Yes,No,
Stanton Laboratory,Northwest Territories Health and Social Services Authority,NT,https://www.nthssa.ca/en/contact-information/stanton-laboratory,No,Full address of Stanton Lab,Yes,No,
Laboratory Services in NT,Northwest Territories Health and Social Services Authority,NT,https://www.nthssa.ca/en/services/laboratory-services,No,List of 4 labs at the bottom of the page,Yes,No,
LifeLabs,LifeLabs,"BC, SK, ON",https://locations.lifelabs.com/locationfinder,No,Search for lab locations by city,Yes,No,
Lower Mainland Laboratories,Lower Mainland Labs,"BC ""Lower Mainland""",http://lmlabs.phsa.ca/find-a-lab,No,Lower Mainland Laboratories is a service of the Provincial Health Services Authority (PHSA). They provide public laboratory services throughout BC’s Lower Mainland,Yes,No,
Accredited Facilities,IQMH,"BC, ON, NB, NS, NL",https://iqmh.org/Services/Centre-For-Accreditation/Accredited-Facilities,No,Accredited facilities to ISO 15189,Yes,No,
Find Healthcare,Alberta Health Services,AB,https://www.albertahealthservices.ca/findhealth/search.aspx?type=facility#icon_banner,No,Search for Hospital or Facility,Yes,No,Search by city only
CALA Directory of Laboratories,CALA,CA,http://www.caladirectory.ca/welcome.php,No,,Yes,No,
Roy Romanow Provincial Laboratory,SK Health Authority,SK,https://www.saskhealthauthority.ca/Services-Locations/RRPL/Pages/Contact-Us.aspx,No,Adress info for single the Roy Romanow Provincial Lab,Yes,No,Single lab
Diagnostic Services > Locations,Shared Health Manitoba,MB,https://sharedhealthmb.ca/services/diagnostic/locations/,No,Locations of Diagnostic Services,Yes,No,
EORLA Member Hospitals and Sites,Eastern Ontario Regional Laboratory Association,Eastern ON,https://www.eorla.ca/member-hospitals-and-sites/,No,Hospitals with EORLA associated Labs,No,No,
