Province,City or Region,Type,Open data portal link,Data page link,Open,Direct Link (new),Direct Link,Special Notes,License or Terms of Use,Attribution Statement,Date last updated,Type,,Previous,,,,
QC,Gatineau,Municipal,https://www.gatineau.ca/portail/default.aspx?p=publications_cartes_statistiques_donnees_ouvertes/donnees_ouvertes/jeux_donnees&ref=pastilles,https://www.gatineau.ca/portail/default.aspx?p=publications_cartes_statistiques_donnees_ouvertes/donnees_ouvertes/jeux_donnees/details&id=1267315911,Yes,https://www.gatineau.ca/upload/donneesouvertes/LIEU_PUBLIC.csv,Yes,List of public spaces including hospitals,https://www.gatineau.ca/donneesouvertes/licence_en.aspx,Licensed from the City of Gatineau under a Creative Commons CC-BY license.,06-Nov-21,Public places including hospitals,,Yes,,,,
QC,Quebec City,Municipal,https://www.donneesquebec.ca,https://www.donneesquebec.ca/recherche/dataset/vque_14,Yes,https://www.donneesquebec.ca/recherche/dataset/daa10606-5fdd-4c9b-b5ef-235081690b6e/resource/06faa019-50f1-4741-94a7-adb8729d24b9/download/vdq-lieupublic.csv,Yes,List of public spaces including hospitals,https://www.donneesquebec.ca/fr/licence/#cc-by,Licensed from Quebec City under a Creative Commons CC-BY license.,2021-11-12,Public places including hospitals,,Yes,,,,
ON,All,Provincial,https://data.ontario.ca/,https://data.ontario.ca/en/dataset/hospital-locations,Yes,https://opendata.arcgis.com/api/v3/datasets/d67220ebba164afa9cf38c0f525f2c0a_0/downloads/data?format=csv&spatialRefId=4326,No,,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence � Ontario. 5.�,2020-04-05,Hospitals,,Yes,,,,
NS,All,Provincial,,https://data.novascotia.ca/Health-and-Wellness/Hospitals/2kxr-ajui,Yes,https://data.novascotia.ca/resource/tmfr-3h8a.csv,No,,https://novascotia.ca/opendata/licence.asp,Contains information licensed under the Open Government Licence � Nova Scotia,09-Sep-21,,,Yes,,,,
NS,All,,,https://data.novascotia.ca/Health-and-Wellness/Long-Term-Care-and-Residential-Care-Facilities/x76a-axw2,Yes,https://data.novascotia.ca/resource/x76a-axw2.csv,No,,http://novascotia.ca/opendata/licence.asp,Contains information licensed under the Open Government Licence � Nova Scotia,15-Feb-19,,,Yes,,,,
BC,All,,,https://catalogue.data.gov.bc.ca/dataset/residential-care-facilities,Yes,https://catalogue.data.gov.bc.ca/dataset/f4d45e1d-1fb3-4a5b-ae12-7e6afe89e645/resource/75b329ef-1f29-4c03-a35b-03b3666dee1d/download/gsr_residential_care.csv,No,,https://www2.gov.bc.ca/gov/content?id=A519A56BC2BF44E4A008B33FCF527F61,Contains information licensed under the Open Government Licence � British Columbia.,2019-08-12,,,Yes,,,,
BC,All,,,https://catalogue.data.gov.bc.ca/dataset/hospitals-in-bc,Yes,https://catalogue.data.gov.bc.ca/dataset/383eaf98-afd7-436a-9556-67ecf14f64a7/resource/5ff82cf4-0448-4063-804a-7321f0f2b4c6/download/hlbc_hospitals.csv,No,,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-license-bc,Contains information licensed under the Open Government Licence � British Columbia.,2021-10-28,,,Yes,,,,
BC,All,,,https://catalogue.data.gov.bc.ca/dataset/walk-in-clinics-in-bc,Yes,https://catalogue.data.gov.bc.ca/dataset/5e2707c3-0aa4-4d2d-aedc-4dd0914b686a/resource/3ca6b086-c92b-4654-ae82-ff5723d00611/download/hlbc_walkinclinics.csv,No,,https://www2.gov.bc.ca/gov/content?id=A519A56BC2BF44E4A008B33FCF527F61,Contains information licensed under the Open Government Licence � British Columbia.,,,,Yes,,,,
BC,All,,,https://catalogue.data.gov.bc.ca/dataset/emergency-rooms-in-bc,Yes,https://catalogue.data.gov.bc.ca/dataset/88e982b2-0799-4e17-b000-9961ea05b0f0/resource/4b834874-089f-4512-b001-8534e597a1b6/download/hlbc_emergencyrooms.csv,No,,https://www2.gov.bc.ca/gov/content?id=A519A56BC2BF44E4A008B33FCF527F61,Contains information licensed under the Open Government Licence � British Columbia.,,,,Yes,,,,
YT,All,,,https://yukonhospitals.ca/,No,,No,Local database completed,No Open License,,,,,Yes,,,,
