BRIDGE_NO,BRIDGE_NAME,LOCATION,LENGTH_BRIDGE,WIDTH_CLEAR,WIDTH_OUT_TO_OUT,POSTED_CLEARANCE,POSTED_LOAD,IN_SERVICE_DATE,multipolygon
382.124,,Blackfoot Tr/Glenmore Tr SE,60.97000122,33.09999847,38.79000092,5.0 M,,1969/07/01,"MULTIPOLYGON (((-114.052314222185 50.99439702622, -114.051700149011 50.994420264938, -114.052008908739 50.993914886081, -114.052622963924 50.993883033505, -114.052318767445 50.994394152839, -114.052314222185 50.99439702622)))"
383.304,,SB Macleod Tr Ramp/Fish Creek,55,9.17000008,10.18999958,,,1996/07/01,"MULTIPOLYGON (((-114.069822941415 50.929523390685, -114.070041888985 50.929040700812, -114.070063190874 50.929042337682, -114.070130714446 50.929047528381, -114.070186665894 50.929051829703, -114.070192689552 50.929052292659, -114.070179615452 50.929083694193, -114.070178312865 50.929086826163, -114.070163831268 50.929121610546, -114.070157163801 50.929137625588, -114.070132476845 50.929196925299, -114.070091605809 50.929295098113, -114.070072507564 50.929340975211, -114.069990522437 50.929537903469, -114.069981288966 50.929537103506, -114.069920295435 50.92953182161, -114.069858131016 50.929526437896, -114.069822941415 50.929523390685)))"
382.119,,17 Ave/Crowchild Tr SW,69.51000214,22,25.89999962,4.6 M,,1967/07/01,"MULTIPOLYGON (((-114.113872663689 51.037724961436, -114.113854292281 51.037767697716, -114.113833143434 51.03781689673, -114.113828576798 51.037827520767, -114.113808221848 51.037874872509, -114.113788012892 51.03792188609, -114.113779286471 51.037942184445, -114.113773226609 51.037942193041, -114.113491307553 51.037942586707, -114.113452738313 51.037942641234, -114.113326968361 51.037942816295, -114.113207323863 51.03794298349, -114.113184417582 51.037943015564, -114.113058738885 51.037943191147, -114.11298802813 51.037943289195, -114.112923250337 51.037943379669, -114.112915860158 51.037943390406, -114.112621616036 51.037943799274, -114.112628833854 51.037926212868, -114.112645947109 51.037884523503, -114.112668341854 51.037829967412, -114.112672288111 51.037820354466, -114.112692657229 51.037770734795, -114.112711136813 51.037725716996, -114.112716561466 51.037712499533, -114.11293153823 51.037712610241, -114.112957783842 51.037712623533, -114.11299728843 51.037712643778, -114.113155450792 51.037712724487, -114.113225110674 51.037712760405, -114.113287890831 51.03771279306, -114.113306287144 51.037712803095, -114.11342564929 51.037712864413, -114.113555150655 51.037712931939, -114.113583013182 51.037712946217, -114.113807186681 51.037713061658, -114.113871843257 51.03771309487, -114.113872663689 51.037724961436)))"
383.113B,Graves Bridge,Glenmore Tr WB / Bow River,243.8999939,14.76000023,18.76000023,,,2009/07/01,"MULTIPOLYGON (((-114.025965931625 50.987757402928, -114.025775201263 50.987903685283, -114.023607206656 50.986080435714, -114.023797948135 50.985959963939, -114.025952302345 50.987757405956, -114.025965931625 50.987757402928)))"
383.514,,Glenmore Tr EB/WHC SE,28,9.5,12.39999962,,,1980/07/01,"MULTIPOLYGON (((-113.993494783066 50.978514965182, -113.993515460033 50.978514958241, -113.993515519068 50.978530744395, -113.993515675528 50.978572960671, -113.993515867732 50.978624373551, -113.993508703402 50.978624384839, -113.993378473782 50.978624595984, -113.993128518238 50.978624999576, -113.992984152198 50.978625232821, -113.992983919195 50.978612205637, -113.99298325125 50.978574889689, -113.992982594599 50.978538229101, -113.992982467502 50.978531154093, -113.992982241559 50.978518534148, -113.992982180837 50.978515142279, -113.99313321953 50.978515090124, -113.993343711622 50.978515017803, -113.993494783066 50.978514965182)))"
39,,,0,0,0,,,,"MULTIPOLYGON (((-113.921017865603 51.067324829058, -113.920641228554 51.067328333472, -113.920642699237 51.066468257455, -113.920993211439 51.066464832472, -113.921017865603 51.067324829058)))"
384.504,,CNR/38 Ave SE(Highfield),19.79999924,3.03999996,5.57999992,5.2 M,,1981/07/01,"MULTIPOLYGON (((-114.031974330312 51.019769256061, -114.031973358406 51.019769468485, -114.03197155425 51.019769860933, -114.031907929956 51.019783716279, -114.031900274403 51.019785383275, -114.031899577914 51.019784007131, -114.031892087796 51.019769201223, -114.031887800389 51.01976072324, -114.031857211994 51.019700251993, -114.031827166025 51.019640855766, -114.031824101774 51.019634798393, -114.031813330516 51.019613501859, -114.031822248817 51.019611782384, -114.031881205351 51.019600413131, -114.031889509426 51.019598811585, -114.031899624098 51.019618675322, -114.031902485667 51.019624296744, -114.031933103769 51.019684428159, -114.031964028804 51.019745162694, -114.031966709129 51.019750425473, -114.031976100266 51.019768870814, -114.031974330312 51.019769256061)))"
384.112,,CPR/Bannister Rd S.,47.70000076,3.5,5.69999981,5.1 M,,2000/07/01,"MULTIPOLYGON (((-114.073373973455 50.926991958498, -114.073297653347 50.926982361145, -114.073457111319 50.92648393186, -114.073546151246 50.926495128496, -114.073373973455 50.926991958498)))"
381.104,,Crowchild Tr/State Rd SW,60.75999832,1.92999995,1.92999995,5.2 M,,1967/07/01,"MULTIPOLYGON (((-114.112366044094 51.041206011862, -114.111566524468 51.041086886099, -114.111571616891 51.041067440021, -114.112378842391 51.04118493749, -114.112368601901 51.041201148649, -114.112368613659 51.041206009391, -114.112366044094 51.041206011862)))"
381.619B,,Harvest Hills Blvd/W Nose Cr-B (Nose Cr Confl Pk),13.60000038,3,3,,,1996/07/01,"MULTIPOLYGON (((-114.048138975657 51.131632397444, -114.047943775107 51.131608256947, -114.047952841818 51.131579235703, -114.048148040822 51.131603376185, -114.048138975657 51.131632397444)))"
381.159,Whispering Grasses,John Laurie Blvd/Brisbois Dr NW,101.80000305,2.53999996,2.94000006,None (> 6.0 m),,2005/07/01,"MULTIPOLYGON (((-114.124631714661 51.102177762819, -114.124572649611 51.102170855186, -114.124573733466 51.102167716644, -114.124590668697 51.102115032743, -114.124605351488 51.102062081551, -114.124617770527 51.102008900835, -114.124627918787 51.10195553016, -114.124635786382 51.101902006393, -114.124641369141 51.101848369095, -114.124644661465 51.101794656926, -114.124645663467 51.101740908542, -114.124644372402 51.101687162603, -114.124640791239 51.101633457759, -114.124634920088 51.101579832667, -114.124626764773 51.101526325975, -114.124616329692 51.101472977233, -114.124603624947 51.101419823286, -114.124588657789 51.101366903682, -114.12457143975 51.101314256162, -114.124551982363 51.10126191847, -114.124530300012 51.101209928348, -114.124518332406 51.101183433311, -114.12456997702 51.101176407728, -114.124590400091 51.101220434356, -114.124612115752 51.101272041473, -114.124631602178 51.101324000659, -114.124648849261 51.101376272372, -114.12466383976 51.101428818873, -114.124676566426 51.101481602416, -114.124687017721 51.10153458256, -114.124695186398 51.101587722456, -114.124701065202 51.101640981658, -114.124704652593 51.101694321513, -114.124705945604 51.101747703369, -114.124704939837 51.101801087676, -114.124701639461 51.101854434876, -114.124696047219 51.101907706309, -114.124688164429 51.101960863318, -114.124677998111 51.102013865442, -114.124665555299 51.102066675816, -114.124650847299 51.102119253972, -114.124633881143 51.102171563046, -114.124631714661 51.102177762819)))"
383.107B,,Center St(Lower)/Bow Rv,139.80000305,5.51000023,6.05000019,2.7 M,,1916/07/01,"MULTIPOLYGON (((-114.062646795266 51.053936395805, -114.062635020888 51.053932243471, -114.062390693382 51.053846082717, -114.062456075144 51.052208567364, -114.062707661225 51.052326486597, -114.062646795266 51.053936395805)))"
381.619D,,Harvest Hills Blvd/W Nose Cr-D (Nose Cr Confl Pk),13.60000038,3,3,,,1996/07/01,"MULTIPOLYGON (((-114.053828110161 51.132400513962, -114.053629099383 51.1323659361, -114.053642369052 51.132338239354, -114.053837415115 51.132375450275, -114.053828110161 51.132400513962)))"
19,,,0,0,0,,,,"MULTIPOLYGON (((-113.991715395913 50.896594328526, -113.992181847683 50.897538632998, -113.991829211823 50.897588838459, -113.991372704013 50.896663291777, -113.991715395913 50.896594328526)))"
383.212,,Stampede Pk-S Saddledome/Elbow Rvr (Truss-Yd Strg),,,,,,1970/07/01,"MULTIPOLYGON (((-114.050057081986 51.036922322254, -114.050049744667 51.036922291236, -114.050037733479 51.036922240642, -114.049976326977 51.036903143929, -114.049976075939 51.036903057735, -114.049927101528 51.036902815267, -114.049590387498 51.036901149888, -114.049231682919 51.036899375037, -114.049230207185 51.036899367568, -114.049230318239 51.036897870729, -114.049231175867 51.036886430017, -114.049293748984 51.036841606839, -114.04929621378 51.036839841112, -114.049299450785 51.036837523089, -114.049476478353 51.036838041604, -114.049716170932 51.036838742672, -114.049961011464 51.036840126066, -114.05009399713 51.036840877319, -114.050076515989 51.036865472665, -114.050061529226 51.036890655768, -114.05005592026 51.036900121675, -114.050057081986 51.036922322254)))"
382.147,,14 Street NB/Glenmore Tr,68,6,8.30000019,WB 5 M,,1979/07/01,"MULTIPOLYGON (((-114.094982365743 50.994591255834, -114.094847146764 50.994573715984, -114.0948378468 50.994470650829, -114.094827304352 50.994331767667, -114.094819041065 50.994192823319, -114.094813056948 50.994053833067, -114.094809353435 50.993914810395, -114.094808375102 50.99384714216, -114.094910924905 50.993847058898, -114.094913756697 50.993911249265, -114.094922053869 50.994062500642, -114.094932633054 50.994213696221, -114.094945492818 50.99436482072, -114.094960631731 50.994515860655, -114.094968369189 50.994585384278, -114.094982365743 50.994591255834)))"
386.215,,LRT / Stoney Trail Ramp,35,9.35000038,9.75,,,2014/08/23,"MULTIPOLYGON (((-114.225572912223 51.130224375768, -114.22551369868 51.130308903347, -114.225097973656 51.130142401175, -114.225149920809 51.130042174843, -114.225572912223 51.130224375768)))"
381.161,,Country Hills Bv / Sanderling Dr NW,216,3,3.5999999,,,2009/07/01,"MULTIPOLYGON (((-114.096859261386 51.143718607171, -114.096839882354 51.143747156152, -114.096301587614 51.143527490643, -114.095696696347 51.142435589957, -114.095521515452 51.14232567816, -114.095333485795 51.142268765681, -114.095074286692 51.142264900776, -114.09507421971 51.14223229201, -114.09533343542 51.142244308657, -114.095560335699 51.142297113509, -114.095754988493 51.142423313719, -114.096340416871 51.143503001609, -114.096859261386 51.143718607171)))"
384.309,,32 Ave/CPR NE,90,4,4,,,1976/07/01,"MULTIPOLYGON (((-114.038784002634 51.081588742545, -114.037637494576 51.08159167932, -114.037523342778 51.081381228129, -114.038672021006 51.081382108772, -114.038780128959 51.081581596138, -114.038784002634 51.081588742545)))"
381.175,,Anderson Rd / Cedardale Cres SW,56.70000076,3,3.95000005,,,2016/10/29,"MULTIPOLYGON (((-114.131846592915 50.950753704931, -114.131748991147 50.950753815069, -114.131749851303 50.950205789886, -114.131848657345 50.950205678387, -114.131846592915 50.950753704931)))"
384.102,,CPR/14 St SW Subway,21.35000038,19.36000061,23.65999985,4.2 M,,1954/07/01,"MULTIPOLYGON (((-114.094870331613 51.044956689928, -114.094552563331 51.044945501696, -114.094543008797 51.044710870138, -114.094860762357 51.044716335542, -114.094852163233 51.044950981808, -114.094870331613 51.044956689928)))"
