OBJECTID,AssetID,FacilityID,LegacyID,LifeCycleStatus,SubType,Enabled,Location,StreetName,InstallDate,RecordedLength,WarrantyDate,AssetOwner,AssetManager,Contractor,RoadUse,AreaAdjustments,NetworkID,NetworkName,NetworkComments,Comments,StreetType,DesignSpeed,DowelLength,DowelSize,ReinforcingSize,ReinforcingSpacing,PrimaryImage,OneWay,Description,BridgeDesign,DesignLoadRating,SpanType,SpanLength,PaintType,PaintColor,DeckMaterial,DeckThickness,FaceCurbWidth,DeckWidth,RailType,RailHeight,WidthBetweenRails,TrafficType,ConditionDate,AcquisitionCost,DeprecationMethod,ExpectedLife,ResidualValue,created_user,created_date,last_edited_user,last_edited_date,SubType_TEXT,Condition,CoFScore,CoFDate,RiskScore,Link,DF,Shape__Length
3,1,1,,Active,5,True,1488 Winnipeg St,15th Ave,1980-01-01T00:00:00.000Z,,,CPG,,,Arterial,,,,,B1,,,,,,,,False,,,,,,,Grey,,,,9.7,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-11T23:17:31.000Z,GISADMIN,2014-08-06T00:02:29.000Z,,,,,,,,39.9923242360371
4,2,2,,Active,5,True,2203 River Rd,River Rd,1985-01-01T00:00:00.000Z,,,CPG,,,Arterial,,,,,B3,,,,,,,,False,,,,,,,Grey,,,,8,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-11T23:53:41.000Z,GISADMIN,2014-08-06T00:02:31.000Z,,,,,,,,75.2553552977609
401,3,3,,Active,5,True,Cameron St Bridge,Cameron St,2008-12-31T00:00:00.000Z,,,CPG,,,Arterial,,,,,B2,,,,,,,,False,,,,,,,Grey,,,,4.1,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T16:12:03.000Z,TLATKOWSKI,2014-08-22T23:40:41.000Z,,,,,,,,189.869701706727
402,4,4,,Active,2,True,886 River Rd,,2010-01-01T00:00:00.000Z,,,CPG,,,,,,,,B5,,,,,,,,False,,,,,,,,,,,3.24,,,,Pedestrian,,,,,,TLATKOWSKI,2014-06-12T17:53:07.000Z,GISADMIN,2019-05-01T23:29:37.000Z,RTruss,,,,,,,28.2939903669477
403,5,5,,Active,5,True,348 River Rd,,2001-01-01T00:00:00.000Z,,,CPG,,,,,,,,B6,,,,,,,,False,,,,,,,,,,,2.4,,,,Pedestrian,,,,,,TLATKOWSKI,2014-06-12T18:08:44.000Z,GISADMIN,2019-05-01T23:29:41.000Z,,,,,,,,16.2624900398419
404,6,6,,Active,5,True,Foothills Bridge,Foothills Blvd,1984-01-01T00:00:00.000Z,,,CPG,,,Arterial,,,,,B8,,,,,,,,False,,,,,,,Grey,,,,19.2,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T18:34:49.000Z,TLATKOWSKI,2014-08-22T23:44:13.000Z,,,,,,,,157.019284642705
406,7,7,,Active,5,True,427 Becott Pl,,1985-01-01T00:00:00.000Z,,,CPG,,,,,,,,B10,,,,,,,,False,,,,,,,,,,,2,,,,Pedestrian,,,,,,TLATKOWSKI,2014-06-12T18:50:34.000Z,GISADMIN,2019-05-01T23:29:41.000Z,,,,,,,,27.0587002441486
407,8,8,,Active,5,True,1380 Hardy Rd,Hardy Rd,1975-01-01T00:00:00.000Z,,,CPG,,,Local,,,,,B11,,,,,,,,False,,,,,,,,,,,3.65,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T18:57:29.000Z,GISADMIN,2014-08-06T00:02:43.000Z,,,,,,,,3.21441314649977
408,9,9,,Active,5,True,79 Foothills Blvd,Otway Rd,1984-01-01T00:00:00.000Z,,,CPG,,,Arterial,,,,,B13,,,,,,,,False,,,,,,,Grey,,,,9.3,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T19:21:32.000Z,GISADMIN,2014-08-06T00:02:45.000Z,,,,,,,,59.2518963027127
409,10,10,,Active,5,True,2368 Farrell St,,1988-01-01T00:00:00.000Z,,,CPG,,,,,,,,B14,,,,,,,,False,,,,,,,,,,,1.7,,,,Pedestrian,,,,,,TLATKOWSKI,2014-06-12T19:49:16.000Z,GISADMIN,2019-05-01T23:29:42.000Z,,,,,,,,5.56255715393004
410,11,11,,Active,5,True,100 PG Pulpmill Rd,PG Pulpmill Rd,2009-09-22T00:00:00.000Z,27810,,CPG,,Associated Engineering,Major Collector,,,,,B15,,50,"12""","3/8""",,,,False,,,,,21.200000,,Grey,Concrete - Cast-in-Place,0.200000,,12.18,Bicycle Railing,0.590000,11.600000,Vehicle,,,,75,,TLATKOWSKI,2014-06-12T20:11:36.000Z,GISADMIN,2019-03-18T23:23:45.000Z,,,,,,,,22.3994357104415
411,12,12,,Active,5,True,735 Tay Cres,,1970-01-01T00:00:00.000Z,,,CPG,,,,,,,,B17,,,,,,,,False,,,,,,,,,,,1.2,,,,Pedestrian,,,,,,TLATKOWSKI,2014-06-12T20:23:05.000Z,GISADMIN,2019-05-01T23:29:42.000Z,,,,,,,,14.8079142743952
412,13,13,,Active,5,True,729 Tay Cres,,1970-01-01T00:00:00.000Z,,,CPG,,,,,,,,B18,,,,,,,,False,,,,,,,,,,,1.4,,,,Pedestrian,,,,,,TLATKOWSKI,2014-06-12T20:31:02.000Z,GISADMIN,2019-05-01T23:29:42.000Z,,,,,,,,7.39512161492973
413,14,14,,Active,5,True,115 River Rd,River Rd,1987-01-01T00:00:00.000Z,,,CPG,,,Major Collector,,,,,B19,,,,,,,,False,,,,,,,Grey,,,,13.2,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T20:34:54.000Z,GISADMIN,2019-05-01T23:29:42.000Z,,,,,,,,56.976559055409
414,15,15,,Active,5,True,3705 University Way,University Way,1993-01-01T00:00:00.000Z,,,CPG,,,Major Collector,,,,,B21,,,,,,,,False,,,,,,,Grey,,,,10,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T20:41:09.000Z,GISADMIN,2014-08-06T00:02:57.000Z,,,,,,,,37.1667659731501
415,16,16,,Active,5,True,3370 Willow Cale Rd,Willow Cale Rd,2008-01-01T00:00:00.000Z,,,CPG,,,Major Collector,,,,,B22,,,,,,,,False,,,,,,,Grey,,,,13.05,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T20:52:23.000Z,GISADMIN,2014-08-06T00:02:59.000Z,,,,,,,,17.4591742448052
416,17,17,,Active,5,True,5072 Willow Cale Rd,Willow Cale Rd,2008-01-01T00:00:00.000Z,,,CPG,,,Major Collector,,,,,B23,,,,,,,,False,,,,,,,Grey,,,,10.85,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T20:56:28.000Z,GISADMIN,2014-08-06T00:03:01.000Z,,,,,,,,15.8160277480074
417,18,18,,Active,5,True,1414 Willowbrook Rd,Willowbrook Rd,1975-01-01T00:00:00.000Z,,,CPG,,,Local,,,,,B24,,,,,,,,False,,,,,,,,,,,2.22,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T21:01:47.000Z,GISADMIN,2014-08-06T00:03:03.000Z,,,,,,,,2.3330268618797
801,19,19,,Active,5,True,Yellowhead Bridge,HWY 16,1988-01-01T00:00:00.000Z,,,MOH,,,Highway,,,,,Yellowhead Bridge,,,,,,,,False,,,,,,,,,,,,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-13T17:57:48.000Z,GISADMIN,2015-06-02T20:35:17.000Z,,,,,,,,500.962417317784
802,20,20,,Active,2,True,CNR Rail Bridge,,1914-01-01T00:00:00.000Z,,,Other,,,,,,,,CNR Rail Bridge,,,,,,,,False,,,,,,,,,,,,,,,Railroad,,,,,,TLATKOWSKI,2014-06-13T18:02:06.000Z,TLATKOWSKI,2014-08-22T23:39:56.000Z,RTruss,,,,,,,813.535413405103
