full_name,the_geom,segment_id,type,st_name,st_type,st_dir,from_right,to_right,from_left,to_left
Pambrun Pl,"MULTILINESTRING ((-97.073193283548 49.833693891169, -97.073515786847 49.833627292182))",1545,STREET,Pambrun,PL,,2,34,,
Betournay St,"MULTILINESTRING ((-97.069548672504 49.865143219124, -97.068395140874 49.86510600894))",16224,STREET,Betournay,ST,,1092,1100,1103,1105
Marjorie St,"MULTILINESTRING ((-97.213994055926 49.878729847718, -97.213522707934 49.883957660105))",8428,STREET,Marjorie,ST,,201,333,198,332
Silver Ave,"MULTILINESTRING ((-97.210572305402 49.88769903436, -97.212032302032 49.887748548127))",8949,STREET,Silver,AVE,,1777,1777,,
Tully Rd,"MULTILINESTRING ((-97.136963950475 49.952796422365, -97.137775140096 49.953055808469, -97.137977483385 49.953151463423))",21642,STREET,Tully,RD,,,,2,18
Howden Rd,"MULTILINESTRING ((-97.074657178299 49.867612988459, -97.074662389065 49.865327230846))",17065,STREET,Howden,RD,,157,185,158,184
De La Seigneurie Blvd,"MULTILINESTRING ((-97.054122755264 49.820019231569, -97.054122840659 49.819635073462))",26848,STREET,De La Seigneurie,BLVD,,,,,
Main St,"MULTILINESTRING ((-97.076961901363 49.968435958425, -97.073726454505 49.972104687304))",27201,STREET,Main,ST,,,,,
Roch St,"MULTILINESTRING ((-97.100559033365 49.920669363566, -97.100281072241 49.921006619937, -97.099307663171 49.921314486368))",14480,STREET,Roch,ST,,631,635,,
Inkster Blvd,"MULTILINESTRING ((-97.147572626823 49.935003472994, -97.152576063874 49.936632273386))",12056,STREET,Inkster,BLVD,,829,929,828,922
Jim Turney Dr,"MULTILINESTRING ((-97.076961901363 49.968435958425, -97.076776397538 49.968376288687, -97.076638648626 49.968432276819, -97.075993488076 49.969237391743, -97.075772872506 49.969429360916, -97.075494379325 49.96961620689, -97.075173727438 49.969727430534, -97.074860851073 49.969805483732, -97.07458204539 49.969838316125, -97.074208495109 49.969819626606, -97.073455943044 49.969757179405, -97.073069163469 49.969746591099, -97.072519162628 49.969783236778, -97.070971343292 49.969919831909, -97.070700480762 49.969915326119, -97.070482708398 49.969874242035, -97.067113902349 49.968427923274))",27202,STREET,Jim Turney,DR,,,,,
