X,Y,OBJECTID,ASSET_ID,Alias,LOCATION
-80.18484655601462,43.010232200183587,1,987407,Townsend Parkway Culvert,0.15 km S of Townline Road
-80.180938351242716,42.999273609178211,2,987406,County Road 74 Bridge,"county line, .2km south of concession 17"
-80.171436023202091,42.973301116446329,3,987405,County Line 74 Culvert,0.1 km North of Concession 5 Townsend
-80.163797927356171,42.952726421146792,4,987404,Box Culvert,1.0 km N of County Road 9
-80.141288088621863,42.944330138919533,5,980907,Mud St. Box Culvert,1.53 km E of Townsend Parkway
-80.109956049152942,42.932652860520392,6,985501,Roulston Bridge,1.8 km S of County Road 9
-80.140776245587787,42.890865968917403,7,987403,Townsend Parkway Bridge,2 km N of Highway 3
-80.118657724783048,42.896532085345484,8,986908,Box Culvert,1.95 km E of Townsend Parkway
-80.133014785531515,42.871122292522685,9,987003,County Highway 70 Bridge,0.4 km S of Highway 3
-80.125434436361104,42.85068118650554,10,987002,County Highway 70,0.9 km S of Highway 6
-80.121278855173927,42.839803726797179,11,987001,County Highway 70,1.5 km N of County Road 3
-80.091476167516745,42.976659375093824,12,982002,Box Culvert,0.05 km SE of Concession 14 (Springvale Road)
-80.088180367955545,42.975461906785824,13,982005,King's Driveway,0.1 km SE of Springvale Road
-80.030455100848357,42.954359013005828,14,982007,Box Culvert,1.1 km N of Indiana Road
-80.00769130791582,42.946199597805155,15,982006,Box Culvert,1 km S of Indiana Road
-79.983001023045077,42.937386835047569,16,982008,Box Culvert,1 km N of Haldimand Road 53
-79.930935093160272,42.996231753752333,18,980904,Cranston Bridge,0.35 km S of Fourth Line
-79.914045986021833,43.024883673229517,19,980905,Boston Creek Bridge,3 km N of Fourth Line
-79.892276474062413,43.021963312044875,20,980906,York Bridge,0.02 km W of Haldimand Highway 54
-79.930134845191219,43.086108989843495,21,986601,County Highway 66,haldimand rd 66 east of hwy 6
-79.795773605776105,43.042492704688016,22,980909,Empire Culvert,0.3 km E of Highway 56
-79.767282115989545,43.04934031528699,23,980908,,0.1 km west of sinclairville road
-79.679417229296945,42.992403196429272,24,981401,Canborough Bridge,0.1 km N of Highway 3
