Done,KML,File,library_name,library_type,unit,street_no,street_name,street_suffix,street_direction,address_full,postcode,city,prov/terr,PRuid,CSDname,CSDuid,longitude,latitude,data_city,data_prov/terr,data_provider,file_type,filter_name,filter_value,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo
x,a,Barrie_Baseball_Fields.csv,PARKID,SUBTYPE,,,,,,,,,,,,,x,y,Barrie,,,Baseball,,,,
x,,Barrie_City_Facilities.csv,NAME,TYPE,,,,,,ADDRESS,,,,,,,,,Barrie,,,Mixed,NAME,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,a,Barrie_Play_Field.csv,PARKID,TYPE,,,,,,,,,,,,,x,y,Barrie,,,Mixed,,,,
x,b,Barrie_Trail.csv,Name,SUBTYPE,,,,,,,,,,,,,x,y,Barrie,,,Trails,,,,
x,,Brampton_Recreation_Centres.csv,FACILITY_NAME,TYPE,,,,,,ADDRESS,,,,,,,X,Y,Brampton,,,Mixed,FACILITY_NAME,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,a,Brampton_Recreational_Trails.csv,Name,TRAIL_TYPE,,,,,,,,,,,,,x,y,Brampton,,,Trails,,,,
x,,Brampton_Region_of_Peel_Landmarks.csv,LM_NAME,CATEGORY,,,,,,STR_ADDR,POSTAL,MUN,PR,,,,X,Y,Brampton,,,Mixed,LM_NAME,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,Brandon_greenspaces-export.csv,Name,,,,,,,Address,,,,,,,,,Brandon,,,Greenspace,,,,
x,,Brantford_Paths_and_Trails OGRGeoJSON.csv,Location,Category,,,,,,,,,,,,,x,y,Brantford,,,Trails,,,,
x,a,Brantford_Play_Equipment_Areas.csv,Location,,,,,,,,,,,,,,x,y,Brantford,,,Playgrounds,,,,
x,a,Brantford_Sports_Fields.csv,Field_Name,Activity,,,,,,,,,,,,,x,y,Brantford,,,Sports Fields,,,,
y,,Burlington_Facilities (1).csv,ASSETNAME,USE,,,,,,ADDRESS,,,,,,,,,Burlington,,,Mixed,USE,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
a,,Burnaby_Business_Licences.csv,NAME_LAST,CASE_BUS_TYPE_DESC,,ST_NMBR,ST_NAME,ST_TYPE,ST_SFX,ADDRESS,,,,,,,X,Y,Burnaby,,,Mixed,NAME_LAST,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
a,,Burnaby_Civic_Places (2).csv,DESCRIPTION,,,,,,,,,,,,,,X,Y,Burnaby,,,Mixed,DESCRIPTION,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,b,Burnaby_Trans_Canada_Trail.csv,description,,,,,,,,,,,,,,x,y,Burnaby,,,Trails,,,,
x,a,Burnaby_Urban_Paths__Trails.csv,PATHNAME,TRAILCLASS,,,,,,,,,,,,,x,y,Burnaby,,,Trails,,,,
x,,Calgary_Business_Licences (2).csv,TRADENAME,LICENCETYPES,,,,,,ADDRESS,,,,,,,longitude,latitude,Calgary,,,Mixed,TRADENAME,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,Calgary_Recreation_Facilities.csv,COMPLEX_NAME,FACILITY_TYPE,,,,,,ADDRESS,,,,,,,longitude,latitude,Calgary,,,Mixed,,,,
x,b,Calgary_Sport_Grouping_Areas_layer.csv,asset_type,,,,,,,,,,,,,,x,y,Calgary,,,Mixed,,,,
x,a,Calgary_Trails_layer.csv,,,,,,,,,,,,,,,x,y,Calgary,,,Trails,,,,
x,b,Cambridge_Golf_Courses.csv,Name,,,HOUSE_NUMBER,STREET_NAME,,,,,,,,,,x,y,Cambridge,,,Golf,,,,
y,,Cambridge_Pools.csv,POOL_NAME,,,,,,,ADDRESS,,,,,,,,,Cambridge,,,Pools,,,,
y,a,Cambridge_Skating_Rinks.csv,ARENA_NAME,SKATING_RINK_TYPE,,,,,,,,,,,,,x,y,Cambridge,,,Rinks,,,,
y,a,Cambridge_Splash_Pads.csv,,,,STREET_NUMBER,STREET_NAME,,,,,,,,,,x,y,Cambridge,,,Splash Pads,,,,
y,a,Cambridge_Sports_Fields.csv,SPORTS_FACILITY_NAME,SPORTS_FACILITY_TYPE,,STREET_NUMBER,STREET_NAME,,,,,,,,,,x,y,Cambridge,,,Sports Fields,,,,
x,a,Cambridge_Trails.csv,TRAIL_NAME,,,,,,,,,,,,,,x,y,Cambridge,,,Trails,,,,
a,a,CampbellRiver_Downloadable_Points_of_Interest (2).csv,PLACE,Type,,,,,,,,,,,,,x,y,CampbellRiver,,,Mixed,PLACE,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,a,Canmore_Sports_Fields.csv,Location,,,,,,,,,,,,,,x,y,Canmore,,,Sports Fields,,,,
x,b,Canmore_Trails.csv,NAME1,CLASS1,,,,,,,,,,,,,x,y,Canmore,,,Trails,,,,
x,,CapeBreton_Annapolis_County_Hiking___Multipurpose_Trails.csv,Trail_Name,,,,,,,Location,,,,,,,,,CapeBreton,,,Trails,,,,
