Province,City or Region,Source,Open,Complete,Provider,License or Terms of Use,Attribution Statement
AB,Airdrie,Provided in Email,Not Open,Yes,City of Airdrie,Unknown,GTFS data provided by Airdrie Transit.
AB,Banff,https://roamtransit.com/wp-content/uploads/2017/09/GTFS.zip,Not Open,Yes,Roam Transit,Unknown,GTFS data obtained from webpage of Roam Transit.
AB,Calgary,https://data.calgary.ca/download/npk7-z3bj/application%2Fzip,Open,Yes,City of Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary
AB,Fort Saskatchewan,Provided in Email,Not Open,Yes,City of Fort Saskatchewan,,GTFS data provided by Fort Saskatchewan Transit.
AB,Edmonton,https://data.edmonton.ca/download/gzhc-5ss6/application%2Fzip,Open,Yes,City of Edmonton,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains Information freely available from the City of Edmonton Open Data portal.
AB,Hinton,http://www.hinton.ca/DocumentCenter/View/4738,Unknown,Yes,Hinton Transit,Unknown,GTFS data downloaded from the webpage of the City of Hinton.
AB,Lethbridge,http://www.lethbridge.ca/OpenDataSets/GTFS_Transit_Data.zip,Open,Yes,City of Lethbridge,https://www.lethbridge.ca/Pages/OpenDataLicense.aspx,Contains information licensed under Version 1.0 of the City of Lethbridge? - Open Data License.
AB,Red Deer,http://data.reddeer.ca/datasets/gtfsdatafeed/download/zip,Open,Yes,City of Red Deer,http://data.reddeer.ca/About,Contains Information freely available from the City of Red Deer Open Data portal.
AB,St. Albert,https://stalbert.ca/uploads/files-zip/google_transit.zip,Open,Yes,City of St. Albert,https://stalbert.ca/city/transit/rider-tools/open-data-gtfs/,"Contains Route and arrival data used in this product or service is provided by permission of the City of St. Albert. The City of St. Albert assumes no responsibility for the accuracy or currency of the Data used in this product or service."""
AB,Strathcona County,http://webpub2.strathcona.ab.ca/GTFS/Google_Transit.zip,Open,Yes,Strathcona County,https://data.strathcona.ca/stories/s/bxnd-tfzb,Contains information licensed under the Open Government Licence – Strathcona County
BC,Campbell River,https://www.bctransit.com/data/gtfs/campbell-river.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Central Fraser Valley,https://www.bctransit.com/data/gtfs/central-fraser-valley.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Chilliwack,https://www.bctransit.com/data/gtfs/chilliwack.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Comox Valley,https://www.bctransit.com/data/gtfs/comox-valley.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Cowichan Valley,https://www.bctransit.com/data/gtfs/cowichan-valley.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Cranbrook,https://www.bctransit.com/data/gtfs/cranbrook.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
