Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
000001,1990,1,90DP06,19900306,Received - In Review,,,,13B,2,811032,,5,Cascade Ct,,,SFD,,,,,,Residential,May  03/11  May  03/11
000135,1990,2,90DP04,19900205,,,,,1-2,7,6719 B.C.,,202,Banff Ave,,,Comm Reno,,,0.0000000,644.8000000,,Commercial,Aug 8/Aug 16
087602,1990,3,90DP02,19900315,,,,,12B,2,8811032,,2,Cascade Ct,,,SFD,,,,,,Residential,
085401,1990,7,90DP30,19900205,,,,,9,1,,,117,Glen Cres,,,Res Reno,,,,,,Residential,
000630,1990,8,90DP32,19900501,,,,,12,35,,,202,Grizzly St,,,Res Reno,,,,,,Residential,
000129,1990,9,90DP48,19900501,,,,,21,6,,,220,Bear St,,,Comm Reno,,,,,,Commercial,
001218,1990,10,,19900501,,,,,1-3,1,42952,,102,Spray Ave,,,Inst Reno,,,,,,Institutional,
000306,1990,11,90DP17,19900501,,,,,4,16,6719 B.C.,,334,Muskrat St,,,Duplex,,,,,,Residential,
000899,1990,12,90DP29,19900501,,,,,4,9,6719 B.C.,,133,Rainbow Ave,,,Res Reno,,,,,,Residential,
000118,1990,13,,19900601,,,,,1-3,6,6719 B.C.,,201,Banff Ave,,,Demo,,,120000.0000000,173.2000000,,Commercial,
000016,1990,14,90DP23,19900401,,,,,20,1,,,138,Bear St,,,Comm Reno,,,,,,Commercial,
000493,1990,15,90DP27,19900601,,19900601,,,1,24,,,402,Otter St,,,Demo,,,,119.2500000,,Residential,
Pinewoods,1990,16,,19900601,,19900601,,,,,,,720,Banff Ave,,,Demo,,,,927.2000000,,Commercial,
000048,1990,17,90DP33,19900501,,,,,10,3,6719 B.C.,,114,Beaver St,,,Demo,,,,84.1500000,,Residential,
000048,1990,18,90DP33,19900501,,19900601,,,10,3,6719 B.C.,,114,Beaver St,,,Apartment,,,300000.0000000,1650.0000000,,Residential,
121110,1990,19,90DP34,19900501,,,,,29,13,70784,,218,Springs Cres,,,SFD,,,120000.0000000,,,Residential,
000926,1990,20,90DP11,19900501,,,,,16,7,2221 C.N.,,121,Cave Ave,,,Res Reno,,,13000.0000000,,,Residential,
000493,1990,21,90DP27,19900501,,19900601,,,1,24,43510 CLSR,,402,Otter St,,,Duplex,,,200000.0000000,1100.0000000,,Residential,
086803,1990,22,90DP28,19900401,,19900501,,,4C,2,8810817,,104,Mountain Lane,,,SFD,,,130000.0000000,,,Residential,
000830,1990,23,90DP42,19900501,,19900601,,,9,B,50017,,501,Buffalo St,,,Res Addition,,,5000.0000000,50.0000000,,Residential,
000860,1990,24,,19900627,,19900601,,,21-27,1,,,400,Spray Ave,BSH Clubhouse,,Comm Reno,,,300000.0000000,1800.0000000,,Commercial,
000612,1990,25,90DP46,19900624,,19900701,,,3,34,6917 B.C.,,120,Grizzly St,,,Duplex,,,170000.0000000,935.0000000,,Residential,
000864,1990,26,90DP35,19900502,,,,,2-6,2,2020 I.D.,,114,Mountain Ave,,,Res Addition,,,100000.0000000,,,Residential,
000015,1990,27,90DP14,19900501,,,,,17-19,1,6719 B.C.,,137,Banff Ave,King Edward Hotel,,Comm Reno,,,,,,Commercial,
000015,1990,28,90DP14,19900705,,19900701,,,17-19,1,6719 B.C.,,137,Banff Ave,The Fine Grind,,Comm Reno,,,80000.0000000,455.0000000,,Commercial,
000015,1990,29,,19900622,,19900701,,,17-19,1,6719 B.C.,,137,Banff Ave,Thaise,,Comm Reno,,,50000.0000000,305.0000000,,Commercial,
000179,1990,30,90DP22,19900713,,19900701,,,3,9,6719 B.C.,,206,Muskrat St,,,Res Reno,,,50000.0000000,300.0000000,,Residential,
001128,1990,31,90DP37,19900627,,19900701,,,"1-3, 8-10",59,52744 CLSR,,200,Hawk Ave,,,Comm Reno,,,28000.0000000,195.0000000,,Commercial,
