FolderNumber,Category,Type,Subject,Status,Latitude,Longitude,URL,KMLDescription
BP117055,Building Permits,Commercial / Multi / Industrial,2470 Kenworth Road - BMW NANAIMO AND MINI NANAIMO - SCANNED,COMPLETED,49.2035474,-124.0028911,https://www.nanaimo.ca/whatsbuilding/folder/BP117055,TYPE: Commercial / Multi / Industrial   SUBJECT: 2470 Kenworth Road - BMW NANAIMO AND MINI NANAIMO - SCANNED   STATUS: COMPLETED
BP116973,Building Permits,Leasehold Improvements,K1-6631 Island Hwy -- Scanned,COMPLETED,49.2368341,-124.0504615,https://www.nanaimo.ca/whatsbuilding/folder/BP116973,TYPE: Leasehold Improvements   SUBJECT: K1-6631 Island Hwy -- Scanned   STATUS: COMPLETED
BP117022,Building Permits,Leasehold Improvements,101 1050 Terminal Avenue North -- Scanned,COMPLETED,49.1815311,-123.9515931,https://www.nanaimo.ca/whatsbuilding/folder/BP117022,TYPE: Leasehold Improvements   SUBJECT: 101 1050 Terminal Avenue North -- Scanned   STATUS: COMPLETED
BP118100,Building Permits,Single / Two Family Alteration,1670 Crescent View,COMPLETED,49.1848805,-123.9774769,https://www.nanaimo.ca/whatsbuilding/folder/BP118100,TYPE: Single / Two Family Alteration   SUBJECT: 1670 Crescent View   STATUS: COMPLETED
BP117434,Building Permits,Single / Two Family Dwelling,3450 Budehaven Drive -- Scanned,COMPLETED,49.2139196,-123.9444543,https://www.nanaimo.ca/whatsbuilding/folder/BP117434,TYPE: Single / Two Family Dwelling   SUBJECT: 3450 Budehaven Drive -- Scanned   STATUS: COMPLETED
BP117316,Building Permits,Accessory Building,2362 Meadow Lark Trail -- Scanned,COMPLETED,49.1985923,-124.0151456,https://www.nanaimo.ca/whatsbuilding/folder/BP117316,TYPE: Accessory Building   SUBJECT: 2362 Meadow Lark Trail -- Scanned   STATUS: COMPLETED
BP117056,Building Permits,Commercial / Multi / Industrial,2468 Kenworth  Road new parent - 2468 Kenworth----old current legal 2474 Kenworth Road - SCANNED,COMPLETED,49.2035474,-124.0028911,https://www.nanaimo.ca/whatsbuilding/folder/BP117056,TYPE: Commercial / Multi / Industrial   SUBJECT: 2468 Kenworth  Road new parent - 2468 Kenworth----old current legal 2474 Kenworth Road - SCANNED   STATUS: COMPLETED
BP116956,Building Permits,Accessory Building,205 A King Road - Carriage House / Accessory Dwelling,RETIRED,49.1665512,-123.9836518,https://www.nanaimo.ca/whatsbuilding/folder/BP116956,TYPE: Accessory Building   SUBJECT: 205 A King Road - Carriage House / Accessory Dwelling   STATUS: RETIRED
BP117889,Building Permits,Service Permit,6607 Hillside Terrace,ACTIVE,49.2303473,-124.0531055,https://www.nanaimo.ca/whatsbuilding/folder/BP117889,TYPE: Service Permit   SUBJECT: 6607 Hillside Terrace   STATUS: ACTIVE
BP117895,Building Permits,Service Permit,63 Lake Place -- Scanned,COMPLETED,49.2292933,-124.0538962,https://www.nanaimo.ca/whatsbuilding/folder/BP117895,TYPE: Service Permit   SUBJECT: 63 Lake Place -- Scanned   STATUS: COMPLETED
