ITEM,PROJECT_ADDRESS,PROJECT_TYPE,ESTIMATED_CONSTRUCTION_COST,DESCRIPTION,STATUS,LAST_MONTH_STATUS,FILE,PROJECT_PLANNER
1,347 Wood Street,Church,n/a,Rezoning: from  RQ-1 to P-1 for Queensborough Temple; Ramsay Worden Architects.,A,A,REZ00024,Jim Hurst
2,527 McDonald Street & 514 Garfield Street,Residential,n/a,Rezoning: rezone from RS-1 to RS-5 (small lot); retain existing house and construct new house.,A,A,PF006980,David Guiney
3,258 Sixth Street,Mixed Use,"$13,500,000","Rezoning and DP: 22 storey, 64 units including 11 live/work units; Bumen Architecture. (Temporary Sales Office Permit Issued)",A,A,PF006947,Jim Hurst
4,410 Columbia Street,Commercial,"$170,000",SDP: Minor changes to the rear exterior of the building; Chercover Massie & Associates,A,A,SDP00168,Barry Waitt
5, 1111 Ewen Avenue - Alexander Walk Phase 3,Residential,"$5,026,390","Rezoning & DP: 61 townhouse units; Patrick Cotter, Architect.",A,A,REZ00027,Jim Hurst
6,500 Sixth Avenue,Commercial,"$3,800,000",DP:  4 storey commercial building; Eric Pattison Architect,A,A,DPU00035,Jim Hurst
7,409 Boyne Street,Industrial,"$1,910,000",Rezoning & OCP Amendment:  From Heavy Industrial (M-2) to Light Industrial (M-1); Boffo Corp.,A,A,REZ00013,Jim Hurst
8,777 Columbia Street,Mixed Use,"$94,000,000","Rezoning & SDP: 160 ft. institutional and commercial development. 4 storey Multi Use Civic Facility with 8 storey office tower (130,000 sq.ft.); City of New Westminster; HCMA and MCM architects.",A,A,REZ00048,Lisa Spitale
9,125 Columbia Street,Mixed Use,"$22,036,000","SDP & Rezoning: 20 storeys with 111 apartments, 9 townhouses and 718 sq.ft. commercial; HR Hatch Architect/Ballenas Project Managements.",A,A, REZ00043/ SDP00175,Barry Waitt
10,716 Columbia Street,Mixed Use,"$600,000","SDP: Interior renovations of existing commercial space, creation of 7 residential units and façade renovations.",A,A,SDP00173,Barry Waitt
11,305 Jardine Street,Residential,"$1,500,000",Rezoning & DP: From RQ-1 to CD for proposed 8 unit townhouse development; Gen Yada Architect.,A,A,REZ00006,Mike Watson
12,838 Royal Avenue,Residential,"$4,081,000",SDP: 35 unit townhouse development; Matthew Cheng.,A,A,SDP00187,Barry Waitt
13,250 Columbia Street,Commercial,"$2,000,000","SDP & DVP: Addition to existing building to include 5 residential units, expansion of Liquor Retail Store, rooftop terrace and commercial space along Front Street.  Height proposed at 56 ft;  Eric Pattison Architects",A,A,SDP00178    DVP00515,Barry Waitt
14,668 Columbia Street - Trapp Block,Mixed Use,"$30,000,000","SDP & Rezoning:  20 storeys with 180 housing units and 8,800 sq. ft of at grade commercial; IBI/HB Architects.",A,A,REZ00002/       SDP00159,Julie Schueck
15,240 Camata Street - Port Royal 4B,Residential,"$9,500,000","DP: 57 townhous units in 14 buildings; Ramsay Worden Architect, Aragon Properties Ltd.",A,A,DPQ00035,Jim Hurst
16,100 Wood Street,Residential,"$5,830,800","Rezoning & DP: from Queensborough Neighbourhood Residential Dwelling Districts (RQ-1) to Multiple Dwelling Districts (Low Rise) (RM-2A); 36 townhouse units; Don Andrews, Creekside Architects.",A,A,REZ00018/ DPQ00058,Jim Hurst
17,22 East Royal Ave,Residential,n/a,DP for 115 unit multi-family development; Yamamoto Architecture Inc.,A,A,DPW00011/ DVP00540,Barry Waitt
18,188 Agnes St,Residential,"$3,500,000",Rezoning: Single Detached Dwelling District (RS-2) to Multiple Dwelling District (highrise) (RM-4).     18 storeys- 114 apartment and 7 townhouse units; Gomberoff Bell Lyon Architects.,A,A,PF006915,Mike Watson
19,271 Francis Way - Parcel J Victoria Hill,Residential,"$40,000,000",DP: 21 storey high rise with 232 apt. units and 16 townhouse units; Onni Group of Companies,A,A,DPW0009,Barry Waitt
20,700 Sixth Street,Commercial,"$2,600,000","DP for 10,226sq ft retail space for Rexall Drug Store",A,A,DPU00046,Jim Hurst
21,307 Boyne Street,Residential,n/a,Rezoning: From RQ-1 to a Comprehensive Development District in order to allow for transitional housing accommodating up to 4 mothers and their babies; Aunt Leah’s Place.,A,A,REZ00084,John Stark
22,737 Carnarvon Street,Residential,n/a,Rezoning & SDP: Conversion of existing above grade commercial space to residential; IBI Group,A,A,REZ00065/ SDP00186,Barry Waitt
