FolderNumber,FolderCategory,Type,ReportCode,DateIssued,DateApproved,DateExpired,DateCompleted,Status,Subject,Unit,Address,StreetName,Value,ESRI_OID,CreationDate,Creator,EditDate,Editor
PP023208,BUILDING PERMITS,PLUMBING PERMIT,,Nov  9 2018 12:00AM,2018-11-09T08:00:00.000Z,Nov  9 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,1780,GORSE ST,,6001,,,,
PP023209,BUILDING PERMITS,PLUMBING PERMIT,,Nov 15 2018 12:00AM,2018-11-15T08:00:00.000Z,Nov 16 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,2100,PROGRESS RD,,6002,,,,
PP023210,BUILDING PERMITS,PLUMBING PERMIT,,Nov 15 2018 12:00AM,2018-11-15T08:00:00.000Z,Nov 16 2020 12:00AM,,ACTIVE,New SFD,,7118,FOXRIDGE CRT,,6003,,,,
PP023211,BUILDING PERMITS,PLUMBING PERMIT,,Nov 20 2018 12:00AM,2018-11-20T08:00:00.000Z,Nov 19 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,3463,22ND AVE,,6004,,,,
PP023212,BUILDING PERMITS,PLUMBING PERMIT,,Nov  2 2018 12:00AM,2018-11-02T07:00:00.000Z,Nov  2 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,4133,ESTAVILLA DR,,6005,,,,
PP023213,BUILDING PERMITS,PLUMBING PERMIT,,Nov  2 2018 12:00AM,2018-11-02T07:00:00.000Z,Nov  2 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,164,MOFFAT ST S,,6006,,,,
PP023214,BUILDING PERMITS,PLUMBING PERMIT,,Nov  1 2018 12:00AM,2018-11-01T07:00:00.000Z,Nov  2 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,2816,KILLARNEY DR,,6007,,,,
PP023215,BUILDING PERMITS,PLUMBING PERMIT,,Nov  9 2018 12:00AM,2018-11-09T08:00:00.000Z,Nov  9 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,1883,GORSE ST,,6008,,,,
PP023216,BUILDING PERMITS,PLUMBING PERMIT,,Nov  7 2018 12:00AM,2018-12-04T08:00:00.000Z,Nov  6 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,3905,3907,RICHET ST,,6009,,,,
PP023217,BUILDING PERMITS,PLUMBING PERMIT,,Nov  7 2018 12:00AM,2018-12-04T08:00:00.000Z,Nov  6 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,3905,3907,RICHET ST,,6010,,,,
PP023219,BUILDING PERMITS,PLUMBING PERMIT,,Nov  8 2018 12:00AM,2018-11-08T08:00:00.000Z,Nov  9 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,1547,1557,LYON ST S,,6011,,,,
PP023220,BUILDING PERMITS,PLUMBING PERMIT,,Nov 20 2018 12:00AM,2018-11-20T08:00:00.000Z,Nov 19 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,860,ALWARD ST,,6012,,,,
PP023221,BUILDING PERMITS,PLUMBING PERMIT,,Nov 14 2018 12:00AM,2018-11-14T08:00:00.000Z,Nov 13 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,3975,AREND DR,,6013,,,,
PP023222,BUILDING PERMITS,PLUMBING PERMIT,,Nov 19 2018 12:00AM,2018-11-19T08:00:00.000Z,Nov 18 2020 12:00AM,,ACTIVE,New SFD,,2479,CHANCELLOR BLVD,,6014,,,,
PP023223,BUILDING PERMITS,PLUMBING PERMIT,,Nov 22 2018 12:00AM,2018-11-22T08:00:00.000Z,Nov 23 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,4155,DOLLARD RD,,6015,,,,
PP023224,BUILDING PERMITS,PLUMBING PERMIT,,Nov 19 2018 12:00AM,2018-11-19T08:00:00.000Z,Nov 18 2020 12:00AM,,ACTIVE,New SFD,,2450,GRAFTON PL,,6016,,,,
PP023225,BUILDING PERMITS,PLUMBING PERMIT,,Nov 19 2018 12:00AM,2018-11-19T08:00:00.000Z,Nov 18 2020 12:00AM,,ACTIVE,New Fiveplex at 2422 Vanier Dr - BUILDING 1,,2422,VANIER DR,,6017,,,,
PP023226,BUILDING PERMITS,PLUMBING PERMIT,,Nov 19 2018 12:00AM,2018-11-19T08:00:00.000Z,Nov 18 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,177,VICTORIA ST,,6018,,,,
PP023227,BUILDING PERMITS,PLUMBING PERMIT,,Nov 16 2018 12:00AM,2018-11-16T08:00:00.000Z,Nov 16 2020 12:00AM,2019-01-14T08:00:00.000Z,COMPLETED,Plumbing permit: to install or alter a plumbing system,,1598,FIR ST,,6019,,,,
PP023228,BUILDING PERMITS,PLUMBING PERMIT,,Dec  5 2018 12:00AM,2018-12-05T08:00:00.000Z,Dec  4 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,287,ONGMAN RD,,6020,,,,
PP023229,BUILDING PERMITS,PLUMBING PERMIT,,Nov 20 2018 12:00AM,2018-11-20T08:00:00.000Z,Nov 19 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,751,TABOR BLVD S,,6021,,,,
PP023230,BUILDING PERMITS,PLUMBING PERMIT,,Dec 13 2018 12:00AM,2018-12-13T08:00:00.000Z,Dec 14 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,1826,1836,BOUNDARY RD,,6022,,,,
PP023232,BUILDING PERMITS,PLUMBING PERMIT,,Dec 10 2018 12:00AM,2018-12-10T08:00:00.000Z,Dec  9 2020 12:00AM,2019-02-15T08:00:00.000Z,COMPLETED,New Commercial Building,,6007,SOUTHRIDGE AVE,,6023,,,,
PP023233,BUILDING PERMITS,PLUMBING PERMIT,,Mar  4 2019 12:00AM,2019-03-04T08:00:00.000Z,Mar  3 2021 12:00AM,,ACTIVE,Duplex - Upstairs,245,237,KELLY ST S,,6024,,,,
PP023234,BUILDING PERMITS,PLUMBING PERMIT,,Mar  4 2019 12:00AM,2019-03-04T08:00:00.000Z,Mar  3 2021 12:00AM,,ACTIVE,Duplex - Downstairs,245,237,KELLY ST S,,6025,,,,
PP023235,BUILDING PERMITS,PLUMBING PERMIT,,Dec  5 2018 12:00AM,2018-12-05T08:00:00.000Z,Dec  4 2020 12:00AM,2019-04-11T07:00:00.000Z,COMPLETED,Plumbing permit: to install or alter a plumbing system,,4998,GREENWOOD ST,,6026,,,,
PP023236,BUILDING PERMITS,PLUMBING PERMIT,,Dec 11 2018 12:00AM,2018-12-11T08:00:00.000Z,Dec 10 2020 12:00AM,,ACTIVE,In Ground Parkade,1075,1079,6TH AVE,,6027,,,,
PP023237,BUILDING PERMITS,PLUMBING PERMIT,,Dec  4 2018 12:00AM,2018-12-04T08:00:00.000Z,Dec  3 2020 12:00AM,2019-02-26T08:00:00.000Z,COMPLETED,Secondary Suite Fixture,2454,2456,CHANCELLOR BLVD,,6028,,,,
PP023238,BUILDING PERMITS,PLUMBING PERMIT,,Dec  4 2018 12:00AM,2018-12-04T08:00:00.000Z,Dec  3 2020 12:00AM,,ACTIVE,Single Family Dwelling,,2950,GREENFOREST CRES,,6029,,,,
PP023239,BUILDING PERMITS,PLUMBING PERMIT,,Dec  4 2018 12:00AM,2018-12-04T08:00:00.000Z,Dec  3 2020 12:00AM,,ACTIVE,Plumbing permit: to install or alter a plumbing system,,3370,AUSTIN RD E,,6030,,,,
PP023240,BUILDING PERMITS,PLUMBING PERMIT,,Dec  5 2018 12:00AM,2018-12-05T08:00:00.000Z,Dec  4 2020 12:00AM,,ACTIVE,Single Family Dwelling,,4895,PARKSIDE DR,,6031,,,,
