Year,Month,Permit_Issued_Date,Ward,Structure_Type,Type_of_Work,Permit_Fee,Construction_Value,Units,Issued_Date,FID
2016,5,2016-05-09T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,96,11700,0,2016-05-09T00:00:00.000Z,2001
2016,5,2016-05-09T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,88,11000,0,2016-05-09T00:00:00.000Z,2002
2016,5,2016-05-09T00:00:00.000Z,Ward 3,Accesory Building,New,24,2500,0,2016-05-09T00:00:00.000Z,2003
2016,5,2016-05-09T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,40,4500,0,2016-05-09T00:00:00.000Z,2004
2016,5,2016-05-09T00:00:00.000Z,Ward 2,Commercial Building,Renovation,640,80000,0,2016-05-09T00:00:00.000Z,2005
2016,5,2016-05-05T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,16,1500,0,2016-05-05T00:00:00.000Z,2006
2016,5,2016-05-05T00:00:00.000Z,Ward 3,Accesory Building,Demolition,,0,0,2016-05-05T00:00:00.000Z,2007
2016,5,2016-05-05T00:00:00.000Z,Ward 8,Detached Garage,New,80,9600,0,2016-05-05T00:00:00.000Z,2008
2016,5,2016-05-05T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,32,3855,0,2016-05-05T00:00:00.000Z,2009
2016,5,2016-05-05T00:00:00.000Z,Ward 8,Single Detached Dwelling,Renovation,24,2911,0,2016-05-05T00:00:00.000Z,2010
2016,5,2016-05-05T00:00:00.000Z,Ward 6,Single Detached Dwelling,Renovation,24,2689,0,2016-05-05T00:00:00.000Z,2011
2016,5,2016-05-05T00:00:00.000Z,Ward 1,Single Detached Dwelling,Renovation,104,12276,0,2016-05-05T00:00:00.000Z,2012
2016,5,2016-05-05T00:00:00.000Z,Ward 7,Commercial Building,Renovation,208,25370,0,2016-05-05T00:00:00.000Z,2013
2016,5,2016-05-05T00:00:00.000Z,Ward 5,Single Detached Dwelling,Renovation,48,5500,0,2016-05-05T00:00:00.000Z,2014
2016,5,2016-05-05T00:00:00.000Z,Ward 2,Deck,New,16,1500,0,2016-05-05T00:00:00.000Z,2015
2016,5,2016-05-05T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,80,9102,0,2016-05-05T00:00:00.000Z,2016
2016,5,2016-05-05T00:00:00.000Z,Ward 2,Pool,New,80,10000,0,2016-05-05T00:00:00.000Z,2017
2016,5,2016-05-05T00:00:00.000Z,Ward 1,Attached Garage,New,288,36000,0,2016-05-05T00:00:00.000Z,2018
2016,5,2016-05-05T00:00:00.000Z,Ward 5,Single Detached Dwelling,New,1280,160000,1,2016-05-05T00:00:00.000Z,2019
2016,5,2016-05-05T00:00:00.000Z,Ward 7,Single Detached Dwelling,New,1280,160000,1,2016-05-05T00:00:00.000Z,2020
2016,5,2016-05-05T00:00:00.000Z,Ward 3,Apartment Building,Renovation,32,4000,0,2016-05-05T00:00:00.000Z,2021
2016,5,2016-05-04T00:00:00.000Z,Ward 5,Single Detached Dwelling,Renovation,40,4500,0,2016-05-04T00:00:00.000Z,2022
2016,5,2016-05-04T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,24,2560,0,2016-05-04T00:00:00.000Z,2023
2016,5,2016-05-04T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,200,25000,0,2016-05-04T00:00:00.000Z,2024
2016,5,2016-05-04T00:00:00.000Z,Ward 9,Single Detached Dwelling,Renovation,48,6000,0,2016-05-04T00:00:00.000Z,2025
2016,5,2016-05-04T00:00:00.000Z,Ward 12,Single Detached Dwelling,New,1584,198000,1,2016-05-04T00:00:00.000Z,2026
2016,5,2016-05-04T00:00:00.000Z,Ward 8,Institutional,Renovation,1160,145000,0,2016-05-04T00:00:00.000Z,2027
2016,5,2016-05-04T00:00:00.000Z,Ward 10,Commercial Building,Renovation,16,1500,0,2016-05-04T00:00:00.000Z,2028
2016,5,2016-05-04T00:00:00.000Z,Ward 12,Single Detached Dwelling,New,2080,260000,1,2016-05-04T00:00:00.000Z,2029
2016,5,2016-05-03T00:00:00.000Z,Ward 8,Institutional,Renovation,288,36000,0,2016-05-03T00:00:00.000Z,2030
2016,5,2016-05-03T00:00:00.000Z,Ward 2,Single Detached Dwelling,Renovation,16,2000,0,2016-05-03T00:00:00.000Z,2031
2016,5,2016-05-03T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,24,3000,0,2016-05-03T00:00:00.000Z,2032
2016,5,2016-05-03T00:00:00.000Z,Ward 8,Single Detached Dwelling,Renovation,24,3000,0,2016-05-03T00:00:00.000Z,2033
2016,5,2016-05-03T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,24,3000,0,2016-05-03T00:00:00.000Z,2034
2016,5,2016-05-03T00:00:00.000Z,Ward 2,Single Detached Dwelling,Renovation,32,4000,0,2016-05-03T00:00:00.000Z,2035
2016,5,2016-05-03T00:00:00.000Z,Ward 5,Single Detached Dwelling,Demolition,,0,0,2016-05-03T00:00:00.000Z,2036
2016,2,2016-02-29T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,640,80000,0,2016-02-29T00:00:00.000Z,2037
2016,5,2016-05-02T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,64,8000,0,2016-05-02T00:00:00.000Z,2038
2016,5,2016-05-03T00:00:00.000Z,Ward 7,Deck,New,88,11000,0,2016-05-03T00:00:00.000Z,2039
2016,5,2016-05-03T00:00:00.000Z,Ward 3,Apartment Building,Renovation,40,4700,0,2016-05-03T00:00:00.000Z,2040
2016,5,2016-05-03T00:00:00.000Z,Ward 7,Single Detached Dwelling,Addition,104,13000,0,2016-05-03T00:00:00.000Z,2041
2016,5,2016-05-03T00:00:00.000Z,Ward 9,Apartment Building,Renovation,80,9500,0,2016-05-03T00:00:00.000Z,2042
2016,5,2016-05-03T00:00:00.000Z,Ward 10,Commercial Building,Demolition,,0,0,2016-05-03T00:00:00.000Z,2043
2016,5,2016-05-03T00:00:00.000Z,Ward 2,Apartment Building,Repair,128,16000,0,2016-05-03T00:00:00.000Z,2044
