X,Y,OBJECTID,CSJGISSDE_GISDATA_Civics_patspa,CSJGISSDE_GISDATA_Civics_ABADTX,CSJGISSDE_GISDATA_Civics_Expr1,CSJGISSDE_GISDATA_Civics_ENCIVS,CSJGISSDE_GISDATA_Civics_FRCIVS,CSJGISSDE_sde_BP200AL4_BPLCID,CSJGISSDE_sde_BP200AL4_BPPCB,CSJGISSDE_sde_BP200AL4_BPPYER,CSJGISSDE_sde_BP200AL4_BPPCNB,CSJGISSDE_sde_BP200AL4_BPTNNB,CSJGISSDE_sde_BP200AL4_BPATYP,CSJGISSDE_sde_BP200AL4_BPASTS,CSJGISSDE_sde_BP200AL4_BPASDC,CSJGISSDE_sde_BP200AL4_BPASDT,CSJGISSDE_sde_BP200AL4_BPADAC,CSJGISSDE_sde_BP200AL4_BPADAT,CSJGISSDE_sde_BP200AL4_BPAMPN,CSJGISSDE_sde_BP200AL4_BPAOCA,CSJGISSDE_sde_BP200AL4_BPAPRB,CSJGISSDE_sde_BP200AL4_BPATNM,CSJGISSDE_sde_BP200AL4_BPEVAL,CSJGISSDE_sde_BP200AL4_BPPBLD,CSJGISSDE_sde_BP200AL4_BPAPGP,CSJGISSDE_sde_BP200AL4_BPUSTS,CSJGISSDE_sde_BP200AL4_BPRDCD,CSJGISSDE_sde_BP200AL4_BPASQF,CSJGISSDE_sde_BP200AL4_BPAPPN,CSJGISSDE_sde_BP200AL4_BPAPDS,CSJGISSDE_sde_BP200AL4_BPAEBY
2542985.45,7369143.7,396,01557856,CN10020,00331264,76 Karen Street,76 rue Karen,90362,1,19,356,     ,B112,AP,1,190510,1,190506,          ,200,PB ,                         ,12800, ,      ,PI,BI,0,290284    ,Construct 16'x20' garage.                         ,JR7430    
2541330.6125,7367771.0042,406,05658256,CN10027,00331330,1800 Loch Lomond Road,1800 chemin Loch Lomond,90368,1,17,834,     ,B213,AP,1,170822,1,170804,          ,0,PB ,                         ,15000, ,      ,CI,BI,0,252280    ,Construct 12'x18' picnic shelter                  ,PH1623    
2540561.899999998509884,7368729.95,422,01558064,CN10041,00331470,37 Willie Avenue,37 avenue Willie,50114,1,17,876,     ,B112,AP,1,170822,1,170815,          ,0,PB ,                         ,33000, ,      ,CI,BI,0,434948    ,Construct 28'x30' garage & remove small shed      ,PH1623    
2544317.8,7366967.7,657,01563190,CN10247,00333534,889 Latimore Lake Road,889 chemin Latimore Lake,90540,1,16,1139,     ,B112,AP,1,161121,1,161107,          ,0,PB ,                         ,16000, ,      ,PI,BI,0,658228    ,construct 16'x24' shed with 12'x24' lean-to       ,PH1623    
2540064.7,7366722.399999998509884,705,01563530,CN10282,00333880,17 Shillington Road,17 chemin Shillington,50406,1,18,456,     ,B112,AP,1,180522,1,180516,          ,0,PB ,                         ,36000, ,      ,CI,BI,0,877328    ,"replace fire damaged garage, 32' X 38'            ",BT2002    
2545267.0,7362532.8,992,01567372,CN10516,00336354,2617 Old Black River Road,2617 chemin Old Black River,91052,1,16,247,     ,GAR ,AP,1,160420,1,160406,          ,0,PB ,                         ,8000, ,      ,CI,BI,0,194351    ,Construct 12x20 shed on post & beam               ,JG2313    
2540308.45,7363509.149999998509884,1204,01569188,CN10682,00338038,815 Old Black River Road,815 chemin Old Black River,91324,1,16,1179,     ,B112,AP,1,161124,1,161121,          ,0,PB ,                         ,30000, ,      ,CI,BI,0,418208    ,construct 26 X 32 garage                          ,BT2002    
2539386.5,7360975.45,1618,01571973,CN10963,00340851,19 Aberdeen Avenue,19 avenue Aberdeen,50748,1,17,1324,     ,B112,AP,1,171129,1,171127,          ,200,PB ,                         ,9000, ,      ,PI,BI,0,972324    ,Remove old shed & construct 16'x16' shed          ,PH1623    
2543454.75,7373840.2,3018,01597898,CN11819,00349845,2355 Golden Grove Road,2355 chemin Golden Grove,92150,1,17,1291,     ,B112,AP,1,171120,1,171114,          ,0,PB ,                         ,51200, ,      ,CI,BI,0,003958    ,Construct 32x40 detached garage                   ,TM2612    
2547190.600000001490116,7370713.649999998509884,3079,01588182,CN11881,00350728,95 Evergreen Avenue,95 avenue Evergreen,92268,1,18,463,     ,B112,AP,1,180523,1,180517,          ,0,PB ,                         ,15000, ,      ,CI,BI,0,409108    ,remove shed & construct 18x22 detached garage     ,EB2594    
