Municipality,Permit Number,Type of Building,Type of Work,Value of Construction,Units Created,Units Lost,Building Area,Approval Date,Extract Date
CAPE BRETON REGIONAL MUNICIPALITY,B010069,100,03,"90,000",0,0,0,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,B010047,100,03,"95,000",0,0,0,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010064,110,01,"201,600",1,0,"1,680",05/13/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010106,110,01,"202,080",1,0,"1,684",05/27/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010091,110,01,"156,000",1,0,"1,300",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010116,110,01,"184,320",1,0,"1,536",05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010053,110,01,"268,800",1,0,"2,240",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010088,110,01,"288,000",1,0,"2,400",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010086,110,01,"405,360",1,0,"3,378",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010033,110,01,"222,000",1,0,"1,850",05/02/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010048,110,01,"217,200",1,0,"1,810",05/08/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010040,110,01,"142,080",1,0,"1,184",05/03/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010102,110,01,"247,200",1,0,"2,060",05/23/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009930,110,03,"57,600",0,0,480,03/26/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010071,110,03,"75,000",0,0,576,05/14/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010103,110,03,"94,080",0,0,784,05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010063,110,03,"149,000",0,0,"1,400",05/23/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010074,310,01,"374,400",2,0,"3,120",05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010094,310,01,"276,000",2,0,"2,300",05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010019,310,01,"252,960",2,0,"2,108",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010092,310,01,"278,640",2,0,"2,322",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010034,310,01,"326,040",2,0,"2,717",05/08/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010057,500,01,"518,616",3,0,"3,528",05/10/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010051,500,03,"481,950",0,0,"3,150",05/13/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010003,500,10,"40,000",1,0,350,05/13/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010012,999,99,"492,000",0,0,"1,200",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-076,100,03,"75,000",0,0,0,05/03/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-071,110,01,"40,000",1,0,729,05/03/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-070,110,01,"180,000",0,0,0,05/28/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-098,110,01,"120,000",1,0,880,05/09/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-097,110,01,"338,000",1,0,0,05/23/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-131,110,01,0,1,0,896,05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-074,110,01,"268,439.45",1,0,"1,672",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-110,110,03,"55,000",0,0,0,05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-104,110,03,"50,000",0,0,"1,536",05/28/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2019-096,150,01,"10,000",1,0,320,05/10/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-050,100,01,"375,000",0,0,"3,543",05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-043,100,01,"190,000",0,0,"1,110",05/08/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2019-038,100,01,"175,000",0,0,"2,176",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-061,100,01,"290,000",0,0,"2,934",05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-037,100,15,"50,000",0,0,0,05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-059,100,15,"50,000",0,0,0,05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-049,100,15,"50,000",0,0,0,05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2019-047,500,01,"2,500,000",0,0,"8,569",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,13114,999,03,"300,000",0,0,0,04/08/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,13109,999,03,"430,000",0,0,"6,480",04/18/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-089,100,01,"60,000",0,0,0,05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-082,100,01,"256,000",0,0,"2,880",05/29/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-071,100,01,"200,000",0,0,"1,200",05/09/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2019-081,100,01,"125,000",0,0,960,05/29/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-078,100,01,"140,000",0,0,912,05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2019-053,100,01,"250,000",0,0,"1,780",05/29/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-083,100,15,"50,000",0,0,0,05/29/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2019-072,500,01,"500,000",0,0,0,05/09/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-056,100,01,"300,000",0,0,"1,806",05/13/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-048,100,01,"250,000",0,0,"1,870",05/07/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-074,100,01,"65,000",0,0,0,05/28/2019 12:00:00 AM,06/01/2019 07:30:40 AM
